@relation restaurant#general

@attribute id numeric
@attribute unigram string
@attribute unigram_lemma string
@attribute bigram string
@attribute bigram_lemma string
@attribute pos_bigrams string
@attribute aspecttype {true, false}

@data
120,'For the price , you can not eat this well in Manhattan . ','for the price , you can not eat this well in manhattan . ','For_the the_price price_, ,_you you_can can_not not_eat eat_this this_well well_in in_Manhattan Manhattan_. ','for_the the_price price_, ,_you you_can can_not not_eat eat_this this_well well_in in_manhattan manhattan_. ','IN_DT DT_NN NN_, ,_PRP PRP_MD MD_RB RB_VB VB_DT DT_RB RB_IN IN_NNP NNP_. ',false
132,'I was very disappointed with this restaurant . ','I be very disappointed with this restaurant . ','I_was was_very very_disappointed disappointed_with with_this this_restaurant restaurant_. ','I_be be_very very_disappointed disappointed_with with_this this_restaurant restaurant_. ','PRP_VBD VBD_RB RB_JJ JJ_IN IN_DT DT_NN NN_. ',true
144,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . ','ive ask a cart attendant for a lotus leaf wrap rice and she reply back rice and just walk away . ','Ive_asked asked_a a_cart cart_attendant attendant_for for_a a_lotus lotus_leaf leaf_wrapped wrapped_rice rice_and and_she she_replied replied_back back_rice rice_and and_just just_walked walked_away away_. ','ive_ask ask_a a_cart cart_attendant attendant_for for_a a_lotus lotus_leaf leaf_wrap wrap_rice rice_and and_she she_reply reply_back back_rice rice_and and_just just_walk walk_away away_. ','NNP_VBD VBD_DT DT_NN NN_NN NN_IN IN_DT DT_JJ JJ_NN NN_VBD VBD_NN NN_CC CC_PRP PRP_VBD VBD_RB RB_NN NN_CC CC_RB RB_VBD VBD_RB RB_. ',false
156,'I had to ask her three times before she finally came back with the dish Ive requested . ','I have to ask her #crd# time before she finally come back with the dish ive request . ','I_had had_to to_ask ask_her her_three three_times times_before before_she she_finally finally_came came_back back_with with_the the_dish dish_Ive Ive_requested requested_. ','I_have have_to to_ask ask_her her_#crd# #crd#_time time_before before_she she_finally finally_come come_back back_with with_the the_dish dish_ive ive_request request_. ','PRP_VBD VBD_TO TO_VB VB_PRP PRP_CD CD_NNS NNS_IN IN_PRP PRP_RB RB_VBD VBD_RB RB_IN IN_DT DT_NN NN_NNP NNP_VBD VBD_. ',false
168,'Food was okay , nothing great . ','food be okay , nothing great . ','Food_was was_okay okay_, ,_nothing nothing_great great_. ','food_be be_okay okay_, ,_nothing nothing_great great_. ','NN_VBD VBD_JJ JJ_, ,_NN NN_JJ JJ_. ',false
180,'Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . ','chow fun be dry ; pork shu mai be more than usually greasy and have to share a table with loud and rude family . ','Chow_fun fun_was was_dry dry_; ;_pork pork_shu shu_mai mai_was was_more more_than than_usually usually_greasy greasy_and and_had had_to to_share share_a a_table table_with with_loud loud_and and_rude rude_family family_. ','chow_fun fun_be be_dry dry_; ;_pork pork_shu shu_mai mai_be be_more more_than than_usually usually_greasy greasy_and and_have have_to to_share share_a a_table table_with with_loud loud_and and_rude rude_family family_. ','NNP_NN NN_VBD VBD_JJ JJ_: :_NN NN_NN NN_NNP NNP_VBD VBD_RBR RBR_IN IN_RB RB_RB RB_CC CC_VBD VBD_TO TO_VB VB_DT DT_NN NN_IN IN_JJ JJ_CC CC_JJ JJ_NN NN_. ',false
192,'I / we will never go back to this place again . ','I / we will never go back to this place again . ','I_/ /_we we_will will_never never_go go_back back_to to_this this_place place_again again_. ','I_/ /_we we_will will_never never_go go_back back_to to_this this_place place_again again_. ','PRP_NFP NFP_PRP PRP_MD MD_RB RB_VB VB_RB RB_IN IN_DT DT_NN NN_RB RB_. ',true
204,'Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! ','go on a 0 day oyster binge , with fish bring up the closing , and I be so glad this be the place it o trip ended , because it be so great ! ','Went_on on_a a_3 3_day day_oyster oyster_binge binge_, ,_with with_Fish Fish_bringing bringing_up up_the the_closing closing_, ,_and and_I I_am am_so so_glad glad_this this_was was_the the_place place_it it_O O_trip trip_ended ended_, ,_because because_it it_was was_so so_great great_! ','go_on on_a a_0 0_day day_oyster oyster_binge binge_, ,_with with_fish fish_bring bring_up up_the the_closing closing_, ,_and and_I I_be be_so so_glad glad_this this_be be_the the_place place_it it_o o_trip trip_ended ended_, ,_because because_it it_be be_so so_great great_! ','VBD_IN IN_DT DT_CD CD_NN NN_NN NN_NN NN_, ,_IN IN_NN NN_VBG VBG_RP RP_DT DT_NN NN_, ,_CC CC_PRP PRP_VBP VBP_RB RB_JJ JJ_DT DT_VBD VBD_DT DT_NN NN_PRP PRP_NNP NNP_NN NN_VBD VBD_, ,_IN IN_PRP PRP_VBD VBD_RB RB_JJ JJ_. ',true
216,'Service was devine , oysters where a sensual as they come , and the price ca nt be beat !!! ','service be devine , oyster where a sensual as they come , and the price can not be beat !! ','Service_was was_devine devine_, ,_oysters oysters_where where_a a_sensual sensual_as as_they they_come come_, ,_and and_the the_price price_ca ca_nt nt_be be_beat beat_!!! ','service_be be_devine devine_, ,_oyster oyster_where where_a a_sensual sensual_as as_they they_come come_, ,_and and_the the_price price_can can_not not_be be_beat beat_!! ','NN_VBD VBD_JJ JJ_, ,_NNS NNS_WRB WRB_DT DT_NN NN_IN IN_PRP PRP_VBP VBP_, ,_CC CC_DT DT_NN NN_MD MD_RB RB_VB VB_VBN VBN_. ',false
228,'You ca nt go wrong here . ','you can not go wrong here . ','You_ca ca_nt nt_go go_wrong wrong_here here_. ','you_can can_not not_go go_wrong wrong_here here_. ','PRP_MD MD_RB RB_VB VB_JJ JJ_RB RB_. ',true
240,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street . ','every time in new york I make it a point to visit restaurant saul on smith street . ','Every_time time_in in_New New_York York_I I_make make_it it_a a_point point_to to_visit visit_Restaurant Restaurant_Saul Saul_on on_Smith Smith_Street Street_. ','every_time time_in in_new new_york york_I I_make make_it it_a a_point point_to to_visit visit_restaurant restaurant_saul saul_on on_smith smith_street street_. ','DT_NN NN_IN IN_NNP NNP_NNP NNP_PRP PRP_VBP VBP_PRP PRP_DT DT_NN NN_TO TO_VB VB_NNP NNP_NNP NNP_IN IN_NNP NNP_NNP NNP_. ',true
252,'Everything is always cooked to perfection , the service is excellent , the decor cool and understated . ','everything be always cook to perfection , the service be excellent , the decor cool and understated . ','Everything_is is_always always_cooked cooked_to to_perfection perfection_, ,_the the_service service_is is_excellent excellent_, ,_the the_decor decor_cool cool_and and_understated understated_. ','everything_be be_always always_cook cook_to to_perfection perfection_, ,_the the_service service_be be_excellent excellent_, ,_the the_decor decor_cool cool_and and_understated understated_. ','NN_VBZ VBZ_RB RB_VBN VBN_IN IN_NN NN_, ,_DT DT_NN NN_VBZ VBZ_JJ JJ_, ,_DT DT_NN NN_JJ JJ_CC CC_JJ JJ_. ',false
264,'I had the duck breast special on my last visit and it was incredible . ','I have the duck breast special on my last visit and it be incredible . ','I_had had_the the_duck duck_breast breast_special special_on on_my my_last last_visit visit_and and_it it_was was_incredible incredible_. ','I_have have_the the_duck duck_breast breast_special special_on on_my my_last last_visit visit_and and_it it_be be_incredible incredible_. ','PRP_VBD VBD_DT DT_NN NN_NN NN_JJ JJ_IN IN_PRP$ PRP$_JJ JJ_NN NN_CC CC_PRP PRP_VBD VBD_JJ JJ_. ',false
276,'Ca nt wait wait for my next visit . ','can not wait wait for my next visit . ','Ca_nt nt_wait wait_wait wait_for for_my my_next next_visit visit_. ','can_not not_wait wait_wait wait_for for_my my_next next_visit visit_. ','MD_RB RB_VB VB_VB VB_IN IN_PRP$ PRP$_JJ JJ_NN NN_. ',true
288,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! ','the spicy tuna roll be unusually good and the rock shrimp tempura be awesome , great appetizer to share ! ','The_spicy spicy_tuna tuna_roll roll_was was_unusually unusually_good good_and and_the the_rock rock_shrimp shrimp_tempura tempura_was was_awesome awesome_, ,_great great_appetizer appetizer_to to_share share_! ','the_spicy spicy_tuna tuna_roll roll_be be_unusually unusually_good good_and and_the the_rock rock_shrimp shrimp_tempura tempura_be be_awesome awesome_, ,_great great_appetizer appetizer_to to_share share_! ','DT_JJ JJ_NN NN_NN NN_VBD VBD_RB RB_JJ JJ_CC CC_DT DT_NN NN_NN NN_NN NN_VBD VBD_JJ JJ_, ,_JJ JJ_NN NN_TO TO_VB VB_. ',false
300,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ! ','we go around 0 on a friday and it have die down a bit by then so the service be great ! ','We_went went_around around_9:30 9:30_on on_a a_Friday Friday_and and_it it_had had_died died_down down_a a_bit bit_by by_then then_so so_the the_service service_was was_great great_! ','we_go go_around around_0 0_on on_a a_friday friday_and and_it it_have have_die die_down down_a a_bit bit_by by_then then_so so_the the_service service_be be_great great_! ','PRP_VBD VBD_RB RB_CD CD_IN IN_DT DT_NNP NNP_CC CC_PRP PRP_VBD VBD_VBN VBN_IN IN_DT DT_NN NN_IN IN_RB RB_RB RB_DT DT_NN NN_VBD VBD_JJ JJ_. ',false
312,'we love th pink pony . ','we love th pink pony . ','we_love love_th th_pink pink_pony pony_. ','we_love love_th th_pink pink_pony pony_. ','PRP_VBP VBP_DT DT_JJ JJ_NN NN_. ',true
324,'THe perfect spot . ','the perfect spot . ','THe_perfect perfect_spot spot_. ','the_perfect perfect_spot spot_. ','DT_JJ JJ_NN NN_. ',true
336,'Food - awesome . ','food - awesome . ','Food_- -_awesome awesome_. ','food_- -_awesome awesome_. ','NN_HYPH HYPH_JJ JJ_. ',false
348,'Service- friendly and attentive . ','service- friendly and attentive . ','Service-_friendly friendly_and and_attentive attentive_. ','service-_friendly friendly_and and_attentive attentive_. ','VB_JJ JJ_CC CC_JJ JJ_. ',false
360,'Ambiance - relaxed and stylish . ','ambiance - relaxed and stylish . ','Ambiance_- -_relaxed relaxed_and and_stylish stylish_. ','ambiance_- -_relaxed relaxed_and and_stylish stylish_. ','NN_HYPH HYPH_JJ JJ_CC CC_JJ JJ_. ',false
372,'Do nt judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ','do not judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ','Do_nt nt_judge judge_this this_place place_prima prima_facie facie_, ,_you you_have have_to to_try try_it it_to to_believe believe_it it_, ,_a a_home home_away away_from from_home home_for for_the the_literate literate_heart heart_. ','do_not not_judge judge_this this_place place_prima prima_facie facie_, ,_you you_have have_to to_try try_it it_to to_believe believe_it it_, ,_a a_home home_away away_from from_home home_for for_the the_literate literate_heart heart_. ','VB_RB RB_VB VB_DT DT_NN NN_NN NN_NN NN_, ,_PRP PRP_VBP VBP_TO TO_VB VB_PRP PRP_TO TO_VB VB_PRP PRP_, ,_DT DT_NN NN_RB RB_IN IN_NN NN_IN IN_DT DT_JJ JJ_NN NN_. ',true
384,'the food is decent . ','the food be decent . ','the_food food_is is_decent decent_. ','the_food food_be be_decent decent_. ','DT_NN NN_VBZ VBZ_JJ JJ_. ',false
396,'however , it s the service that leaves a bad taste in my mouth . ','however , it s the service that leave a bad taste in my mouth . ','however_, ,_it it_s s_the the_service service_that that_leaves leaves_a a_bad bad_taste taste_in in_my my_mouth mouth_. ','however_, ,_it it_s s_the the_service service_that that_leave leave_a a_bad bad_taste taste_in in_my my_mouth mouth_. ','RB_, ,_PRP PRP_VBZ VBZ_DT DT_NN NN_WDT WDT_VBZ VBZ_DT DT_JJ JJ_NN NN_IN IN_PRP$ PRP$_NN NN_. ',false
408,'i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check . ','I happen to have a policy that go along with a little bit of self - respect , which include not let a waiter intimidate me , i.e. make me feel bad ask for triviality like water , or the check . ','i_happen happen_to to_have have_a a_policy policy_that that_goes goes_along along_with with_a a_little little_bit bit_of of_self self_- -_respect respect_, ,_which which_includes includes_not not_letting letting_a a_waiter waiter_intimidate intimidate_me me_, ,_i.e. i.e._make make_me me_feel feel_bad bad_asking asking_for for_trivialities trivialities_like like_water water_, ,_or or_the the_check check_. ','I_happen happen_to to_have have_a a_policy policy_that that_go go_along along_with with_a a_little little_bit bit_of of_self self_- -_respect respect_, ,_which which_include include_not not_let let_a a_waiter waiter_intimidate intimidate_me me_, ,_i.e. i.e._make make_me me_feel feel_bad bad_ask ask_for for_triviality triviality_like like_water water_, ,_or or_the the_check check_. ','PRP_VBP VBP_TO TO_VB VB_DT DT_NN NN_WDT WDT_VBZ VBZ_IN IN_IN IN_DT DT_JJ JJ_NN NN_IN IN_NN NN_HYPH HYPH_NN NN_, ,_WDT WDT_VBZ VBZ_RB RB_VBG VBG_DT DT_NN NN_VB VB_PRP PRP_, ,_FW FW_VB VB_PRP PRP_VB VB_JJ JJ_VBG VBG_IN IN_NNS NNS_IN IN_NN NN_, ,_CC CC_DT DT_NN NN_. ',false
420,'i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i m here to eat and enjoy the company of friends , seeking a pleasant experience . ','I know , you be too busy show off your vintage tee shirt and look bored , but my agenda be I be here to eat and enjoy the company of friend , seek a pleasant experience . ','i_know know_, ,_you you_were were_too too_busy busy_showing showing_off off_your your_vintage vintage_tee tee_shirt shirt_and and_looking looking_bored bored_, ,_but but_my my_agenda agenda_is is_i i_m m_here here_to to_eat eat_and and_enjoy enjoy_the the_company company_of of_friends friends_, ,_seeking seeking_a a_pleasant pleasant_experience experience_. ','I_know know_, ,_you you_be be_too too_busy busy_show show_off off_your your_vintage vintage_tee tee_shirt shirt_and and_look look_bored bored_, ,_but but_my my_agenda agenda_be be_I I_be be_here here_to to_eat eat_and and_enjoy enjoy_the the_company company_of of_friend friend_, ,_seek seek_a a_pleasant pleasant_experience experience_. ','PRP_VBP VBP_, ,_PRP PRP_VBD VBD_RB RB_JJ JJ_VBG VBG_RP RP_PRP$ PRP$_JJ JJ_NN NN_NN NN_CC CC_VBG VBG_JJ JJ_, ,_CC CC_PRP$ PRP$_NN NN_VBZ VBZ_PRP PRP_VBP VBP_RB RB_TO TO_VB VB_CC CC_VB VB_DT DT_NN NN_IN IN_NNS NNS_, ,_VBG VBG_DT DT_JJ JJ_NN NN_. ',false
432,'well , i did nt find it there , and trust , i have told everyone i can think of about my experience . ','well , I do not find it there , and trust , I have tell everyone I can think of about my experience . ','well_, ,_i i_did did_nt nt_find find_it it_there there_, ,_and and_trust trust_, ,_i i_have have_told told_everyone everyone_i i_can can_think think_of of_about about_my my_experience experience_. ','well_, ,_I I_do do_not not_find find_it it_there there_, ,_and and_trust trust_, ,_I I_have have_tell tell_everyone everyone_I I_can can_think think_of of_about about_my my_experience experience_. ','UH_, ,_PRP PRP_VBD VBD_RB RB_VB VB_PRP PRP_RB RB_, ,_CC CC_NN NN_, ,_PRP PRP_VBP VBP_VBN VBN_NN NN_PRP PRP_MD MD_VB VB_IN IN_IN IN_PRP$ PRP$_NN NN_. ',true
444,'the last time i walked by it looked pretty empty . ','the last time I walk by it look pretty empty . ','the_last last_time time_i i_walked walked_by by_it it_looked looked_pretty pretty_empty empty_. ','the_last last_time time_I I_walk walk_by by_it it_look look_pretty pretty_empty empty_. ','DT_JJ JJ_NN NN_PRP PRP_VBD VBD_IN IN_PRP PRP_VBD VBD_RB RB_JJ JJ_. ',false
456,'hmmm . ','hmmm . ','hmmm_. ','hmmm_. ','UH_. ',false
468,'This place has got to be the best japanese restaurant in the new york area . ','this place have get to be the good japanese restaurant in the new york area . ','This_place place_has has_got got_to to_be be_the the_best best_japanese japanese_restaurant restaurant_in in_the the_new new_york york_area area_. ','this_place place_have have_get get_to to_be be_the the_good good_japanese japanese_restaurant restaurant_in in_the the_new new_york york_area area_. ','DT_NN NN_VBZ VBZ_VBN VBN_TO TO_VB VB_DT DT_JJS JJS_JJ JJ_NN NN_IN IN_DT DT_JJ JJ_NN NN_NN NN_. ',true
480,'I had a great experience . ','I have a great experience . ','I_had had_a a_great great_experience experience_. ','I_have have_a a_great great_experience experience_. ','PRP_VBD VBD_DT DT_JJ JJ_NN NN_. ',true
492,'Food is great . ','food be great . ','Food_is is_great great_. ','food_be be_great great_. ','NN_VBZ VBZ_JJ JJ_. ',false
504,'Service is top notch . ','service be top notch . ','Service_is is_top top_notch notch_. ','service_be be_top top_notch notch_. ','NN_VBZ VBZ_JJ JJ_NN NN_. ',false
516,'I have been going back again and again . ','I have be go back again and again . ','I_have have_been been_going going_back back_again again_and and_again again_. ','I_have have_be be_go go_back back_again again_and and_again again_. ','PRP_VBP VBP_VBN VBN_VBG VBG_RB RB_RB RB_CC CC_RB RB_. ',true
528,'I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose . ','I tend to judge a sushi restaurant by its sea urchin , which be heavenly at sushi rise . ','I_tend tend_to to_judge judge_a a_sushi sushi_restaurant restaurant_by by_its its_sea sea_urchin urchin_, ,_which which_was was_heavenly heavenly_at at_sushi sushi_rose rose_. ','I_tend tend_to to_judge judge_a a_sushi sushi_restaurant restaurant_by by_its its_sea sea_urchin urchin_, ,_which which_be be_heavenly heavenly_at at_sushi sushi_rise rise_. ','PRP_VBP VBP_TO TO_VB VB_DT DT_JJ JJ_NN NN_IN IN_PRP$ PRP$_NN NN_NN NN_, ,_WDT WDT_VBD VBD_RB RB_IN IN_NNP NNP_VBD VBD_. ',false
540,'It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery . ','it melt in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery . ','It_melted melted_in in_my my_little little_mouth mouth_and and_the the_perfect perfect_consistency consistency_- -_not not_too too_fishy fishy_, ,_creamy creamy_, ,_and and_slightly slightly_buttery buttery_. ','it_melt melt_in in_my my_little little_mouth mouth_and and_the the_perfect perfect_consistency consistency_- -_not not_too too_fishy fishy_, ,_creamy creamy_, ,_and and_slightly slightly_buttery buttery_. ','PRP_VBD VBD_IN IN_PRP$ PRP$_JJ JJ_NN NN_CC CC_DT DT_JJ JJ_NN NN_: :_RB RB_RB RB_JJ JJ_, ,_JJ JJ_, ,_CC CC_RB RB_NN NN_. ',false
552,'The sushi seemed pretty fresh and was adequately proportioned . ','the sushi seem pretty fresh and be adequately proportion . ','The_sushi sushi_seemed seemed_pretty pretty_fresh fresh_and and_was was_adequately adequately_proportioned proportioned_. ','the_sushi sushi_seem seem_pretty pretty_fresh fresh_and and_be be_adequately adequately_proportion proportion_. ','DT_NNP NNP_VBD VBD_RB RB_JJ JJ_CC CC_VBD VBD_RB RB_VBN VBN_. ',false
564,'The rice to fish ration was also good -- they did nt try to overpack the rice . ','the rice to fish ration be also good -- they do not try to overpack the rice . ','The_rice rice_to to_fish fish_ration ration_was was_also also_good good_-- --_they they_did did_nt nt_try try_to to_overpack overpack_the the_rice rice_. ','the_rice rice_to to_fish fish_ration ration_be be_also also_good good_-- --_they they_do do_not not_try try_to to_overpack overpack_the the_rice rice_. ','DT_NN NN_TO TO_VB VB_NN NN_VBD VBD_RB RB_JJ JJ_: :_PRP PRP_VBD VBD_RB RB_VB VB_TO TO_VB VB_DT DT_NN NN_. ',false
576,'We took advanatage of the half price sushi deal on saturday so it was well worth it . ','we take advanatage of the half price sushi deal on saturday so it be well worth it . ','We_took took_advanatage advanatage_of of_the the_half half_price price_sushi sushi_deal deal_on on_saturday saturday_so so_it it_was was_well well_worth worth_it it_. ','we_take take_advanatage advanatage_of of_the the_half half_price price_sushi sushi_deal deal_on on_saturday saturday_so so_it it_be be_well well_worth worth_it it_. ','PRP_VBD VBD_NN NN_IN IN_DT DT_NN NN_NN NN_JJ JJ_NN NN_IN IN_NN NN_IN IN_PRP PRP_VBD VBD_RB RB_JJ JJ_PRP PRP_. ',false
588,'Surprisingly nothing could be further from the truth . ','surprisingly nothing could be far from the truth . ','Surprisingly_nothing nothing_could could_be be_further further_from from_the the_truth truth_. ','surprisingly_nothing nothing_could could_be be_far far_from from_the the_truth truth_. ','RB_NN NN_MD MD_VB VB_RB RB_IN IN_DT DT_NN NN_. ',false
600,'In the evening , this place attracted a well dressed , with it , NY crowd . ','in the evening , this place attract a well dress , with it , ny crowd . ','In_the the_evening evening_, ,_this this_place place_attracted attracted_a a_well well_dressed dressed_, ,_with with_it it_, ,_NY NY_crowd crowd_. ','in_the the_evening evening_, ,_this this_place place_attract attract_a a_well well_dress dress_, ,_with with_it it_, ,_ny ny_crowd crowd_. ','IN_DT DT_NN NN_, ,_DT DT_NN NN_VBD VBD_DT DT_RB RB_VBN VBN_, ,_IN IN_PRP PRP_, ,_NNP NNP_NN NN_. ',false
612,'The food was well prepared and the service impecable . ','the food be well prepare and the service impecable . ','The_food food_was was_well well_prepared prepared_and and_the the_service service_impecable impecable_. ','the_food food_be be_well well_prepare prepare_and and_the the_service service_impecable impecable_. ','DT_NN NN_VBD VBD_RB RB_VBN VBN_CC CC_DT DT_NN NN_JJ JJ_. ',false
624,'I m going back . ','I be go back . ','I_m m_going going_back back_. ','I_be be_go go_back back_. ','PRP_VBP VBP_VBG VBG_RB RB_. ',true
636,'The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) . ','the prix fixe menu be worth every penny and you get more than enough ( both in quantity and quality ) . ','The_Prix Prix_Fixe Fixe_menu menu_is is_worth worth_every every_penny penny_and and_you you_get get_more more_than than_enough enough_( (_both both_in in_quantity quantity_AND AND_quality quality_) )_. ','the_prix prix_fixe fixe_menu menu_be be_worth worth_every every_penny penny_and and_you you_get get_more more_than than_enough enough_( (_both both_in in_quantity quantity_and and_quality quality_) )_. ','DT_NNP NNP_NNP NNP_NN NN_VBZ VBZ_JJ JJ_DT DT_NN NN_CC CC_PRP PRP_VBP VBP_JJR JJR_IN IN_JJ JJ_-LRB- -LRB-_CC CC_IN IN_NN NN_CC CC_NN NN_-RRB- -RRB-_. ',false
648,'I will be going back and heartily recommend it ! ','I will be go back and heartily recommend it ! ','I_will will_be be_going going_back back_and and_heartily heartily_recommend recommend_it it_! ','I_will will_be be_go go_back back_and and_heartily heartily_recommend recommend_it it_! ','PRP_MD MD_VB VB_VBG VBG_RB RB_CC CC_RB RB_VB VB_PRP PRP_. ',true
