@relation Ausstattung

@attribute id numeric
@attribute lemmas string
@attribute bigrams string
@attribute aspecttype {true, false}

@data
670,'comfort personel equipment except lunch other quite star standard ','_comfort_service _personel_, _equipment_except _except_during _lunch_time _other_not _quite_0 _star_standard ',true
720,'excellent customer personel ','_excellent_customer _customer_service _personel_. ',false
721,'personel accommodating helpful ','_personel_be _accommodating_and _helpful_. ',false
722,'comfort comfort mold wall ','_comfort_shower _comfort_have _mold_on _wall_. ',false
723,'explain problem front desk apologetic move us upgrade comfort ','_explain_this _problem_to _front_desk _desk_, _apologetic_and _move_us _us_to _upgrade_room _comfort_. ',false
724,'excellent customer personel ','_excellent_customer _customer_service _personel_. ',false
760,'good ','_good_. ',false
761,'location excellent central convenient public transportation equipment location equipment dupuis other court various personel ','_location_be _excellent_, _central_, _convenient_to _public_transportation _transportation_, _equipment_, _location_, _equipment_dupuis _dupuis_food _other_court _court_, _various_service _personel_. ',false
762,'maintenance spotty ','_maintenance_be _spotty_. ',false
763,'bathtub drain clog hairdryer didn?ft work ice maker several floor order comfort comfort scuff ','_bathtub_drain _drain_clog _clog_, _hairdryer_didn?ft _didn?ft_work _work_, _ice_maker _maker_on _several_floor _floor_be _order_, _comfort_in _comfort_scuff _scuff_. ',true
792,'good ','_good_. ',false
793,'really like location equipment ','_really_like _like_the _location_of _equipment_. ',false
794,'swimming equipment cold ','_swimming_pool _equipment_be _cold_. ',true
816,'pleasant ','_pleasant_. ',false
817,'great location ','_great_location _location_. ',false
818,'comfort mold ','_comfort_have _mold_. ',false
819,'move another comfort becsuse noise contiguos comfort ','_move_me _another_room _comfort_becsuse _becsuse_of _noise_from _contiguos_room _comfort_. ',false
848,'good ','_good_. ',false
849,'close shopping ','_close_to _shopping_. ',false
850,'heat comfort ','_heat_in ',false
872,'good ','_good_. ',false
873,'personel de personel nest pas sufficient ','_personel_de _de_concierge _personel_nest _nest_pas _pas_sufficient ',false
888,'okay ','_okay_. ',false
889,'location ','_location_. ',false
890,'comfort tired overused ','_comfort_be _tired_and _overused_. ',false
891,'comfort need facelift ','_comfort_need _need_a _facelift_. ',false
892,'carpet stain mould comfort ','_carpet_be _stain_, _mould_in _comfort_. ',false
928,'overall nice #crd# ','_overall_nice _nice_#crd# _#crd#_. ',false
929,'location ','_location_. ',false
930,'equipment ','',false
952,'good price price ','_good_value _price_for _price_. ',false
953,'great location next location location big modern other court supermarket ','_great_location _location_, _next_to _location_station _location_, _big_n _modern_food _other_court _court_, _supermarket_. ',false
954,'walkable city centre ','_walkable_to _city_centre _centre_. ',false
955,'err electric teapot other maker ','_err_an _electric_teapot _teapot_to _other_maker _maker_. ',false
956,'other brewer clean guest ','_other_brewer _brewer_can _clean_after _guest_. ',false
957,'','',false
958,'sheet big enough tuck matress ','_sheet_be _big_enough _enough_to _tuck_under _matress_. ',false
959,'wo roll ','_wo_not _roll_up ',false
1016,'good price effectiveness ','_good_cost _price_effectiveness _effectiveness_. ',false
1017,'good location ','_good_location _location_. ',false
1018,'good location ','_good_location _location_. ',false
1019,'breakfest could good ','_breakfest_could _could_be _good_. ',false
1020,'comfort personel equipment close dinner s essential ','_comfort_service _personel_and _equipment_be _close_for _dinner_, _s_be _essential_. ',true
1021,'equipment open evening ','_equipment_be _open_in _evening_! ',true
1064,'okay ','_okay_. ',false
1065,'great location ','_great_location _location_. ',false
1066,'lose thing leave contact say can?ft find .. ','_lose_some _thing_when _leave_and _contact_them _say_they _can?ft_find _find_it ',false
1067,'also hot other would work morning ','_also_, _hot_water _other_would _would_only _work_in ',false
1096,'good ','_good_. ',false
1097,'great buffet ','_great_buffet _buffet_. ',false
1098,'bad fridge comfort since book small comfort ','_bad_there _fridge_in _comfort_since _since_we _book_the _small_room _comfort_. ',false
1099,'great location ','_great_location _location_. ',false
1100,'parking scary least wasn?ft street ','_parking_be _scary_but _least_it _wasn?ft_on ',false
1136,'comfort serve purpose ','_comfort_serve _serve_its _purpose_. ',false
1137,'less ','_less_. ',false
1138,'comfort 0 clean comfort ','_comfort_0 _0_- _clean_room _comfort_. ',false
1139,'front personel friendly ','_front_staff _personel_be _friendly_. ',false
1140,'front entrance beautiful ','_front_entrance _entrance_be _beautiful_. ',true
1141,'ked parking underground easy location equipment ','_ked_that _parking_underground _underground_with _easy_access _location_to _equipment_. ',false
1142,'comfort 0 comfort need major renovation comfortable mold equipment tub wall ','_comfort_0 _0_- _comfort_be _need_of _major_renovation _renovation_( _comfortable_with _mold_on _equipment_tub _tub_wall _wall_) ',false
1192,'good ','_good_. ',false
1193,'lobby clean comfort clean great location city ','_lobby_be _clean_and _comfort_be _clean_and _great_view _location_of _city_. ',false
1194,'equipment equipment good ','_equipment_in _equipment_be _good_. ',true
1195,'location equipment great location st. catherine s street get downtown ','_location_of _equipment_be _great_for _location_to _st._catherine _catherine_s _s_street _street_and _get_downtown _downtown_. ',false
1196,'comfort outdated seem little scummy ','_comfort_be _outdated_, _seem_a _little_scummy _scummy_. ',false
1232,'good price ','_good_value _price_. ',false
1233,'location convenient location comfort outstanding ','_location_be _convenient_and _location_from _comfort_be _outstanding_. ',false
1234,'need update ','_need_to _update_. ',true
1235,'take full #crd# minute run comfort other really warm ','_take_a _full_#crd# _#crd#_minute _minute_run _run_the _comfort_before _other_be _really_warm _warm_. ',false
1264,'pleasant ','_pleasant_. ',false
1265,'old need reformation comon location ','_old_, _need_reformation _reformation_on _comon_area _location_. ',true
1280,'probably would other ','_probably_would _would_not _other_there ',false
1281,'work ice machine ','_work_ice _ice_machine _machine_. ',true
1296,'would go back would recommend friend ','_would_go _go_back _back_and _would_recommend _recommend_to _friend_. ',false
1297,'comfort roomy ','_comfort_be _roomy_. ',false
1298,'location excellent ','_location_be _excellent_. ',false
1299,'clean personel awesome ','_clean_and _personel_be _awesome_. ',false
1300,'air duct need clean ','_air_duct _duct_need _need_clean _clean_. ',false
1301,'come cleanliness mould ','_come_on _cleanliness_mould _mould_. ',false
1302,'equipment hour limited odd ','_equipment_hour _hour_be _limited_and _odd_. ',true
1352,'good ','_good_. ',false
1353,'location ','',false
1368,'good ','_good_. ',false
1369,'nice city ','_nice_in _city_. ',false
1370,'comfort fridge ','_comfort_have ',false
1392,'good ','_good_. ',false
1393,'good location ','_good_location _location_. ',false
1394,'lot elevator work rapidly ','_lot_of _elevator_that _work_rapidly _rapidly_. ',true
1395,'old building ','_old_building _building_. ',true
1396,'lot amenity ','_lot_of _amenity_. ',false
1432,'home away home ','_home_away _away_from _home_. ',false
1433,'ideal location equipment heart downtown montreal ','_ideal_location _location_of _equipment_at _heart_of _downtown_montreal _montreal_. ',false
1434,'friendly helpful personel ','_friendly_and _helpful_staff _personel_. ',false
1435,'trustworthy housekeeping ','_trustworthy_housekeeping _housekeeping_. ',false
1436,'wide selection equipment close equipment location location taxi shopping mall equipment pharmacy etc ','_wide_selection _selection_of _equipment_close _close_to _equipment_( _location_station _location_, _taxi_, _shopping_mall _mall_, _equipment_, _pharmacy_, _etc_) ',false
1437,'many homeless people near equipment ','_many_homeless _homeless_people _people_near _near_hotel _equipment_. ',false
1480,'pleasant ','_pleasant_. ',false
1481,'good location ','_good_location _location_. ',false
1482,'design quite old need change lift car park ','_design_be _quite_old _old_and _need_change _change_lift _lift_to _car_park ',true
1504,'equipment convenient location shuttle location ','_equipment_be _convenient_to _location_shuttle _shuttle_and _location_. ',false
1505,'comfort comfy ','_comfort_be _comfy_. ',false
1506,'other machine work ','_other_machine _machine_do _work_. ',false
1507,'strange cleanliness comfort ','_strange_smell _cleanliness_in _comfort_. ',false
1508,'comfort equipment little tired tatty ','_comfort_and _equipment_be _little_tired _tired_and _tatty_. ',true
1509,'#crd# personel friendly ','_#crd#_of _personel_be _friendly_. ',false
1510,'make effort friendly helpful ','_make_no _effort_to _friendly_or _helpful_. ',false
1560,'bad ','_bad_. ',false
1561,'location comfort ','_location_, _comfort_. ',false
1562,'payment process ','_payment_process ',false
1584,'nice equipment would recommend ','_nice_hotel _equipment_, _would_recommend _recommend_. ',true
1585,'personel sammy checkin helpful provide comfort nice location ','_personel_( _sammy_, _checkin_) _helpful_in _provide_a _comfort_with _nice_view _location_! ',false
1586,'bad signage direction parking garage equipment other court ect ','_bad_signage _signage_for _direction_from _parking_garage _garage_to _equipment_through _other_court _court_, _ect_. ',true
1608,'good ','_good_. ',false
1609,'location great ','_location_be _great_. ',false
1610,'old equipment old equipments old comfort old carpets .. ','_old_hotel _equipment_with _old_equipments _equipments_: _old_bathroom _comfort_, _old_carpets _carpets_.. ',true
1611,'need urgent remodeling ','_need_urgent _urgent_remodeling ',true
1640,'other need improvement ','_other_need _need_improvement _improvement_. ',false
1641,'proximity other montreal ','_proximity_to _other_in _montreal_. ',false
1642,'location ','_location_. ',false
1643,'other bit expensive ','_other_a _bit_expensive _expensive_. ',false
1644,'cold ','_cold_. ',false
1645,'spresso ','',false
1688,'fairly good equipment nice practical location ','_fairly_good _good_hotel _equipment_, _nice_practical _practical_location _location_. ',true
1689,'good location other fast able get comfort early expect general other pleasant ','_good_location _location_, _other_- _fast_, _able_to _get_my _comfort_early _early_than _expect_, _general_the _other_be _pleasant_. ',false
1690,'s also connect shopping mall location system go outside get ','_s_also _also_connect _connect_to _shopping_mall _mall_and _location_system _system_, _go_outside _outside_to _get_to ',false
1691,'#ord# other equipment sure wo last ','_#ord#_stay _other_in _equipment_and _sure_it _wo_not _last_. ',false
1692,'big comfort comfort let sound light mildly annoying try sleep ','_big_space _comfort_under _comfort_let _let_the _sound_and _light_in _mildly_annoying _annoying_while _try_to _sleep_. ',false
1693,'also reduce score equipment equipment still follow archaic slightly offensive practice put bible case new testament comfort ','_also_reduce _reduce_the _score_for _equipment_ _equipment_still _still_follow _follow_the _archaic_( _slightly_offensive _offensive_) _practice_of _put_a _bible_( _case_, _new_testament _testament_) _comfort_. ',false
1694,'non-christian irritate would like stop ','_non-christian_, _irritate_me _would_like _like_it _stop_. ',false
1744,'pleasant ','_pleasant_. ',false
1745,'nice clean equipment ','_nice_clean _clean_hotel _equipment_. ',true
1746,'night hear air circulation almost sound like roller coaster keep wake ','_night_hear _hear_the _air_circulation _circulation_almost _almost_sound _sound_like _like_a _roller_coaster _coaster_keep _keep_wake _wake_me ',false
1768,'location location location ','_location_, _location_, _location_. ',false
1769,'location absolutely terrific ','_location_be _absolutely_terrific _terrific_. ',false
1770,'personel extremely accommodate equipment need update ','_personel_be _extremely_accommodate _accommodate_, _equipment_be _need_of _update_. ',true
1771,'#ord# comfort cleanliness like smoke immediately move another comfort ','_#ord#_room _comfort_smell _cleanliness_like _like_smoke _smoke_, _immediately_move _move_to _another_room _comfort_. ',false
1772,'lock work immediately fix ','_lock_be _work_- _immediately_fix _fix_. ',false
1773,'personel help us book train ride loan us wine opener never say request ','_personel_help _help_us _us_book _book_our _train_ride _ride_, _loan_us _us_a _wine_opener _opener_, _never_say _say_ _request_. ',false
1774,'comfort need upgrade ','_comfort_need _need_upgrade _upgrade_. ',false
1824,'satisfy ','_satisfy_! ',false
1825,'equipment location great ','_equipment_location _location_be _great_! ',false
1826,'easy location location ','_easy_subway _location_access _location_. ',false
1827,'close equipment equipment comfort comfortable ','_close_to _equipment_and _equipment_, _comfort_be _comfortable_. ',false
1828,'personel bilingual able give information get around city ','_personel_be _bilingual_, _able_to _give_information _information_for _get_around _around_the _city_. ',false
1829,'comfort beside elevator could hear go quite loudly ','_comfort_be _beside_the _elevator_and _could_hear _hear_them _go_up _quite_loudly _loudly_. ',false
1830,'wasn?ft good noise wake morning ','_wasn?ft_the _good_noise _noise_to _wake_up _morning_. ',false
1880,'pleasant ','_pleasant_. ',false
1881,'complain roos give us good comfort ','_complain_for _roos_they _give_us _us_good _good_room _comfort_. ',false
1882,'complain send maintenance man comfort other comfort tell wrong comfort fine ','_complain_they _send_the _maintenance_man _man_to _comfort_and _other_my _comfort_to _tell_me _wrong_and _comfort_be _fine_. ',false
1883,'leave change comfort good #crd# ','_leave_then _change_my _comfort_and _good_#crd# _#crd#_. ',false
1912,'okay ','_okay_. ',false
1913,'indoor location iga location definitely asset ','_indoor_access _location_to _iga_and _location_be _definitely_an _asset_. ',false
1914,'comfort fixture look old outdated ','_comfort_fixture _fixture_and _look_be _old_and _outdated_. ',false
1915,'enough electric outlet personal device ','_enough_electric _electric_outlet _outlet_for _personal_device _device_. ',false
1944,'other good convenient location comfortable spacious comfort ','_other_be _good_, _convenient_location _location_, _comfortable_and _spacious_room _comfort_. ',false
1945,'location old town good ','_location_to _old_town _town_good _good_. ',false
1946,'park across way pleasant enjoy music ','_park_across _across_the _way_be _pleasant_and _enjoy_the _music_. ',false
1947,'convenient iga attach equipment ','_convenient_have _iga_attach _attach_to _equipment_. ',false
1948,'desk personel personel feel position understaffed ','_desk_staff _personel_and _personel_we _feel_that _position_be _understaffed_. ',false
1949,'ask other desk twice none leave #ord# day #crd# #ord# day ','_ask_for _other_at _desk_twice _twice_as _none_be _leave_the _#ord#_day _day_and _#crd#_the _#ord#_day _day_. ',false
1950,'care location behind equipment go away park people seem disrespectful public property location feel particularly safe evening ','_care_for _location_behind _behind_the _equipment_go _go_away _away_from _park_, _people_seem _seem_disrespectful _disrespectful_of _public_property _property_and _location_do _feel_particularly _particularly_safe _safe_in _evening_. ',false
1951,'weekend marathon #crd# equipment able tell us expect morning marathon leave ','_weekend_of _marathon_and _#crd#_at _equipment_be _able_to _tell_us _us_what _expect_the _morning_of _marathon_which ',false
2008,'disgust st night defective air con ','_disgust_on _st_night _night_because _defective_air _air_con _con_. ',false
2009,'kudos daytime personel transfer us another comfort #ord# night air con st night available comfort transfer claim friendly night personel ','_kudos_to _daytime_receptionist _personel_, _transfer_us _us_to _another_room _comfort_on _#ord#_night _night_, _air_- _con_on _st_night _night_, _available_room _comfort_to _transfer_as _claim_by _friendly_night _night_staff _personel_. ',false
2010,'friendly night personel .. ','_friendly_night _night_receptionist _personel_.. ',false
2011,'give us comfort defective air con ','_give_us _us_a _comfort_with _defective_air _air_- _con_. ',false
2040,'good location nice look old interior need renovation ','_good_location _location_nice _nice_look _look_but _old_from _interior_it _need_renovation _renovation_. ',true
2041,'good equipment montreal nice look city ','_good_place _equipment_in _montreal_with _nice_look _look_to _city_. ',false
2042,'other old comfort comfort style carpet ac cleanliness belong 0 ','_other_be _old_furniture _comfort_bathroom _comfort_style _style_of _carpet_ac _ac_window _cleanliness_as _belong_to _0_. ',true
2043,'comfort design comfort comfort ac ','_comfort_design _design_furniture _comfort_bathroom _comfort_ac ',false
2072,'come ','_come_again ',false
2073,'great location !! ','_great_location _location_!! ',false
2074,'ndly equipment personel ','_ndly_hotel _equipment_staff _personel_. ',false
2075,'star equipment expect safe box comfort comfort ','_star_hotel _equipment_be _expect_to _safe_box _box_at _comfort_, _comfort_! ',false
2076,'glass cup single use plastic paper ','_glass_/ _cup_be _single_use _use_plastic _plastic_or _paper_. ',false
2077,'lectric charging comfort desk ','_lectric_charging _charging_at _comfort_desk _desk_. ',false
2120,'good ','_good_. ',false
2121,'injure twice hide obstacle protrude comfort frame ','_injure_, _twice_, _hide_obstacle _obstacle_protrude _protrude_from _comfort_frame _frame_. ',false
2122,'management willing adequately address ','_management_be _willing_to _adequately_address _address_. ',false
2144,'okay ','_okay_. ',false
2145,'location location location great ','_location_and _location_to _location_be _great_. ',false
2146,'comfort need immediate upgrade ','_comfort_be _need_of _immediate_upgrade _upgrade_. ',false
2147,'cleanliness mould ','_cleanliness_the _mould_. ',false
2148,'comfort good size new wallpaper would great ','_comfort_good _good_size _size_but _new_wallpaper _wallpaper_would _would_be _great_. ',false
2184,'okay ','_okay_. ',false
2185,'great location ','_great_location _location_. ',false
2186,'comfortable comfort ','_comfortable_bed _comfort_. ',false
2187,'outdate ','_outdate_. ',false
2188,'big line elevator ','_big_line _line_at _elevator_. ',false
2224,'other other counter great !! ','_other_at _other_in _counter_it _great_!! ',false
2225,'comfort comfortable .. ','_comfort_be _comfortable_.. ',false
2226,'personel attend comfort lovely personel ','_personel_attend _attend_to _comfort_be _lovely_lady _personel_. ',false
2227,'front desk personel less pleasant .. ','_front_desk _desk_lady _personel_be _less_then _pleasant_.. ',false
2228,'abrasive us ask explain alittle good us .. ','_abrasive_with _us_when _ask_her _explain_herself _alittle_good _good_to _us_.. ',false
2229,'make clear us annoy us !! ','_make_very _clear_to _us_that _annoy_with _us_!! ',false
2230,'really make us feel stupid ','_really_do _make_us _us_feel _feel_stupid ',false
2280,'pleasant ','_pleasant_. ',false
2281,'location excellent ','_location_be _excellent_. ',false
2282,'comfort clean ','_comfort_be _clean_. ',false
2283,'surprised ac noisy ','_surprised_that _ac_be _noisy_. ',false
2284,'ose try open fresh air find spider network outside cleanliness ','_ose_it _try_to _open_the _fresh_air _air_, _find_spider _spider_network _network_outside _outside_the _cleanliness_. ',false
2285,'ve comment other hope fixation next other ','_ve_all _comment_to _other_out _hope_fixation _fixation_in _next_time _other_. ',false
2328,'okay ','_okay_. ',false
2329,'good location friendly personel ','_good_location _location_, _friendly_staff _personel_. ',false
2330,'star equipment plastic glass paper cup ','_star_hotel _equipment_with _plastic_glass _glass_and _paper_cup _cup_. ',false
2331,'equipment need major renovation date ','_equipment_need _need_a _major_renovation _renovation_( _date_) ',true
2360,'read negative review must admit other quite ok ','_read_some _negative_review _review_, _must_admit _admit_our _other_be _quite_ok _ok_. ',false
2361,'location indoor garage clean comfort ','_location_; _indoor_garage _garage_; _clean_room _comfort_. ',false
2362,'equipment could open bit long still s nice #crd# ','_equipment_could _could_be _open_a _bit_long _long_but _still_, _s_nice _nice_to _#crd#_. ',true
2384,'get bite comfort bug whole night throw away clothes ','_get_bite _bite_by _comfort_bug _bug_the _whole_night _night_and _throw_away _away_all _clothes_. ',false
2385,'love quick personel ','_love_the _quick_service _personel_. ',false
2386,'comfort bug ','_comfort_bug ',false
2408,'location key ','_location_be _key_. ',false
2409,'great location parking garage easy walk number equipment shop thing see ','_great_location _location_, _parking_garage _garage_and _easy_walk _walk_to _number_of _equipment_, _shop_and _thing_to _see_and ',true
2410,'book king comfort give comfort #crd# queen comfort right next incredibly noisy elevator ','_book_a _king_room _comfort_and _give_room _comfort_with _#crd#_queen _queen_bed _comfort_which _right_next _next_to _incredibly_noisy _noisy_elevator _elevator_. ',false
2411,'slept poorly queen comfort less #url# website may overpay ','_slept_poorly _poorly_and _queen_room _comfort_be _less_on _#url#_website _website_so _may_have _overpay_. ',false
2412,'lack washcloth comfort clean well st night other #ord# night ','_lack_washcloth _washcloth_and _comfort_not _clean_as _well_0 _st_night _night_of _other_as _#ord#_night _night_. ',false
2413,'parking validate other address other ','_parking_not _validate_on _other_in _address_at _other_out ',false
2456,'location key ','_location_be _key_. ',false
2457,'great location parking garage easy walk number equipment shop thing see ','_great_location _location_, _parking_garage _garage_and _easy_walk _walk_to _number_of _equipment_, _shop_and _thing_to _see_and ',true
2458,'book king comfort give comfort #crd# queen comfort right next incredibly noisy elevator ','_book_a _king_room _comfort_and _give_room _comfort_with _#crd#_queen _queen_bed _comfort_which _right_next _next_to _incredibly_noisy _noisy_elevator _elevator_. ',false
2459,'slept poorly queen comfort less #url# website may overpay ','_slept_poorly _poorly_and _queen_room _comfort_be _less_on _#url#_website _website_so _may_have _overpay_. ',false
2460,'lack washcloth comfort clean well st night other #ord# night ','_lack_washcloth _washcloth_and _comfort_not _clean_as _well_0 _st_night _night_of _other_as _#ord#_night _night_. ',false
2461,'parking validate other address other ','_parking_not _validate_on _other_in _address_at _other_out ',false
2504,'blah equipment other ','_blah_hotel _equipment_experience _other_. ',false
2505,'ok ','_ok_. ',false
2506,'comfort personel ok ','_comfort_and _personel_be _ok_. ',false
2507,'nothing special ','_nothing_special _special_. ',false
