@relation Lage

@attribute id numeric
@attribute lemmas string
@attribute bigrams string
@attribute aspecttype {true, false}

@data
592,'wish would wait low rate site offer 0 per night ','_wish_i _would_have _wait_for _low_rate _rate_the _site_be _offer_$ _0_per _per_night _night_. ',false
593,'other #crd# ni ','_other_for _#crd#_ni _ni_. ',false
594,'nice big comfort upgrade arrival ','_nice_big _big_room _comfort_upgrade _upgrade_on _arrival_. ',false
595,'cleanliness lobby #ord# walk cleanliness stale like nursing home ','_cleanliness_in _lobby_when _#ord#_walk _walk_in _cleanliness_stale _stale_like _like_a _nursing_home _home_. ',false
596,'much antiseptic cleanliness try cover stale cleanliness ','_much_antiseptic _antiseptic_smell _cleanliness_try _try_to _cover_up _stale_smell _cleanliness_. ',false
597,'beautiful old building appreciate ','_beautiful_old _old_building _building_i _appreciate_. ',false
598,'also turn other midnight ','_also_they _turn_off _other_from _midnight_to ',false
599,'big affect far comfort ','_big_affect _affect_as _far_as ',false
646,'good ','_good_. ',false
647,'location good?cprice fair ','_location_be _good?cprice_be _fair_. ',false
648,'old equipment comfort curtain fall ','_old_hotel _equipment_, _comfort_the _curtain_fall _fall_off ',false
678,'other ok bit like b&b old style equipment ambience without equipment diner ','_other_be _ok_but _bit_like _like_a _b&b_with _old_style _style_hotel _equipment_ambience _ambience_without _without_a _equipment_and _diner_. ',false
679,'other good location excellent location comfort good ','_other_be _good_, _location_excellent _excellent_, _location_from _comfort_be _good_. ',true
680,'comfort clean personel good ','_comfort_clean _clean_service _personel_be _good_. ',false
681,'safe equipment quiet ','_safe_place _equipment_and _quiet_. ',true
682,'usb pports power point electronic device comfort old comfort squeak ','_usb_pports _pports_and _power_point _point_for _electronic_device _device_; _comfort_be _old_and _comfort_squeak _squeak_. ',false
683,'last evening could get comfort apparently other already ','_last_evening _evening_we _could_not _get_into _comfort_as _apparently_check _other_out _already_. ',false
684,'comfort personel equipment except lunch other quite star standard ','_comfort_service _personel_, _equipment_except _except_during _lunch_time _other_not _quite_0 _star_standard ',false
730,'excellent customer personel ','_excellent_customer _customer_service _personel_. ',false
731,'personel accommodating helpful ','_personel_be _accommodating_and _helpful_. ',false
732,'comfort comfort mold wall ','_comfort_shower _comfort_have _mold_on _wall_. ',false
733,'explain problem front desk apologetic move us upgrade comfort ','_explain_this _problem_to _front_desk _desk_, _apologetic_and _move_us _us_to _upgrade_room _comfort_. ',false
734,'excellent customer personel ','_excellent_customer _customer_service _personel_. ',false
768,'good ','_good_. ',false
769,'location excellent central convenient public transportation equipment location equipment dupuis other court various personel ','_location_be _excellent_, _central_, _convenient_to _public_transportation _transportation_, _equipment_, _location_, _equipment_dupuis _dupuis_food _other_court _court_, _various_service _personel_. ',true
770,'maintenance spotty ','_maintenance_be _spotty_. ',false
771,'bathtub drain clog hairdryer didn?ft work ice maker several floor order comfort comfort scuff ','_bathtub_drain _drain_clog _clog_, _hairdryer_didn?ft _didn?ft_work _work_, _ice_maker _maker_on _several_floor _floor_be _order_, _comfort_in _comfort_scuff _scuff_. ',false
798,'good ','_good_. ',false
799,'really like location equipment ','_really_like _like_the _location_of _equipment_. ',true
800,'swimming equipment cold ','_swimming_pool _equipment_be _cold_. ',false
824,'pleasant ','_pleasant_. ',false
825,'great location ','_great_location _location_. ',true
826,'comfort mold ','_comfort_have _mold_. ',false
827,'move another comfort becsuse noise contiguos comfort ','_move_me _another_room _comfort_becsuse _becsuse_of _noise_from _contiguos_room _comfort_. ',false
854,'good ','_good_. ',false
855,'close shopping ','_close_to _shopping_. ',true
856,'heat comfort ','_heat_in ',false
876,'good ','_good_. ',false
877,'personel de personel nest pas sufficient ','_personel_de _de_concierge _personel_nest _nest_pas _pas_sufficient ',false
898,'okay ','_okay_. ',false
899,'location ','_location_. ',false
900,'comfort tired overused ','_comfort_be _tired_and _overused_. ',false
901,'comfort need facelift ','_comfort_need _need_a _facelift_. ',false
902,'carpet stain mould comfort ','_carpet_be _stain_, _mould_in _comfort_. ',false
934,'overall nice #crd# ','_overall_nice _nice_#crd# _#crd#_. ',false
935,'location ','_location_. ',false
936,'equipment ','',false
968,'good price price ','_good_value _price_for _price_. ',false
969,'great location next location location big modern other court supermarket ','_great_location _location_, _next_to _location_station _location_, _big_n _modern_food _other_court _court_, _supermarket_. ',true
970,'walkable city centre ','_walkable_to _city_centre _centre_. ',true
971,'err electric teapot other maker ','_err_an _electric_teapot _teapot_to _other_maker _maker_. ',false
972,'other brewer clean guest ','_other_brewer _brewer_can _clean_after _guest_. ',false
973,'','',false
974,'sheet big enough tuck matress ','_sheet_be _big_enough _enough_to _tuck_under _matress_. ',false
975,'wo roll ','_wo_not _roll_up ',false
1028,'good price effectiveness ','_good_cost _price_effectiveness _effectiveness_. ',false
1029,'good location ','_good_location _location_. ',true
1030,'good location ','_good_location _location_. ',true
1031,'breakfest could good ','_breakfest_could _could_be _good_. ',false
1032,'comfort personel equipment close dinner s essential ','_comfort_service _personel_and _equipment_be _close_for _dinner_, _s_be _essential_. ',false
1033,'equipment open evening ','_equipment_be _open_in _evening_! ',false
1072,'okay ','_okay_. ',false
1073,'great location ','_great_location _location_. ',true
1074,'lose thing leave contact say can?ft find .. ','_lose_some _thing_when _leave_and _contact_them _say_they _can?ft_find _find_it ',false
1075,'also hot other would work morning ','_also_, _hot_water _other_would _would_only _work_in ',false
1106,'good ','_good_. ',false
1107,'great buffet ','_great_buffet _buffet_. ',false
1108,'bad fridge comfort since book small comfort ','_bad_there _fridge_in _comfort_since _since_we _book_the _small_room _comfort_. ',false
1109,'great location ','_great_location _location_. ',true
1110,'parking scary least wasn?ft street ','_parking_be _scary_but _least_it _wasn?ft_on ',false
1150,'comfort serve purpose ','_comfort_serve _serve_its _purpose_. ',false
1151,'less ','_less_. ',false
1152,'comfort 0 clean comfort ','_comfort_0 _0_- _clean_room _comfort_. ',false
1153,'front personel friendly ','_front_staff _personel_be _friendly_. ',false
1154,'front entrance beautiful ','_front_entrance _entrance_be _beautiful_. ',false
1155,'ked parking underground easy location equipment ','_ked_that _parking_underground _underground_with _easy_access _location_to _equipment_. ',true
1156,'comfort 0 comfort need major renovation comfortable mold equipment tub wall ','_comfort_0 _0_- _comfort_be _need_of _major_renovation _renovation_( _comfortable_with _mold_on _equipment_tub _tub_wall _wall_) ',false
1202,'good ','_good_. ',false
1203,'lobby clean comfort clean great location city ','_lobby_be _clean_and _comfort_be _clean_and _great_view _location_of _city_. ',true
1204,'equipment equipment good ','_equipment_in _equipment_be _good_. ',false
1205,'location equipment great location st. catherine s street get downtown ','_location_of _equipment_be _great_for _location_to _st._catherine _catherine_s _s_street _street_and _get_downtown _downtown_. ',true
1206,'comfort outdated seem little scummy ','_comfort_be _outdated_, _seem_a _little_scummy _scummy_. ',false
1240,'good price ','_good_value _price_. ',false
1241,'location convenient location comfort outstanding ','_location_be _convenient_and _location_from _comfort_be _outstanding_. ',true
1242,'need update ','_need_to _update_. ',false
1243,'take full #crd# minute run comfort other really warm ','_take_a _full_#crd# _#crd#_minute _minute_run _run_the _comfort_before _other_be _really_warm _warm_. ',false
1268,'pleasant ','_pleasant_. ',false
1269,'old need reformation comon location ','_old_, _need_reformation _reformation_on _comon_area _location_. ',false
1284,'probably would other ','_probably_would _would_not _other_there ',false
1285,'work ice machine ','_work_ice _ice_machine _machine_. ',false
1310,'would go back would recommend friend ','_would_go _go_back _back_and _would_recommend _recommend_to _friend_. ',false
1311,'comfort roomy ','_comfort_be _roomy_. ',false
1312,'location excellent ','_location_be _excellent_. ',true
1313,'clean personel awesome ','_clean_and _personel_be _awesome_. ',false
1314,'air duct need clean ','_air_duct _duct_need _need_clean _clean_. ',false
1315,'come cleanliness mould ','_come_on _cleanliness_mould _mould_. ',false
1316,'equipment hour limited odd ','_equipment_hour _hour_be _limited_and _odd_. ',false
1356,'good ','_good_. ',false
1357,'location ','',false
1374,'good ','_good_. ',false
1375,'nice city ','_nice_in _city_. ',true
1376,'comfort fridge ','_comfort_have ',false
1402,'good ','_good_. ',false
1403,'good location ','_good_location _location_. ',true
1404,'lot elevator work rapidly ','_lot_of _elevator_that _work_rapidly _rapidly_. ',false
1405,'old building ','_old_building _building_. ',false
1406,'lot amenity ','_lot_of _amenity_. ',false
1444,'home away home ','_home_away _away_from _home_. ',false
1445,'ideal location equipment heart downtown montreal ','_ideal_location _location_of _equipment_at _heart_of _downtown_montreal _montreal_. ',true
1446,'friendly helpful personel ','_friendly_and _helpful_staff _personel_. ',false
1447,'trustworthy housekeeping ','_trustworthy_housekeeping _housekeeping_. ',false
1448,'wide selection equipment close equipment location location taxi shopping mall equipment pharmacy etc ','_wide_selection _selection_of _equipment_close _close_to _equipment_( _location_station _location_, _taxi_, _shopping_mall _mall_, _equipment_, _pharmacy_, _etc_) ',true
1449,'many homeless people near equipment ','_many_homeless _homeless_people _people_near _near_hotel _equipment_. ',false
1486,'pleasant ','_pleasant_. ',false
1487,'good location ','_good_location _location_. ',true
1488,'design quite old need change lift car park ','_design_be _quite_old _old_and _need_change _change_lift _lift_to _car_park ',false
1518,'equipment convenient location shuttle location ','_equipment_be _convenient_to _location_shuttle _shuttle_and _location_. ',true
1519,'comfort comfy ','_comfort_be _comfy_. ',false
1520,'other machine work ','_other_machine _machine_do _work_. ',false
1521,'strange cleanliness comfort ','_strange_smell _cleanliness_in _comfort_. ',false
1522,'comfort equipment little tired tatty ','_comfort_and _equipment_be _little_tired _tired_and _tatty_. ',false
1523,'#crd# personel friendly ','_#crd#_of _personel_be _friendly_. ',false
1524,'make effort friendly helpful ','_make_no _effort_to _friendly_or _helpful_. ',false
1566,'bad ','_bad_. ',false
1567,'location comfort ','_location_, _comfort_. ',false
1568,'payment process ','_payment_process ',false
1590,'nice equipment would recommend ','_nice_hotel _equipment_, _would_recommend _recommend_. ',false
1591,'personel sammy checkin helpful provide comfort nice location ','_personel_( _sammy_, _checkin_) _helpful_in _provide_a _comfort_with _nice_view _location_! ',true
1592,'bad signage direction parking garage equipment other court ect ','_bad_signage _signage_for _direction_from _parking_garage _garage_to _equipment_through _other_court _court_, _ect_. ',false
1616,'good ','_good_. ',false
1617,'location great ','_location_be _great_. ',true
1618,'old equipment old equipments old comfort old carpets .. ','_old_hotel _equipment_with _old_equipments _equipments_: _old_bathroom _comfort_, _old_carpets _carpets_.. ',false
1619,'need urgent remodeling ','_need_urgent _urgent_remodeling ',false
1652,'other need improvement ','_other_need _need_improvement _improvement_. ',false
1653,'proximity other montreal ','_proximity_to _other_in _montreal_. ',true
1654,'location ','_location_. ',false
1655,'other bit expensive ','_other_a _bit_expensive _expensive_. ',false
1656,'cold ','_cold_. ',false
1657,'spresso ','',false
1702,'fairly good equipment nice practical location ','_fairly_good _good_hotel _equipment_, _nice_practical _practical_location _location_. ',true
1703,'good location other fast able get comfort early expect general other pleasant ','_good_location _location_, _other_- _fast_, _able_to _get_my _comfort_early _early_than _expect_, _general_the _other_be _pleasant_. ',true
1704,'s also connect shopping mall location system go outside get ','_s_also _also_connect _connect_to _shopping_mall _mall_and _location_system _system_, _go_outside _outside_to _get_to ',true
1705,'#ord# other equipment sure wo last ','_#ord#_stay _other_in _equipment_and _sure_it _wo_not _last_. ',false
1706,'big comfort comfort let sound light mildly annoying try sleep ','_big_space _comfort_under _comfort_let _let_the _sound_and _light_in _mildly_annoying _annoying_while _try_to _sleep_. ',false
1707,'also reduce score equipment equipment still follow archaic slightly offensive practice put bible case new testament comfort ','_also_reduce _reduce_the _score_for _equipment_ _equipment_still _still_follow _follow_the _archaic_( _slightly_offensive _offensive_) _practice_of _put_a _bible_( _case_, _new_testament _testament_) _comfort_. ',false
1708,'non-christian irritate would like stop ','_non-christian_, _irritate_me _would_like _like_it _stop_. ',false
1750,'pleasant ','_pleasant_. ',false
1751,'nice clean equipment ','_nice_clean _clean_hotel _equipment_. ',false
1752,'night hear air circulation almost sound like roller coaster keep wake ','_night_hear _hear_the _air_circulation _circulation_almost _almost_sound _sound_like _like_a _roller_coaster _coaster_keep _keep_wake _wake_me ',false
1782,'location location location ','_location_, _location_, _location_. ',false
1783,'location absolutely terrific ','_location_be _absolutely_terrific _terrific_. ',true
1784,'personel extremely accommodate equipment need update ','_personel_be _extremely_accommodate _accommodate_, _equipment_be _need_of _update_. ',false
1785,'#ord# comfort cleanliness like smoke immediately move another comfort ','_#ord#_room _comfort_smell _cleanliness_like _like_smoke _smoke_, _immediately_move _move_to _another_room _comfort_. ',false
1786,'lock work immediately fix ','_lock_be _work_- _immediately_fix _fix_. ',false
1787,'personel help us book train ride loan us wine opener never say request ','_personel_help _help_us _us_book _book_our _train_ride _ride_, _loan_us _us_a _wine_opener _opener_, _never_say _say_ _request_. ',false
1788,'comfort need upgrade ','_comfort_need _need_upgrade _upgrade_. ',false
1838,'satisfy ','_satisfy_! ',false
1839,'equipment location great ','_equipment_location _location_be _great_! ',true
1840,'easy location location ','_easy_subway _location_access _location_. ',true
1841,'close equipment equipment comfort comfortable ','_close_to _equipment_and _equipment_, _comfort_be _comfortable_. ',true
1842,'personel bilingual able give information get around city ','_personel_be _bilingual_, _able_to _give_information _information_for _get_around _around_the _city_. ',false
1843,'comfort beside elevator could hear go quite loudly ','_comfort_be _beside_the _elevator_and _could_hear _hear_them _go_up _quite_loudly _loudly_. ',false
1844,'wasn?ft good noise wake morning ','_wasn?ft_the _good_noise _noise_to _wake_up _morning_. ',false
1888,'pleasant ','_pleasant_. ',false
1889,'complain roos give us good comfort ','_complain_for _roos_they _give_us _us_good _good_room _comfort_. ',false
1890,'complain send maintenance man comfort other comfort tell wrong comfort fine ','_complain_they _send_the _maintenance_man _man_to _comfort_and _other_my _comfort_to _tell_me _wrong_and _comfort_be _fine_. ',false
1891,'leave change comfort good #crd# ','_leave_then _change_my _comfort_and _good_#crd# _#crd#_. ',false
1920,'okay ','_okay_. ',false
1921,'indoor location iga location definitely asset ','_indoor_access _location_to _iga_and _location_be _definitely_an _asset_. ',true
1922,'comfort fixture look old outdated ','_comfort_fixture _fixture_and _look_be _old_and _outdated_. ',false
1923,'enough electric outlet personal device ','_enough_electric _electric_outlet _outlet_for _personal_device _device_. ',false
1960,'other good convenient location comfortable spacious comfort ','_other_be _good_, _convenient_location _location_, _comfortable_and _spacious_room _comfort_. ',true
1961,'location old town good ','_location_to _old_town _town_good _good_. ',true
1962,'park across way pleasant enjoy music ','_park_across _across_the _way_be _pleasant_and _enjoy_the _music_. ',true
1963,'convenient iga attach equipment ','_convenient_have _iga_attach _attach_to _equipment_. ',false
1964,'desk personel personel feel position understaffed ','_desk_staff _personel_and _personel_we _feel_that _position_be _understaffed_. ',false
1965,'ask other desk twice none leave #ord# day #crd# #ord# day ','_ask_for _other_at _desk_twice _twice_as _none_be _leave_the _#ord#_day _day_and _#crd#_the _#ord#_day _day_. ',false
1966,'care location behind equipment go away park people seem disrespectful public property location feel particularly safe evening ','_care_for _location_behind _behind_the _equipment_go _go_away _away_from _park_, _people_seem _seem_disrespectful _disrespectful_of _public_property _property_and _location_do _feel_particularly _particularly_safe _safe_in _evening_. ',true
1967,'weekend marathon #crd# equipment able tell us expect morning marathon leave ','_weekend_of _marathon_and _#crd#_at _equipment_be _able_to _tell_us _us_what _expect_the _morning_of _marathon_which ',false
2016,'disgust st night defective air con ','_disgust_on _st_night _night_because _defective_air _air_con _con_. ',false
2017,'kudos daytime personel transfer us another comfort #ord# night air con st night available comfort transfer claim friendly night personel ','_kudos_to _daytime_receptionist _personel_, _transfer_us _us_to _another_room _comfort_on _#ord#_night _night_, _air_- _con_on _st_night _night_, _available_room _comfort_to _transfer_as _claim_by _friendly_night _night_staff _personel_. ',false
2018,'friendly night personel .. ','_friendly_night _night_receptionist _personel_.. ',false
2019,'give us comfort defective air con ','_give_us _us_a _comfort_with _defective_air _air_- _con_. ',false
2048,'good location nice look old interior need renovation ','_good_location _location_nice _nice_look _look_but _old_from _interior_it _need_renovation _renovation_. ',true
2049,'good equipment montreal nice look city ','_good_place _equipment_in _montreal_with _nice_look _look_to _city_. ',true
2050,'other old comfort comfort style carpet ac cleanliness belong 0 ','_other_be _old_furniture _comfort_bathroom _comfort_style _style_of _carpet_ac _ac_window _cleanliness_as _belong_to _0_. ',false
2051,'comfort design comfort comfort ac ','_comfort_design _design_furniture _comfort_bathroom _comfort_ac ',false
2084,'come ','_come_again ',false
2085,'great location !! ','_great_location _location_!! ',true
2086,'ndly equipment personel ','_ndly_hotel _equipment_staff _personel_. ',false
2087,'star equipment expect safe box comfort comfort ','_star_hotel _equipment_be _expect_to _safe_box _box_at _comfort_, _comfort_! ',false
2088,'glass cup single use plastic paper ','_glass_/ _cup_be _single_use _use_plastic _plastic_or _paper_. ',false
2089,'lectric charging comfort desk ','_lectric_charging _charging_at _comfort_desk _desk_. ',false
2126,'good ','_good_. ',false
2127,'injure twice hide obstacle protrude comfort frame ','_injure_, _twice_, _hide_obstacle _obstacle_protrude _protrude_from _comfort_frame _frame_. ',false
2128,'management willing adequately address ','_management_be _willing_to _adequately_address _address_. ',false
2154,'okay ','_okay_. ',false
2155,'location location location great ','_location_and _location_to _location_be _great_. ',true
2156,'comfort need immediate upgrade ','_comfort_be _need_of _immediate_upgrade _upgrade_. ',false
2157,'cleanliness mould ','_cleanliness_the _mould_. ',false
2158,'comfort good size new wallpaper would great ','_comfort_good _good_size _size_but _new_wallpaper _wallpaper_would _would_be _great_. ',false
2194,'okay ','_okay_. ',false
2195,'great location ','_great_location _location_. ',true
2196,'comfortable comfort ','_comfortable_bed _comfort_. ',false
2197,'outdate ','_outdate_. ',false
2198,'big line elevator ','_big_line _line_at _elevator_. ',false
2238,'other other counter great !! ','_other_at _other_in _counter_it _great_!! ',false
2239,'comfort comfortable .. ','_comfort_be _comfortable_.. ',false
2240,'personel attend comfort lovely personel ','_personel_attend _attend_to _comfort_be _lovely_lady _personel_. ',false
2241,'front desk personel less pleasant .. ','_front_desk _desk_lady _personel_be _less_then _pleasant_.. ',false
2242,'abrasive us ask explain alittle good us .. ','_abrasive_with _us_when _ask_her _explain_herself _alittle_good _good_to _us_.. ',false
2243,'make clear us annoy us !! ','_make_very _clear_to _us_that _annoy_with _us_!! ',false
2244,'really make us feel stupid ','_really_do _make_us _us_feel _feel_stupid ',false
2292,'pleasant ','_pleasant_. ',false
2293,'location excellent ','_location_be _excellent_. ',true
2294,'comfort clean ','_comfort_be _clean_. ',false
2295,'surprised ac noisy ','_surprised_that _ac_be _noisy_. ',false
2296,'ose try open fresh air find spider network outside cleanliness ','_ose_it _try_to _open_the _fresh_air _air_, _find_spider _spider_network _network_outside _outside_the _cleanliness_. ',false
2297,'ve comment other hope fixation next other ','_ve_all _comment_to _other_out _hope_fixation _fixation_in _next_time _other_. ',false
2336,'okay ','_okay_. ',false
2337,'good location friendly personel ','_good_location _location_, _friendly_staff _personel_. ',true
2338,'star equipment plastic glass paper cup ','_star_hotel _equipment_with _plastic_glass _glass_and _paper_cup _cup_. ',false
2339,'equipment need major renovation date ','_equipment_need _need_a _major_renovation _renovation_( _date_) ',false
2366,'read negative review must admit other quite ok ','_read_some _negative_review _review_, _must_admit _admit_our _other_be _quite_ok _ok_. ',false
2367,'location indoor garage clean comfort ','_location_; _indoor_garage _garage_; _clean_room _comfort_. ',false
2368,'equipment could open bit long still s nice #crd# ','_equipment_could _could_be _open_a _bit_long _long_but _still_, _s_nice _nice_to _#crd#_. ',false
2390,'get bite comfort bug whole night throw away clothes ','_get_bite _bite_by _comfort_bug _bug_the _whole_night _night_and _throw_away _away_all _clothes_. ',false
2391,'love quick personel ','_love_the _quick_service _personel_. ',false
2392,'comfort bug ','_comfort_bug ',false
2420,'location key ','_location_be _key_. ',true
2421,'great location parking garage easy walk number equipment shop thing see ','_great_location _location_, _parking_garage _garage_and _easy_walk _walk_to _number_of _equipment_, _shop_and _thing_to _see_and ',true
2422,'book king comfort give comfort #crd# queen comfort right next incredibly noisy elevator ','_book_a _king_room _comfort_and _give_room _comfort_with _#crd#_queen _queen_bed _comfort_which _right_next _next_to _incredibly_noisy _noisy_elevator _elevator_. ',false
2423,'slept poorly queen comfort less #url# website may overpay ','_slept_poorly _poorly_and _queen_room _comfort_be _less_on _#url#_website _website_so _may_have _overpay_. ',false
2424,'lack washcloth comfort clean well st night other #ord# night ','_lack_washcloth _washcloth_and _comfort_not _clean_as _well_0 _st_night _night_of _other_as _#ord#_night _night_. ',false
2425,'parking validate other address other ','_parking_not _validate_on _other_in _address_at _other_out ',false
2468,'location key ','_location_be _key_. ',true
2469,'great location parking garage easy walk number equipment shop thing see ','_great_location _location_, _parking_garage _garage_and _easy_walk _walk_to _number_of _equipment_, _shop_and _thing_to _see_and ',true
2470,'book king comfort give comfort #crd# queen comfort right next incredibly noisy elevator ','_book_a _king_room _comfort_and _give_room _comfort_with _#crd#_queen _queen_bed _comfort_which _right_next _next_to _incredibly_noisy _noisy_elevator _elevator_. ',false
2471,'slept poorly queen comfort less #url# website may overpay ','_slept_poorly _poorly_and _queen_room _comfort_be _less_on _#url#_website _website_so _may_have _overpay_. ',false
2472,'lack washcloth comfort clean well st night other #ord# night ','_lack_washcloth _washcloth_and _comfort_not _clean_as _well_0 _st_night _night_of _other_as _#ord#_night _night_. ',false
2473,'parking validate other address other ','_parking_not _validate_on _other_in _address_at _other_out ',false
2520,'blah equipment other ','_blah_hotel _equipment_experience _other_. ',false
2521,'ok ','_ok_. ',false
2522,'comfort personel ok ','_comfort_and _personel_be _ok_. ',false
2523,'nothing special ','_nothing_special _special_. ',false
