@relation valence

@attribute id numeric
@attribute wordA string
@attribute dependency_type string
@attribute lexicons_min numeric
@attribute lexicons_avg numeric
@attribute lexicons_max numeric
@attribute context_negation numeric
@attribute context_lexicon_avg numeric
@attribute sentence_length numeric
@attribute aspecttype {positive, negative}

@data
125,location,Lage,0,0,0,0,0,16,positive
126,staff,Hotelpersonal,0,0,0,1,0,26,positive
127,entrance,Ausstattung,0,0,0,1,0,30,positive
128,access,Lage,0,0,0,0,0,70,positive
129,bathroom,Komfort,0,0,0,1,0,119,negative
130,lobby,Sauberkeit,0,0,0,0,0,77,positive
131,room,Sauberkeit,0,0,0,0,0,77,positive
132,view,Lage,0,0,0,0,0,77,positive
133,restaurant,Ausstattung,0,0,0,1,0,38,positive
134,location,Lage,0,0,0,0,0,95,positive
135,bathroom,Sauberkeit,0,0,0,0,0,58,negative
136,bathroom,Komfort,0,0,0,0,0,58,negative
137,value,Preis-Leistungs-Verhltnis,0,0,0,0,0,12,positive
138,location,Lage,0,0,0,1,0,77,positive
139,view,Lage,0,0,0,1,0,77,positive
140,update,Ausstattung,0,0,0,1,0,24,negative
141,reformation,Ausstattung,0,0,0,1,0,45,negative
142,stay,OTHER,0,0,0,1,0,37,negative
143,machine,Ausstattung,0,0,0,1,0,34,negative
144,recommend,OTHER,0,0,0,0,0,46,positive
145,room,Komfort,0,0,0,0,0,22,positive
146,location,Lage,0,0,0,1,0,28,positive
147,staff,Hotelpersonal,0,0,0,0,0,41,positive
148,duct,Sauberkeit,0,0,0,1,0,29,negative
149,hour,Ausstattung,0,0,0,0,0,37,negative
150,hour,Ausstattung,0,0,0,0,0,37,negative
151,city,Lage,0,0,0,0,0,18,positive
152,fridge,Komfort,0,0,0,1,0,18,negative
153,location,Lage,0,0,0,0,0,15,positive
154,elevator,Ausstattung,0,0,0,0,0,39,positive
155,elevator,Ausstattung,0,0,0,0,0,39,positive
156,building,Ausstattung,0,0,0,0,0,14,negative
157,amenity,Komfort,0,0,0,0,0,24,negative
158,location,Lage,0,0,0,0,0,59,positive
159,staff,Hotelpersonal,0,0,0,0,0,28,positive
160,staff,Hotelpersonal,0,0,0,0,0,28,positive
161,housekeeping,Hotelpersonal,0,0,0,0,0,26,positive
162,place,Lage,0,0,0,0,0,121,positive
163,location,Lage,0,0,0,0,0,15,positive
164,design,OTHER,0,0,0,0,0,56,negative
165,lift,Ausstattung,0,0,0,1,0,56,negative
166,hotel,Lage,0,0,0,1,0,60,positive
167,bed,Komfort,0,0,0,0,0,19,positive
168,machine,Komfort,0,0,0,1,0,33,negative
169,smell,Sauberkeit,0,0,0,0,0,39,negative
170,room,Komfort,0,0,0,0,0,49,negative
171,room,Komfort,0,0,0,0,0,49,negative
172,hotel,Ausstattung,0,0,0,0,0,49,negative
173,hotel,Ausstattung,0,0,0,0,0,49,negative
174,staff,Hotelpersonal,0,0,0,0,0,31,positive
175,effort,Hotelpersonal,0,0,0,1,0,53,negative
176,effort,Hotelpersonal,0,0,0,1,0,53,negative
177,hotel,Ausstattung,0,0,0,0,0,35,positive
178,recommend,OTHER,0,0,0,0,0,35,positive
179,staff,Hotelpersonal,0,0,0,0,0,80,positive
180,view,Lage,0,0,0,0,0,80,positive
181,signage,Ausstattung,0,0,0,0,0,87,negative
182,location,Lage,0,0,0,0,0,19,positive
183,hotel,Ausstattung,0,0,0,1,0,61,negative
184,equipments,Ausstattung,0,0,0,1,0,61,negative
185,bathroom,Komfort,0,0,0,1,0,61,negative
186,carpets,Ausstattung,0,0,0,0,0,61,negative
187,remodeling,Ausstattung,0,0,0,1,0,23,negative
188,breakfast,OTHER,0,0,0,1,0,29,negative
189,everything,Lage,0,0,0,1,0,37,positive
190,breakfast,Preis-Leistungs-Verhltnis,0,0,0,0,0,27,negative
191,hotel,Ausstattung,0,0,0,0,0,45,positive
192,location,Lage,0,0,0,0,0,45,positive
193,location,Lage,0,0,0,0,0,45,positive
194,location,Lage,0,0,0,0,0,132,positive
195,check,OTHER,0,0,0,0,0,132,positive
196,stay,OTHER,0,0,0,1,0,132,positive
197,metro,Lage,0,0,0,0,0,113,positive
198,mall,Lage,0,0,0,0,0,113,positive
199,practice,OTHER,0,0,0,0,0,198,negative
200,practice,OTHER,0,0,0,0,0,198,negative
201,hotel,Ausstattung,0,0,0,0,0,27,positive
202,hotel,Sauberkeit,0,0,0,0,0,27,positive
203,circulation,Komfort,0,0,0,0,0,97,negative
204,location,Lage,0,0,0,0,0,38,negative
205,staff,Hotelpersonal,0,0,0,0,0,80,positive
206,hotel,Ausstattung,0,0,0,1,0,80,negative
207,smell,Sauberkeit,0,0,0,0,0,83,negative
208,lock,Komfort,0,0,0,1,0,59,positive
209,lock,Komfort,0,0,0,1,0,59,negative
210,staff,Hotelpersonal,0,0,0,0,0,105,positive
211,staff,Hotelpersonal,0,0,0,0,0,105,positive
212,room,Komfort,0,0,0,1,0,26,negative
213,location,Lage,0,0,0,0,0,26,positive
214,access,Lage,0,0,0,0,0,20,positive
215,restaurant,Lage,0,0,0,1,0,59,positive
216,bar,Lage,0,0,0,1,0,59,positive
217,bed,Komfort,0,0,0,1,0,59,positive
218,staff,Hotelpersonal,0,0,0,0,0,84,positive
219,staff,Hotelpersonal,0,0,0,0,0,84,positive
220,room,Komfort,0,0,0,0,0,89,negative
221,noise,Komfort,0,0,0,1,0,53,negative
222,metro,Lage,0,0,0,0,0,55,positive
223,bathroom,Komfort,0,0,0,0,0,58,negative
224,bathroom,Komfort,0,0,0,0,0,58,negative
225,outlet,Komfort,0,0,0,1,0,58,negative
226,stay,OTHER,0,0,0,0,0,71,positive
227,location,Lage,0,0,0,1,0,71,positive
228,room,Komfort,0,0,0,0,0,71,positive
229,room,Komfort,0,0,0,0,0,71,positive
230,location,Lage,0,0,0,0,0,27,positive
231,park,Lage,0,0,0,0,0,59,positive
232,music,Komfort,0,0,0,0,0,59,positive
233,staff,Hotelpersonal,0,0,0,0,0,73,negative
234,concierge,Hotelpersonal,0,0,0,0,0,73,negative
235,people,OTHER,0,0,0,0,0,177,negative
236,area,Lage,0,0,0,1,0,177,negative
237,air,Komfort,0,0,0,0,0,58,negative
238,receptionist,Hotelpersonal,0,0,0,0,0,206,positive
239,air,Komfort,0,0,0,1,0,206,negative
240,room,Komfort,0,0,0,1,0,206,negative
241,staff,Hotelpersonal,0,0,0,0,0,206,negative
242,receptionist,Hotelpersonal,0,0,0,0,0,37,negative
243,air,Komfort,0,0,0,0,0,45,negative
244,location,Lage,0,0,0,0,0,67,positive
245,look,Ausstattung,0,0,0,0,0,67,positive
246,interior,Ausstattung,0,0,0,1,0,67,negative
247,renovation,Ausstattung,0,0,0,1,0,67,negative
248,place,Lage,0,0,0,1,0,51,positive
249,look,Lage,0,0,0,1,0,51,positive
250,style,Ausstattung,0,0,0,0,0,90,negative
251,bathroom,Komfort,0,0,0,0,0,90,negative
252,furniture,Komfort,0,0,0,0,0,90,negative
253,come,OTHER,0,0,0,0,0,19,positive
254,location,Lage,0,0,0,0,0,18,positive
255,obstacle,Komfort,0,0,0,0,0,75,negative
256,management,Hotelpersonal,0,0,0,1,0,50,negative
257,location,Lage,0,0,0,0,0,41,positive
258,access,Lage,0,0,0,0,0,41,positive
259,bathroom,Komfort,0,0,0,1,0,45,negative
260,size,Komfort,0,0,0,0,0,55,positive
261,wallpaper,Komfort,0,0,0,0,0,55,negative
262,location,Lage,0,0,0,0,0,16,positive
263,bed,Komfort,0,0,0,0,0,17,positive
264,line,OTHER,0,0,0,0,0,24,negative
265,bed,Komfort,0,0,0,0,0,28,positive
266,woman,Hotelpersonal,0,0,0,0,0,55,positive
267,lady,Hotelpersonal,0,0,0,0,0,55,positive
268,lady,Hotelpersonal,0,0,0,1,0,46,negative
269,feel,OTHER,0,0,0,0,0,34,negative
270,location,Lage,0,0,0,1,0,28,positive
271,room,Sauberkeit,0,0,0,0,0,16,positive
272,ac,Komfort,0,0,0,1,0,44,negative
273,location,Lage,0,0,0,0,0,32,positive
274,staff,Hotelpersonal,0,0,0,0,0,32,positive
275,renovation,Ausstattung,0,0,0,1,0,45,negative
276,room,Sauberkeit,0,0,0,0,0,39,positive
277,pool,Ausstattung,0,0,0,0,0,72,positive
278,pool,Ausstattung,0,0,0,0,0,72,negative
279,service,Hotelpersonal,0,0,0,0,0,25,positive
280,service,Hotelpersonal,0,0,0,0,0,25,positive
281,location,Lage,0,0,0,0,0,17,positive
282,garage,Ausstattung,0,0,0,0,0,107,positive
283,location,Lage,0,0,0,0,0,107,positive
284,walk,Lage,0,0,0,0,0,107,positive
285,elevator,Komfort,0,0,0,1,0,106,negative
286,slept,Komfort,0,0,0,0,0,86,negative
287,washcloth,Komfort,0,0,0,1,0,92,negative
288,room,Sauberkeit,0,0,0,1,0,92,negative
289,parking,OTHER,0,0,0,1,0,69,negative
290,location,Lage,0,0,0,0,0,17,positive
291,garage,Ausstattung,0,0,0,0,0,107,positive
292,location,Lage,0,0,0,0,0,107,positive
293,walk,Lage,0,0,0,0,0,107,positive
294,elevator,Komfort,0,0,0,1,0,106,negative
295,slept,Komfort,0,0,0,0,0,86,negative
296,washcloth,Komfort,0,0,0,1,0,92,negative
297,room,Sauberkeit,0,0,0,1,0,92,negative
298,parking,OTHER,0,0,0,1,0,69,negative
299,experience,OTHER,0,0,0,0,0,23,negative
300,room,Komfort,0,0,0,0,0,26,negative
301,hotel,Ausstattung,0,0,0,0,0,26,negative
302,air,Komfort,0,0,0,0,0,41,negative
303,staff,Hotelpersonal,0,0,0,1,0,30,negative
304,room,Komfort,0,0,0,0,0,21,positive
305,neighborhood,Lage,0,0,0,0,0,36,negative
306,bathroom,Komfort,0,0,0,0,0,30,negative
307,hotel,Ausstattung,0,0,0,1,0,98,negative
308,metro,Lage,0,0,0,0,0,67,positive
309,age,Ausstattung,0,0,0,0,0,30,negative
310,upgrade,Ausstattung,0,0,0,1,0,33,negative
311,clean,Sauberkeit,0,0,0,0,0,59,negative
312,bathroom,Komfort,0,0,0,0,0,64,negative
313,bathroom,Komfort,0,0,0,0,0,64,negative
314,price,Preis-Leistungs-Verhltnis,0,0,0,0,0,123,positive
315,value,Preis-Leistungs-Verhltnis,0,0,0,0,0,123,positive
316,fridge,Komfort,0,0,0,1,0,9,negative
317,room,Sauberkeit,0,0,0,0,0,50,positive
318,cleaning,Sauberkeit,0,0,0,1,0,50,positive
319,room,Sauberkeit,0,0,0,0,0,20,positive
320,charge,Preis-Leistungs-Verhltnis,0,0,0,0,0,73,negative
321,tea,Komfort,0,0,0,1,0,46,negative
322,freezer,Komfort,0,0,0,1,0,46,negative
323,outlet,Komfort,0,0,0,0,0,99,negative
324,plug,Komfort,0,0,0,0,0,99,negative
325,hotel,Preis-Leistungs-Verhltnis,0,0,0,1,0,46,positive
326,location,Lage,0,0,0,1,0,46,positive
327,price,Preis-Leistungs-Verhltnis,0,0,0,0,0,51,positive
328,view,Lage,0,0,0,0,0,51,positive
329,location,Lage,0,0,0,1,0,51,positive
330,location,Lage,0,0,0,1,0,51,positive
331,pool,Ausstattung,0,0,0,0,0,182,negative
332,room,Komfort,0,0,0,0,0,182,negative
333,plug,Komfort,0,0,0,0,0,182,negative
334,plug,Komfort,0,0,0,0,0,182,negative
335,website,OTHER,0,0,0,0,0,208,negative
336,shower,Komfort,0,0,0,1,0,208,positive
337,man,Hotelpersonal,0,0,0,0,0,92,negative
338,man,Hotelpersonal,0,0,0,0,0,92,negative
339,man,Hotelpersonal,0,0,0,0,0,92,negative
340,locate,Lage,0,0,0,0,0,30,positive
341,bed,Komfort,0,0,0,0,0,32,positive
342,ac,Komfort,0,0,0,0,0,32,positive
343,bathroom,Komfort,0,0,0,0,0,38,negative
344,metro,Lage,0,0,0,0,0,23,positive
345,neighborhood,Lage,0,0,0,0,0,41,negative
346,hotel,Ausstattung,0,0,0,0,0,41,negative
347,bed,Komfort,0,0,0,0,0,47,positive
348,view,Lage,0,0,0,0,0,47,positive
349,room,Komfort,0,0,0,0,0,41,negative
350,room,Komfort,0,0,0,0,0,41,negative
351,aircon,Komfort,0,0,0,0,0,53,negative
352,hotel,Ausstattung,0,0,0,0,0,86,positive
353,refurbishment,Ausstattung,0,0,0,1,0,86,negative
354,staff,Hotelpersonal,0,0,0,1,0,44,positive
355,staff,Hotelpersonal,0,0,0,1,0,44,positive
356,room,Komfort,0,0,0,0,0,26,negative
357,furniture,Komfort,0,0,0,0,0,33,negative
358,wallpaper,Komfort,0,0,0,0,0,43,negative
359,order,Hotelpersonal,0,0,0,0,0,57,negative
360,room,Komfort,0,0,0,1,0,52,negative
361,linen,Komfort,0,0,0,0,0,13,positive
362,distance,Lage,0,0,0,0,0,32,positive
363,return,OTHER,0,0,0,0,0,14,positive
364,room,Komfort,0,0,0,1,0,36,negative
365,fixture,Komfort,0,0,0,0,0,91,negative
366,fixture,Komfort,0,0,0,0,0,91,negative
367,counter,Komfort,0,0,0,1,0,91,negative
368,outlet,Komfort,0,0,0,0,0,96,negative
369,charge,Komfort,0,0,0,0,0,96,negative
370,bed,Komfort,0,0,0,0,0,91,positive
371,room,Komfort,0,0,0,1,0,91,negative
372,sink,Sauberkeit,0,0,0,1,0,91,negative
373,outlet,Komfort,0,0,0,1,0,91,negative
374,staff,Hotelpersonal,0,0,0,0,0,52,positive
375,staff,Hotelpersonal,0,0,0,0,0,52,positive
376,staff,Hotelpersonal,0,0,0,0,0,52,positive
377,stay,OTHER,0,0,0,0,0,51,positive
378,room,Komfort,0,0,0,0,0,91,negative
379,window,Sauberkeit,0,0,0,0,0,91,negative
380,window,Sauberkeit,0,0,0,0,0,80,negative
381,vent,Sauberkeit,0,0,0,1,0,69,negative
382,dustballs,Sauberkeit,0,0,0,0,0,69,negative
383,cleaning,Sauberkeit,0,0,0,1,0,40,negative
384,city,Lage,0,0,0,0,0,29,positive
385,metro,Lage,0,0,0,0,0,29,positive
386,area,Lage,0,0,0,0,0,23,negative
387,time,OTHER,0,0,0,0,0,16,positive
388,bed,Komfort,0,0,0,0,0,59,positive
389,location,Lage,0,0,0,0,0,59,positive
390,shower,Sauberkeit,0,0,0,0,0,49,negative
391,give,OTHER,0,0,0,0,0,60,negative
392,stay,OTHER,0,0,0,0,0,66,positive
393,time,OTHER,0,0,0,0,0,16,positive
394,bed,Komfort,0,0,0,0,0,59,positive
395,location,Lage,0,0,0,0,0,59,negative
396,shower,Sauberkeit,0,0,0,0,0,49,negative
397,give,OTHER,0,0,0,0,0,60,negative
398,stay,OTHER,0,0,0,0,0,66,positive
399,hotel,Ausstattung,0,0,0,0,0,73,positive
400,location,Lage,0,0,0,0,0,73,positive
401,room,Komfort,0,0,0,1,0,73,negative
402,micro-wave,Komfort,0,0,0,1,0,13,negative
403,experience,OTHER,0,0,0,1,0,21,positive
404,hotel,Ausstattung,0,0,0,0,0,13,negative
405,distance,Lage,0,0,0,0,0,44,positive
406,bed,Komfort,0,0,0,0,0,52,positive
407,location,Lage,0,0,0,0,0,52,positive
408,room,Komfort,0,0,0,0,0,52,positive
409,price,Preis-Leistungs-Verhltnis,0,0,0,1,0,47,positive
410,hotel,Ausstattung,0,0,0,1,0,94,negative
411,info,OTHER,0,0,0,1,0,94,negative
412,curtain,Sauberkeit,0,0,0,0,0,32,negative
413,pressure,Komfort,0,0,0,0,0,29,negative
414,ceiling,Ausstattung,0,0,0,0,0,57,negative
415,driving,Ausstattung,0,0,0,0,0,57,negative
416,overall,OTHER,0,0,0,0,0,26,positive
417,complaint,OTHER,0,0,0,1,0,15,negative
418,bed,Komfort,0,0,0,0,0,32,positive
419,room,Sauberkeit,0,0,0,0,0,32,positive
420,breakfast,OTHER,0,0,0,1,0,35,negative
421,mall,Lage,0,0,0,0,0,60,positive
422,hotel,Ausstattung,0,0,0,0,0,23,negative
423,hotel,Ausstattung,0,0,0,0,0,99,negative
424,location,Lage,0,0,0,0,0,99,positive
425,view,Lage,0,0,0,0,0,99,positive
426,worth,Preis-Leistungs-Verhltnis,0,0,0,0,0,65,positive
427,everything,Lage,0,0,0,0,0,27,positive
428,staff,Hotelpersonal,0,0,0,0,0,42,negative
429,bathroom,Komfort,0,0,0,1,0,59,negative
430,sink,Komfort,0,0,0,1,0,59,negative
431,tub,Komfort,0,0,0,0,0,59,negative
432,location,Lage,0,0,0,1,0,77,positive
433,access,Lage,0,0,0,0,0,77,positive
434,bed,Komfort,0,0,0,0,0,37,positive
435,bed,Sauberkeit,0,0,0,0,0,37,positive
436,staff,Hotelpersonal,0,0,0,1,0,56,positive
437,room,Komfort,0,0,0,0,0,63,negative
438,bathroom,Komfort,0,0,0,1,0,63,negative
439,staff,Hotelpersonal,0,0,0,0,0,42,positive
440,locate,Lage,0,0,0,1,0,75,positive
441,access,Lage,0,0,0,0,0,36,positive
442,view,Lage,0,0,0,0,0,265,positive
443,room,Komfort,0,0,0,0,0,265,negative
444,vent,Sauberkeit,0,0,0,1,0,265,negative
445,bathroom,Komfort,0,0,0,0,0,265,negative
446,outlet,Komfort,0,0,0,0,0,265,negative
447,furniture,Ausstattung,0,0,0,0,0,74,negative
448,design,Ausstattung,0,0,0,0,0,74,negative
449,buffet,Preis-Leistungs-Verhltnis,0,0,0,0,0,95,negative
450,thermostat,Komfort,0,0,0,1,0,89,negative
451,location,Lage,0,0,0,0,0,49,positive
452,staff,Hotelpersonal,0,0,0,0,0,42,positive
453,staff,Hotelpersonal,0,0,0,0,0,42,positive
454,staff,Hotelpersonal,0,0,0,0,0,24,positive
455,hotel,Ausstattung,0,0,0,0,0,24,positive
456,location,Lage,0,0,0,0,0,16,positive
457,room,Komfort,0,0,0,0,0,29,negative
458,vent,Komfort,0,0,0,1,0,29,negative
459,windows,Sauberkeit,0,0,0,0,0,22,negative
460,location,Lage,0,0,0,1,0,45,negative
461,music,Komfort,0,0,0,0,0,45,negative
462,bed,Komfort,0,0,0,0,0,45,positive
463,room,Komfort,0,0,0,0,0,45,positive
464,room,Sauberkeit,0,0,0,0,0,45,positive
465,bathroom,Komfort,0,0,0,0,0,31,positive
466,bathroom,Sauberkeit,0,0,0,0,0,31,positive
467,stay,OTHER,0,0,0,0,0,127,positive
468,hotel,Ausstattung,0,0,0,0,0,127,positive
469,hotel,Ausstattung,0,0,0,0,0,127,positive
470,location,Lage,0,0,0,0,0,19,positive
471,staff,Hotelpersonal,0,0,0,0,0,28,positive
472,concierge,Hotelpersonal,0,0,0,0,0,40,negative
473,concierge,Hotelpersonal,0,0,0,0,0,40,negative
474,ac,Komfort,0,0,0,1,0,47,negative
475,fan,Komfort,0,0,0,0,0,47,negative
476,hotel,Ausstattung,0,0,0,0,0,37,negative
477,locate,Lage,0,0,0,0,0,53,positive
478,location,Lage,0,0,0,0,0,24,positive
479,hotel,Lage,0,0,0,0,0,90,positive
480,subway,Lage,0,0,0,0,0,90,positive
481,supermarket,Lage,0,0,0,0,0,82,positive
482,hallway,Ausstattung,0,0,0,0,0,34,negative
483,hallway,Ausstattung,0,0,0,0,0,34,negative
484,room,Komfort,0,0,0,0,0,121,positive
485,room,Komfort,0,0,0,0,0,121,negative
486,bed,Komfort,0,0,0,0,0,12,positive
487,staff,Hotelpersonal,0,0,0,0,0,23,positive
488,shower,Komfort,0,0,0,0,0,40,negative
489,clean,Sauberkeit,0,0,0,0,0,40,negative
490,parking,Ausstattung,0,0,0,0,0,17,negative
491,location,Lage,0,0,0,1,0,28,positive
492,bed,Komfort,0,0,0,0,0,50,positive
493,view,Lage,0,0,0,0,0,50,positive
494,finish,Ausstattung,0,0,0,0,0,75,positive
495,finish,Ausstattung,0,0,0,0,0,75,negative
496,finish,Ausstattung,0,0,0,0,0,75,negative
497,room,Sauberkeit,0,0,0,1,0,72,positive
498,view,Lage,0,0,0,1,0,72,positive
499,core,Lage,0,0,0,1,0,72,positive
500,room,Sauberkeit,0,0,0,0,0,35,positive
501,view,Lage,0,0,0,1,0,35,positive
502,noise,Komfort,0,0,0,1,0,35,positive
503,ice,Ausstattung,0,0,0,0,0,40,negative
504,bucket,Ausstattung,0,0,0,1,0,24,negative
505,location,Lage,0,0,0,1,0,20,positive
506,room,Komfort,0,0,0,0,0,28,negative
507,washroom,Komfort,0,0,0,0,0,28,negative
508,ac,Komfort,0,0,0,1,0,31,negative
509,room,Komfort,0,0,0,0,0,26,negative
510,thermostat,Komfort,0,0,0,1,0,46,negative
511,staff,Hotelpersonal,0,0,0,0,0,16,positive
512,staff,Hotelpersonal,0,0,0,0,0,129,positive
513,staff,Hotelpersonal,0,0,0,0,0,129,positive
514,staff,Hotelpersonal,0,0,0,0,0,129,positive
515,staff,Hotelpersonal,0,0,0,0,0,129,positive
516,room,Komfort,0,0,0,1,0,28,negative
517,washroom,Komfort,0,0,0,0,0,71,negative
518,standard,Komfort,0,0,0,0,0,71,negative
519,hotel,Ausstattung,0,0,0,0,0,33,negative
520,makeover,Ausstattung,0,0,0,0,0,21,negative
521,stay,OTHER,0,0,0,0,0,72,positive
522,hotel,Lage,0,0,0,1,0,37,positive
523,iga,Lage,0,0,0,0,0,73,positive
