@relation valence

@attribute id numeric
@attribute aspectlabel string
@attribute unigrams string
@attribute polarity {positive, negative, neutral}

@data
26,RESTAURANT#PRICES,'Service was devine, oysters where a sensual as they come, and the price cant be beat ',positive
27,RESTAURANT#GENERAL,'You cant go wrong here ',positive
28,RESTAURANT#GENERAL,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street ',positive
29,FOOD#QUALITY,'Everything is always cooked to perfection, the service is excellent, the decor cool and understated ',positive
30,SERVICE#GENERAL,'Everything is always cooked to perfection, the service is excellent, the decor cool and understated ',positive
31,AMBIENCE#GENERAL,'Everything is always cooked to perfection, the service is excellent, the decor cool and understated ',positive
32,FOOD#QUALITY,'I had the duck breast special on my last visit and it was incredible ',positive
33,RESTAURANT#GENERAL,'Cant wait wait for my next visit ',positive
34,FOOD#QUALITY,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share ',positive
35,FOOD#QUALITY,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share ',positive
36,SERVICE#GENERAL,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ',positive
37,RESTAURANT#GENERAL,'we love th pink pony ',positive
38,RESTAURANT#GENERAL,'THe perfect spot ',positive
39,FOOD#QUALITY,'Food-awesome ',positive
40,SERVICE#GENERAL,'Service- friendly and attentive ',positive
41,AMBIENCE#GENERAL,'Ambiance- relaxed and stylish ',positive
42,RESTAURANT#GENERAL,'Dont judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart ',positive
43,FOOD#QUALITY,'the food is decent ',neutral
44,SERVICE#GENERAL,'however, its the service that leaves a bad taste in my mouth ',negative
45,SERVICE#GENERAL,'i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i e  make me feel bad asking for trivialities like water, or the check ',negative
46,SERVICE#GENERAL,'i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is im here to eat and enjoy the company of friends, seeking a pleasant experience ',negative
47,RESTAURANT#GENERAL,'well, i didnt find it there, and trust, i have told everyone i can think of about my experience ',negative
48,RESTAURANT#MISCELLANEOUS,'the last time i walked by it looked pretty empty  hmmm ',negative
49,RESTAURANT#MISCELLANEOUS,'the last time i walked by it looked pretty empty  hmmm ',negative
50,RESTAURANT#GENERAL,'This place has got to be the best japanese restaurant in the new york area ',positive
51,RESTAURANT#GENERAL,'I had a great experience ',positive
52,FOOD#QUALITY,'Food is great ',positive
53,SERVICE#GENERAL,'Service is top notch ',positive
54,RESTAURANT#GENERAL,'I have been going back again and again ',positive
55,FOOD#QUALITY,'I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose ',positive
56,FOOD#QUALITY,'It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery ',positive
57,FOOD#QUALITY,'The sushi seemed pretty fresh and was adequately proportioned ',positive
58,FOOD#STYLE_OPTIONS,'The sushi seemed pretty fresh and was adequately proportioned ',positive
59,FOOD#STYLE_OPTIONS,'The rice to fish ration was also good--they didnt try to overpack the rice ',positive
60,FOOD#QUALITY,'We took advanatage of the half price sushi deal on saturday so it was well worth it ',positive
61,FOOD#PRICES,'We took advanatage of the half price sushi deal on saturday so it was well worth it ',positive
62,RESTAURANT#MISCELLANEOUS,'Surprisingly nothing could be further from the truth ',positive
63,RESTAURANT#MISCELLANEOUS,'In the evening, this place attracted a well dressed, with it, NY crowd ',positive
64,FOOD#QUALITY,'The food was well prepared and the service impecable ',positive
65,SERVICE#GENERAL,'The food was well prepared and the service impecable ',positive
66,RESTAURANT#GENERAL,'Im going back ',positive
67,FOOD#QUALITY,'The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality) ',positive
68,FOOD#STYLE_OPTIONS,'The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality) ',positive
69,FOOD#PRICES,'The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality) ',positive
70,RESTAURANT#GENERAL,'I will be going back and heartily recommend it ',positive
71,FOOD#STYLE_OPTIONS,'$6 and there is much tasty food, all of it fresh and continually refilled ',positive
72,FOOD#QUALITY,'$6 and there is much tasty food, all of it fresh and continually refilled ',positive
73,FOOD#PRICES,'$6 and there is much tasty food, all of it fresh and continually refilled ',positive
74,FOOD#QUALITY,'I am not a vegetarian but, almost all the dishes were great ',positive
75,FOOD#QUALITY,'I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ',positive
76,FOOD#QUALITY,'I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ',positive
77,FOOD#QUALITY,'I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ',positive
78,FOOD#QUALITY,'I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ',negative
79,FOOD#QUALITY,'I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ',negative
80,SERVICE#GENERAL,'The service varys from day to day- sometimes theyre very nice, and sometimes not ',negative
81,SERVICE#GENERAL,'The kitchen however, is almost always slow ',negative
82,FOOD#QUALITY,'Also, specify if you like your food spicy- its rather bland if you dont ',negative
83,AMBIENCE#GENERAL,'The ambience is pretty and nice for conversation, so a casual lunch here would probably be best ',positive
84,RESTAURANT#MISCELLANEOUS,'The ambience is pretty and nice for conversation, so a casual lunch here would probably be best ',positive
85,AMBIENCE#GENERAL,'However, go for the ambience, and consider the food just a companion for a trip across the world ',positive
86,FOOD#QUALITY,'However, go for the ambience, and consider the food just a companion for a trip across the world ',neutral
87,FOOD#STYLE_OPTIONS,'It looked like shredded cheese partly done - still in strips ',negative
88,FOOD#QUALITY,'Yes, they use fancy ingredients, but even fancy ingredients dont make for good pizza unless someone knows how to get the crust right ',positive
89,FOOD#QUALITY,'Yes, they use fancy ingredients, but even fancy ingredients dont make for good pizza unless someone knows how to get the crust right ',negative
90,FOOD#QUALITY,'Yes, they use fancy ingredients, but even fancy ingredients dont make for good pizza unless someone knows how to get the crust right ',negative
91,RESTAURANT#GENERAL,'A big disappointment, all around ',negative
92,FOOD#QUALITY,'I think Ive had some the best meals of my life at minnow ',positive
93,FOOD#QUALITY,'The seafood is amazing, theres a good wine list, and the ever-changing menu always offers some great surprises ',positive
94,DRINKS#STYLE_OPTIONS,'The seafood is amazing, theres a good wine list, and the ever-changing menu always offers some great surprises ',positive
95,FOOD#STYLE_OPTIONS,'The seafood is amazing, theres a good wine list, and the ever-changing menu always offers some great surprises ',positive
96,FOOD#QUALITY,'The combination of super-fresh ingredients in the dishes are unusual but really delicious ',positive
97,RESTAURANT#GENERAL,'Worth the trip from Manhattan ',positive
98,RESTAURANT#GENERAL,'This place is worth an one-hour drive ',positive
99,RESTAURANT#GENERAL,'I am so coming back here again, as much as I can ',positive
100,RESTAURANT#GENERAL,'Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere ',positive
101,AMBIENCE#GENERAL,'Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere ',positive
102,FOOD#QUALITY,'Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere ',positive
103,AMBIENCE#GENERAL,'Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere ',positive
104,FOOD#QUALITY,'Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere ',positive
105,SERVICE#GENERAL,'My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story ',positive
106,RESTAURANT#GENERAL,'Have been dozens of times and never failed to enjoy the experience ',positive
107,RESTAURANT#GENERAL,'Our teenage kids love it, too ',positive
108,RESTAURANT#GENERAL,'Everytime I decide to try another place on the UES, I get angry that I didnt just go to Zucchero Pomodori ',positive
109,RESTAURANT#GENERAL,'This is by far my favorite place in the neighborhood ',positive
110,SERVICE#GENERAL,'The service is excellent, the decor is great, and the food is delicious and comes in large portions ',positive
111,AMBIENCE#GENERAL,'The service is excellent, the decor is great, and the food is delicious and comes in large portions ',positive
112,FOOD#QUALITY,'The service is excellent, the decor is great, and the food is delicious and comes in large portions ',positive
113,FOOD#STYLE_OPTIONS,'The service is excellent, the decor is great, and the food is delicious and comes in large portions ',positive
114,FOOD#QUALITY,'We have been to this place many times, and always have great food, wine, and service ',positive
115,DRINKS#QUALITY,'We have been to this place many times, and always have great food, wine, and service ',positive
116,SERVICE#GENERAL,'We have been to this place many times, and always have great food, wine, and service ',positive
117,SERVICE#GENERAL,'We were worried we would have trouble getting in, but somehow managed to have a short wait ',positive
118,DRINKS#QUALITY,'As always we had a great glass of wine while we waited ',positive
119,SERVICE#GENERAL,'When we sat, we got great and fast service ',positive
120,SERVICE#GENERAL,'The people that work there are always so friendly you forget you are in New York sometimes ',positive
121,RESTAURANT#GENERAL,'Make sure you try this place as often as you can ',positive
122,RESTAURANT#GENERAL,'This is a fun restaurant to go to ',positive
123,FOOD#QUALITY,'The pizza is yummy and I like the atmoshpere ',positive
124,AMBIENCE#GENERAL,'The pizza is yummy and I like the atmoshpere ',positive
125,FOOD#PRICES,'But the pizza is way to expensive ',negative
126,FOOD#PRICES,'A large is $20, and toppings are about $3 each ',negative
127,FOOD#PRICES,'A large is $20, and toppings are about $3 each ',negative
128,FOOD#QUALITY,'I went there for lunch and it was not as good as I expected from the reviews I read ',negative
129,FOOD#QUALITY,'Sauce was watery and the food didnt have much flavor ',negative
130,FOOD#QUALITY,'Sauce was watery and the food didnt have much flavor ',negative
131,SERVICE#GENERAL,'Service was prompt, friendly and great ',positive
132,RESTAURANT#PRICES,'Slightly on the pricey side but worth it ',negative
133,RESTAURANT#GENERAL,'Slightly on the pricey side but worth it ',positive
134,FOOD#QUALITY,'Great pizza and fantastic service ',positive
135,SERVICE#GENERAL,'Great pizza and fantastic service ',positive
136,SERVICE#GENERAL,'There was a small wait, but shorter than I expected ',positive
137,LOCATION#GENERAL,'Located at the end of a magnificent block ',positive
138,AMBIENCE#GENERAL,'Very cozy and warm inside ',positive
139,RESTAURANT#GENERAL,'I will be back ',positive
140,FOOD#QUALITY,'This is the best sushi in new york city - hands down ',positive
141,AMBIENCE#GENERAL,'The place is small and cramped but the food is fantastic ',negative
142,FOOD#QUALITY,'The place is small and cramped but the food is fantastic ',positive
143,FOOD#QUALITY,'Get the tuna of gari ',positive
144,FOOD#QUALITY,'Its all about the food ',positive
145,FOOD#STYLE_OPTIONS,'but when we looked at the menu, there werent a lot of choices, most of them were dumplings in the appetizer section ',negative
146,FOOD#STYLE_OPTIONS,'The Steak Tartare is a great bet, they fix it for you at the table ',positive
147,AMBIENCE#GENERAL,'Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm ',positive
148,AMBIENCE#GENERAL,'Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm ',negative
149,DRINKS#STYLE_OPTIONS,'Great wine selection, Gigondas is worth the price, and the house champagne is a great value ',positive
150,DRINKS#QUALITY,'Great wine selection, Gigondas is worth the price, and the house champagne is a great value ',positive
151,DRINKS#PRICES,'Great wine selection, Gigondas is worth the price, and the house champagne is a great value ',positive
152,AMBIENCE#GENERAL,'It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area ',neutral
153,AMBIENCE#GENERAL,'It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area ',positive
154,FOOD#QUALITY,'It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area ',positive
155,RESTAURANT#MISCELLANEOUS,'Have recommended the place to friends, always gets good response ',positive
156,FOOD#QUALITY,'Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread ',positive
157,FOOD#QUALITY,'Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread ',positive
158,RESTAURANT#MISCELLANEOUS,'I take all my NYC guests to VTs ',positive
159,LOCATION#GENERAL,'Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food ',positive
160,FOOD#QUALITY,'Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food ',positive
161,RESTAURANT#GENERAL,'Ive been there three times and have always had wonderful experiences ',positive
162,AMBIENCE#GENERAL,'Id highly recommend it for a special occasion -- it provides and intimate setting and nice service ',positive
163,SERVICE#GENERAL,'Id highly recommend it for a special occasion -- it provides and intimate setting and nice service ',positive
164,RESTAURANT#MISCELLANEOUS,'Id highly recommend it for a special occasion -- it provides and intimate setting and nice service ',positive
165,RESTAURANT#GENERAL,'Im not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much  and were repeat customers ',positive
166,RESTAURANT#GENERAL,'Im not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much  and were repeat customers ',positive
167,SERVICE#GENERAL,'Even after they overcharged me the last time I was there ',negative
168,FOOD#QUALITY,'Make sure you have the Spicy Scallop roll ',positive
169,RESTAURANT#GENERAL,'Judging from previous posts this used to be a good place, but not any longer ',negative
170,FOOD#QUALITY,'its delicious ',positive
171,FOOD#QUALITY,'Moules were excellent, lobster ravioli was VERY salty ',positive
172,FOOD#QUALITY,'Moules were excellent, lobster ravioli was VERY salty ',negative
173,SERVICE#GENERAL,'Took my mom for Mothers Day, and the maitre d was pretty rude ',negative
174,SERVICE#GENERAL,'Told us to sit anywhere, and when we sat he said the table was reserved ',negative
175,SERVICE#GENERAL,'Stepped on my foot on the SECOND time he reached over me to adjust lighting ',negative
176,FOOD#STYLE_OPTIONS,'Tiny dessert was $8 00 just plain overpriced for what it is ',negative
177,FOOD#PRICES,'Tiny dessert was $8 00 just plain overpriced for what it is ',negative
178,DRINKS#QUALITY,'The drinks are always welll made and wine selection is fairly priced ',positive
179,DRINKS#PRICES,'The drinks are always welll made and wine selection is fairly priced ',positive
180,FOOD#QUALITY,'Try their chefs specials-- they are to die for ',positive
181,SERVICE#GENERAL,'Service is not exactly five star, but thats not really a big deal ',neutral
182,AMBIENCE#GENERAL,'Downstairs lounge is always a good attraction ',positive
183,AMBIENCE#GENERAL,'Ragas is a romantic, cozy restaurant ',positive
184,FOOD#STYLE_OPTIONS,'The exotic food is beautifully presented and is a delight in delicious combinations ',positive
185,FOOD#QUALITY,'The exotic food is beautifully presented and is a delight in delicious combinations ',positive
186,FOOD#PRICES,'It is also extremely well priced ',positive
187,SERVICE#GENERAL,'The staff is incredibly helpful and attentive ',positive
188,DRINKS#STYLE_OPTIONS,'The bar is very well stocked with interesting beers and well priced wines ',positive
189,DRINKS#STYLE_OPTIONS,'The bar is very well stocked with interesting beers and well priced wines ',positive
190,DRINKS#PRICES,'The bar is very well stocked with interesting beers and well priced wines ',positive
191,RESTAURANT#GENERAL,'This is one of my favorite restaurants and it is not to be missed ',positive
192,RESTAURANT#GENERAL,'Your friends will thank you for introducing them to this gem ',positive
193,RESTAURANT#GENERAL,'When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong ',negative
194,SERVICE#GENERAL,'The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no ',negative
195,SERVICE#GENERAL,'Then, to top things off, she dropped used silverware on my boyfriends jacket and did not stop to apologize or clean the mess that was left on clothes ',negative
196,SERVICE#GENERAL,'Such a disappointment ',negative
197,SERVICE#GENERAL,'Rude service, medicore food there are tons of restaurants in NY stay away from this one ',negative
198,FOOD#QUALITY,'Rude service, medicore food there are tons of restaurants in NY stay away from this one ',neutral
199,RESTAURANT#GENERAL,'Rude service, medicore food there are tons of restaurants in NY stay away from this one ',negative
200,RESTAURANT#GENERAL,'I had a grat time at Jekyll and Hyde ',positive
201,RESTAURANT#GENERAL,'I loved everythig about it-especially the shows and actors ',positive
202,AMBIENCE#GENERAL,'I loved everythig about it-especially the shows and actors ',positive
203,AMBIENCE#GENERAL,'I loved everythig about it-especially the shows and actors ',positive
204,SERVICE#GENERAL,'Our server was very helpful and friendly ',positive
205,RESTAURANT#MISCELLANEOUS,'I am bringing my whole family back next time ',positive
206,FOOD#QUALITY,'The food was good too ',positive
207,FOOD#QUALITY,'The tuna and wasabe potatoes are excellent ',positive
208,FOOD#QUALITY,'The tuna and wasabe potatoes are excellent ',positive
209,LOCATION#GENERAL,'The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful ',positive
210,AMBIENCE#GENERAL,'Inside is a little cramped, but to be expected ',neutral
211,SERVICE#GENERAL,'Service was prompt and courteous ',positive
212,RESTAURANT#GENERAL,'This was a repeat visit and well definitely be back again ',positive
213,SERVICE#GENERAL,'Great service, great food ',positive
214,FOOD#QUALITY,'Great service, great food ',positive
215,RESTAURANT#PRICES,'Prices are in line ',neutral
216,FOOD#QUALITY,'The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzarias ',positive
217,FOOD#QUALITY,'The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzarias ',positive
218,FOOD#STYLE_OPTIONS,'Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu ',negative
219,FOOD#QUALITY,'Also, because it is so thin, it gets cold very quickly and its not that filling ',negative
220,FOOD#STYLE_OPTIONS,'Also, because it is so thin, it gets cold very quickly and its not that filling ',negative
221,FOOD#QUALITY,'By far the best salad I have had in a fast food restaurant ',positive
222,FOOD#QUALITY,'fine dining restaurant quality ',positive
223,FOOD#STYLE_OPTIONS,'Over 100 different choices to create your own ',positive
224,RESTAURANT#GENERAL,'A must try ',positive
225,RESTAURANT#GENERAL,'On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT ',positive
226,FOOD#QUALITY,'This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater ',positive
227,AMBIENCE#GENERAL,'This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater ',positive
228,FOOD#QUALITY,'The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm ',positive
229,FOOD#STYLE_OPTIONS,'The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm ',positive
230,FOOD#QUALITY,'The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm ',positive
231,SERVICE#GENERAL,'The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm ',positive
232,RESTAURANT#GENERAL,'With so many poor experiences to be had in the theater district, is truly an excellent find ',positive
233,RESTAURANT#GENERAL,'We will return many times for this oasis in mid-town ',positive
234,DRINKS#STYLE_OPTIONS,'The sake menu should not be overlooked ',positive
235,RESTAURANT#GENERAL,'All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city ',positive
236,FOOD#QUALITY,'Try the lobster teriyaki and the rose special roll ',positive
237,FOOD#QUALITY,'Try the lobster teriyaki and the rose special roll ',positive
238,DRINKS#STYLE_OPTIONS,'Wine list selection is good and wine-by-the-glass was generously filled to the top ',positive
239,DRINKS#STYLE_OPTIONS,'Wine list selection is good and wine-by-the-glass was generously filled to the top ',positive
240,AMBIENCE#GENERAL,'Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation ',positive
241,AMBIENCE#GENERAL,'Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation ',negative
242,RESTAURANT#GENERAL,'Ive been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square ',positive
243,SERVICE#GENERAL,'To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok ',neutral
244,SERVICE#GENERAL,'Seating is always prompt, though the restaurant does fill up in the evening ',positive
245,FOOD#QUALITY,'Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders ',positive
246,FOOD#QUALITY,'Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders ',negative
247,SERVICE#GENERAL,'As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time ',neutral
248,AMBIENCE#GENERAL,'The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date ',positive
249,AMBIENCE#GENERAL,'The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date ',positive
250,RESTAURANT#GENERAL,'I have NEVER been disappointed in the Red Eye ',positive
251,AMBIENCE#GENERAL,'The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad ',positive
252,AMBIENCE#GENERAL,'The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad ',positive
253,AMBIENCE#GENERAL,'The restaurant is cute but not upscale ',neutral
254,FOOD#QUALITY,'The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes ',positive
255,FOOD#QUALITY,'The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes ',positive
256,RESTAURANT#GENERAL,'I would highly recommend it ',positive
257,RESTAURANT#GENERAL,'Its one of our favorite places to eat in NY ',positive
258,RESTAURANT#GENERAL,'We had a great time at the Jekyll and hyde Pub last night ',positive
259,RESTAURANT#GENERAL,'I highly recommend visiting this restaurant and having dinner and drinks ',positive
260,RESTAURANT#MISCELLANEOUS,'If you are the type of person who likes being scared and entertained, this is a great place to go and eat ',positive
261,RESTAURANT#GENERAL,'My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic ',positive
262,DRINKS#STYLE_OPTIONS,'The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini ',positive
263,FOOD#QUALITY,'The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini ',positive
264,FOOD#QUALITY,'The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini ',positive
265,AMBIENCE#GENERAL,'The entertainment was great they have shows that go on through out the dinner ',positive
266,RESTAURANT#GENERAL,'Please take my advice, go and try this place ',positive
267,RESTAURANT#GENERAL,'We were not dissappointed in the least bit by this little gem ',positive
268,FOOD#STYLE_OPTIONS,'The bagel was huge ',positive
269,FOOD#QUALITY,'They were served warm and had a soft fluffy interior ',positive
270,FOOD#STYLE_OPTIONS,'The workers there also absolutely load the bagel with cream cheese (gets a little messy) ',negative
271,RESTAURANT#GENERAL,'I loved it and would HIGHLY RECOMMEND ',positive
272,FOOD#QUALITY,'This was my frist time at Cafe St  Barts and I must say how delicous the food and the service was ',positive
273,SERVICE#GENERAL,'This was my frist time at Cafe St  Barts and I must say how delicous the food and the service was ',positive
274,FOOD#QUALITY,'Other guests enjoyed pizza, santa fe chopped salad and fish and chips ',positive
275,FOOD#QUALITY,'Other guests enjoyed pizza, santa fe chopped salad and fish and chips ',positive
276,FOOD#QUALITY,'Other guests enjoyed pizza, santa fe chopped salad and fish and chips ',positive
277,FOOD#QUALITY,'I highly recommend Cafe St  Barts for their food, the ambience and wonderful service ',positive
278,AMBIENCE#GENERAL,'I highly recommend Cafe St  Barts for their food, the ambience and wonderful service ',positive
279,SERVICE#GENERAL,'I highly recommend Cafe St  Barts for their food, the ambience and wonderful service ',positive
280,SERVICE#GENERAL,'All the staff is absolutely professional ',positive
281,AMBIENCE#GENERAL,'Theres nice and quiet, small but enough for 6 (or more) ',positive
282,RESTAURANT#GENERAL,'This restaurant was way overhyped ',negative
283,FOOD#QUALITY,'My chow fun and chow see was really bland and oily ',negative
284,FOOD#QUALITY,'Okay-i dont mind the oily part (cause most are cooked that way) but it was way too bland ',negative
285,FOOD#QUALITY,'The scallion pancakes and fried dumplings were nothing out of the ordinary ',neutral
286,FOOD#QUALITY,'The scallion pancakes and fried dumplings were nothing out of the ordinary ',neutral
287,SERVICE#GENERAL,'The service was the only thing good about this restaurant ',positive
288,RESTAURANT#GENERAL,'The service was the only thing good about this restaurant ',negative
289,AMBIENCE#GENERAL,'Its boring on the inside, and our sushi was pretty below average  the tuna was soggy and the other rolls had no flavor ',negative
290,FOOD#QUALITY,'Its boring on the inside, and our sushi was pretty below average  the tuna was soggy and the other rolls had no flavor ',negative
291,FOOD#QUALITY,'Its boring on the inside, and our sushi was pretty below average  the tuna was soggy and the other rolls had no flavor ',negative
292,FOOD#QUALITY,'Its boring on the inside, and our sushi was pretty below average  the tuna was soggy and the other rolls had no flavor ',negative
293,AMBIENCE#GENERAL,'Its boring on the inside, and our sushi was pretty below average  the tuna was soggy and the other rolls had no flavor ',negative
294,FOOD#QUALITY,'Its boring on the inside, and our sushi was pretty below average  the tuna was soggy and the other rolls had no flavor ',negative
295,FOOD#QUALITY,'Its boring on the inside, and our sushi was pretty below average  the tuna was soggy and the other rolls had no flavor ',negative
296,FOOD#QUALITY,'Its boring on the inside, and our sushi was pretty below average  the tuna was soggy and the other rolls had no flavor ',negative
297,RESTAURANT#GENERAL,'I definitely wouldnt go back ',negative
298,RESTAURANT#PRICES,'The price is reasonable although the service is poor ',positive
299,SERVICE#GENERAL,'The price is reasonable although the service is poor ',negative
300,RESTAURANT#GENERAL,'fresh restaurant was amazing  food was delicious and of course fresh ',positive
301,FOOD#QUALITY,'fresh restaurant was amazing  food was delicious and of course fresh ',positive
302,RESTAURANT#GENERAL,'fresh restaurant was amazing  food was delicious and of course fresh ',positive
