@relation valence

@attribute id numeric
@attribute wordA string
@attribute wordB string
@attribute dependency_type string
@attribute word_distance numeric
@attribute lexicons_min numeric
@attribute lexicons_avg numeric
@attribute lexicons_max numeric
@attribute context_negation numeric
@attribute context_lexicon_avg numeric
@attribute sentence_length numeric
@attribute aspecttype {positive, negative}

@data
71,fall,curtain,Komfort,8,-1.0,-0.3333333333333333,0.0,0,0,53,negative
72,old,ambience,Komfort,16,0.0,0.0,0.0,0,0,99,negative
73,without,diner,Ausstattung,18,0.0,0.0,0.0,0,0,99,negative
74,without,bar,Ausstattung,10,0.0,0.0,0.0,0,0,99,negative
75,good,breakfast,OTHER,14,0.0,0.5166666666666667,1.0,1,0,67,positive
76,excellent,location,Lage,9,0.0,0.43333333333333335,1.0,1,0,67,positive
77,good,view,Lage,19,0.0,0.43333333333333335,1.0,1,0,67,positive
78,good,service,Hotelpersonal,12,0.0,0.43333333333333335,1.0,0,0,32,positive
79,safe,place,Lage,5,0.0,0.325,1.0,0,0,22,positive
80,no,usb,Komfort,3,0.0,0.03333333333333333,0.2,1,0,103,negative
81,no,power,Komfort,3,0.0,0.03333333333333333,0.2,1,0,103,negative
82,squeak,bed,Komfort,4,-1.0,-0.16666666666666666,0.0,0,0,103,negative
83,no,service,Hotelpersonal,8,0.0,0.03333333333333333,0.2,1,0,75,negative
84,no,bar,Ausstattung,3,0.0,0.03333333333333333,0.2,1,0,75,negative
85,excellent,service,Hotelpersonal,19,0.0,0.43333333333333335,1.0,1,0,28,positive
86,helpful,staff,Hotelpersonal,34,0.0,0.39999999999999997,1.0,0,0,47,positive
87,accommodating,staff,Hotelpersonal,16,0.0,0.0,0.0,0,0,47,positive
88,apologetic,desk,Hotelpersonal,25,0.0,0.08333333333333333,0.5,1,0,110,positive
89,excellent,service,Hotelpersonal,19,0.0,0.43333333333333335,1.0,1,0,28,positive
90,convenient,location,Lage,32,0.0,0.3333333333333333,1.0,1,0,142,positive
91,central,location,Lage,23,0.0,0.0,0.0,1,0,142,positive
92,excellent,location,Lage,12,0.0,0.43333333333333335,1.0,1,0,142,positive
93,spotty,maintenance,Hotelpersonal,15,-1.0,-0.16666666666666666,0.0,1,0,23,negative
94,clog,drain,Sauberkeit,6,-1.0,-0.3333333333333333,0.0,0,0,125,negative
95,hairdryer,work,Komfort,18,0.0,0.16666666666666666,1.0,0,0,125,negative
96,out,maker,Ausstattung,30,0.0,0.0,0.0,0,0,125,negative
97,scuff,furniture,Komfort,18,-1.0,-0.16666666666666666,0.0,0,0,125,negative
98,like,location,Lage,10,0.0,0.2333333333333333,1.0,0,0,43,positive
99,cold,pool,Ausstattung,9,-1.0,-0.19444444444444445,0.3333333333333333,0,0,28,negative
100,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,16,positive
101,close,shopping,Lage,9,0.0,0.08333333333333333,0.5,0,0,19,positive
102,no,heat,Komfort,3,0.0,0.03333333333333333,0.2,1,0,19,negative
103,overused,room,Komfort,24,0.0,0.0,0.0,0,0,38,negative
104,tired,room,Komfort,14,-1.0,-0.18333333333333335,0.4,0,0,38,negative
105,room,facelift,Komfort,12,0.0,0.0,0.0,1,0,26,negative
106,stain,carpet,Sauberkeit,11,-1.0,-0.3333333333333333,0.0,0,0,58,negative
107,good,value,Preis-Leistungs-Verhltnis,5,0.0,0.43333333333333335,1.0,0,0,22,positive
108,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,80,positive
109,next,location,Lage,10,0.0,0.0,0.0,0,0,80,positive
110,next,supermarket,Lage,48,0.0,0.0,0.0,0,0,80,positive
111,next,court,Lage,41,0.0,0.0,0.0,0,0,80,positive
112,next,station,Lage,14,0.0,0.0,0.0,0,0,80,positive
113,walkable,city,Lage,12,0.0,0.0,0.0,1,0,25,positive
114,big,sheet,Komfort,9,0.0,0.03333333333333333,0.2,1,0,52,positive
115,good,cost,Preis-Leistungs-Verhltnis,5,0.0,0.43333333333333335,1.0,0,0,25,positive
116,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,15,positive
117,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,15,positive
118,no,service,Hotelpersonal,8,0.0,0.03333333333333333,0.2,1,0,89,negative
119,close,restaurant,Ausstattung,14,0.0,0.0,0.0,1,0,89,negative
120,pool,open,Ausstattung,13,0.0,0.05555555555555555,0.3333333333333333,0,0,36,negative
121,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,16,positive
122,water,work,Komfort,17,0.0,0.16666666666666666,1.0,0,0,51,negative
123,great,buffet,OTHER,6,-1.0,0.10000000000000002,1.0,0,0,14,positive
124,no,fridge,Komfort,3,0.0,0.03333333333333333,0.2,1,0,74,negative
125,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,16,positive
126,friendly,staff,Hotelpersonal,10,0.0,0.39999999999999997,1.0,1,0,26,positive
127,beautiful,entrance,Ausstattung,13,0.0,0.43333333333333335,1.0,1,0,30,positive
128,easy,access,Lage,5,0.0,0.19999999999999998,1.0,0,0,70,positive
129,bathroom,renovation,Komfort,30,0.0,0.16666666666666666,1.0,1,0,119,negative
130,clean,lobby,Sauberkeit,10,0.0,0.4666666666666666,1.0,0,0,77,positive
131,clean,room,Sauberkeit,9,0.0,0.39999999999999997,1.0,0,0,77,positive
132,great,view,Lage,6,0.0,0.26666666666666666,1.0,0,0,77,positive
133,good,restaurant,Ausstattung,28,0.0,0.43333333333333335,1.0,1,0,38,positive
134,great,location,Lage,25,0.0,0.26666666666666666,1.0,0,0,95,positive
135,bathroom,scummy,Sauberkeit,45,-1.0,-0.16666666666666666,0.0,0,0,58,negative
136,outdated,bathroom,Komfort,15,0.0,0.0,0.0,0,0,58,negative
137,good,value,Preis-Leistungs-Verhltnis,5,0.0,0.43333333333333335,1.0,0,0,12,positive
138,convenient,location,Lage,18,0.0,0.3333333333333333,1.0,1,0,77,positive
139,outstanding,view,Lage,23,0.0,0.3333333333333333,1.0,1,0,77,positive
140,need,update,Ausstattung,12,0.0,0.0,0.0,1,0,24,negative
141,need,reformation,Ausstattung,6,0.0,0.16666666666666666,1.0,1,0,45,negative
142,stay,again,OTHER,11,0.0,0.0,0.0,1,0,37,negative
143,machine,work,Ausstattung,12,0.0,0.16666666666666666,1.0,1,0,34,negative
144,would,recommend,OTHER,6,0.0,0.31666666666666665,1.0,0,0,46,positive
145,roomy,room,Komfort,11,0.0,0.16666666666666666,1.0,0,0,22,positive
146,excellent,location,Lage,13,0.0,0.43333333333333335,1.0,1,0,28,positive
147,awesome,staff,Hotelpersonal,11,0.0,0.3,1.0,0,0,41,positive
148,duct,clean,Sauberkeit,11,0.0,0.39999999999999997,1.0,1,0,29,negative
149,odd,hour,Ausstattung,23,-1.0,-0.09999999999999999,0.4,0,0,37,negative
150,limited,hour,Ausstattung,11,-1.0,-0.3,0.2,0,0,37,negative
151,nice,city,Lage,12,0.0,0.26666666666666666,1.0,0,0,18,positive
152,no,fridge,Komfort,3,0.0,0.03333333333333333,0.2,1,0,18,negative
153,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,15,positive
154,lot,elevator,Ausstattung,8,0.0,0.0,0.0,0,0,39,positive
155,rapidly,elevator,Ausstattung,22,0.0,0.0,0.0,0,0,39,positive
156,old,building,Ausstattung,4,0.0,0.08333333333333333,0.5,0,0,14,negative
157,amenity,lot,Komfort,7,0.0,0.3333333333333333,1.0,1,0,24,negative
158,ideal,location,Lage,6,0.0,0.16666666666666666,1.0,0,0,59,positive
159,friendly,staff,Hotelpersonal,21,0.0,0.39999999999999997,1.0,0,0,28,positive
160,helpful,staff,Hotelpersonal,8,0.0,0.39999999999999997,1.0,0,0,28,positive
161,trustworthy,housekeeping,Hotelpersonal,12,0.0,0.3333333333333333,1.0,0,0,26,positive
162,close,place,Lage,7,0.0,0.0,0.0,0,0,121,positive
163,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,15,positive
164,old,design,OTHER,16,0.0,0.0,0.0,1,0,56,negative
165,lift,change,Ausstattung,7,0.0,0.0,0.0,1,0,56,negative
166,convenient,hotel,Lage,10,0.0,0.3333333333333333,1.0,1,0,60,positive
167,comfy,bed,Komfort,8,0.0,0.16666666666666666,1.0,0,0,19,positive
168,machine,work,Komfort,15,0.0,0.16666666666666666,1.0,1,0,33,negative
169,strange,smell,Sauberkeit,8,-1.0,-0.3833333333333333,0.2,0,0,39,negative
170,tatty,room,Komfort,38,0.0,0.0,0.0,0,0,49,negative
171,tired,room,Komfort,28,-1.0,-0.18333333333333335,0.4,0,0,49,negative
172,tatty,hotel,Ausstattung,29,0.0,0.0,0.0,0,0,49,negative
173,tired,hotel,Ausstattung,19,-1.0,-0.18333333333333335,0.4,0,0,49,negative
174,friendly,staff,Hotelpersonal,10,0.0,0.39999999999999997,1.0,0,0,31,positive
175,effort,helpful,Hotelpersonal,25,0.0,0.5666666666666667,1.0,1,0,53,negative
176,effort,friendly,Hotelpersonal,13,0.0,0.5666666666666667,1.0,1,0,53,negative
177,nice,hotel,Ausstattung,5,0.0,0.26666666666666666,1.0,0,0,35,positive
178,would,recommend,OTHER,6,0.0,0.31666666666666665,1.0,0,0,35,positive
179,helpful,staff,Hotelpersonal,29,0.0,0.39999999999999997,1.0,0,0,80,positive
180,nice,view,Lage,5,0.0,0.26666666666666666,1.0,0,0,80,positive
181,bad,signage,Ausstattung,4,-1.0,-0.2333333333333333,0.6,0,0,87,negative
182,great,location,Lage,12,0.0,0.26666666666666666,1.0,0,0,19,positive
183,old,hotel,Ausstattung,4,0.0,0.0,0.0,1,0,61,negative
184,old,equipments,Ausstattung,4,0.0,0.0,0.0,1,0,61,negative
185,old,bathroom,Komfort,4,0.0,0.0,0.0,1,0,61,negative
186,old,carpets,Ausstattung,4,0.0,0.0,0.0,0,0,61,negative
187,remodeling,urgent,Ausstattung,7,-1.0,-0.17500000000000002,0.2,1,0,23,negative
188,breakfast,improvement,OTHER,16,0.0,0.48333333333333334,1.0,1,0,29,negative
189,proximity,everything,Lage,13,0.0,0.0,0.0,1,0,37,positive
190,expensive,breakfast,Preis-Leistungs-Verhltnis,16,-1.0,-0.08333333333333333,0.5,0,0,27,negative
191,good,hotel,Ausstattung,5,0.0,0.43333333333333335,1.0,0,0,45,positive
192,nice,location,Lage,15,0.0,0.26666666666666666,1.0,0,0,45,positive
193,practical,location,Lage,10,0.0,0.0,0.0,0,0,45,positive
194,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,132,positive
195,fast,check,OTHER,17,0.0,0.16666666666666666,1.0,0,0,132,positive
196,pleasant,stay,OTHER,9,0.0,0.43333333333333335,1.0,1,0,132,positive
197,connect,metro,Lage,37,0.0,0.0,0.0,0,0,113,positive
198,connect,mall,Lage,24,0.0,0.0,0.0,0,0,113,positive
199,archaic,practice,OTHER,33,-1.0,-0.16666666666666666,0.5,0,0,198,negative
200,offensive,practice,OTHER,11,-1.0,-0.25,0.5,0,0,198,negative
201,nice,hotel,Ausstattung,11,0.0,0.26666666666666666,1.0,0,0,27,positive
202,clean,hotel,Sauberkeit,6,0.0,0.39999999999999997,1.0,0,0,27,positive
203,coaster,circulation,Komfort,41,0.0,0.0,0.0,0,0,97,negative
204,terrific,location,Lage,24,0.0,0.3,1.0,0,0,38,negative
205,accommodate,staff,Hotelpersonal,21,0.0,0.0,0.0,0,0,80,positive
206,hotel,update,Ausstattung,23,0.0,0.0,0.0,1,0,80,negative
207,smoke,smell,Sauberkeit,13,-1.0,-0.4166666666666667,0.0,0,0,83,negative
208,fix,lock,Komfort,41,0.0,0.0,0.0,1,0,59,positive
209,lock,work,Komfort,12,0.0,0.16666666666666666,1.0,1,0,59,negative
210,loan,staff,Hotelpersonal,38,0.0,0.0,0.0,0,0,105,positive
211,help,staff,Hotelpersonal,6,0.0,0.06666666666666667,0.4,0,0,105,positive
212,room,upgrade,Komfort,11,0.0,0.0,0.0,1,0,26,negative
213,great,location,Lage,13,0.0,0.26666666666666666,1.0,0,0,26,positive
214,easy,access,Lage,12,0.0,0.19999999999999998,1.0,0,0,20,positive
215,close,restaurant,Lage,18,0.0,0.0,0.0,1,0,59,positive
216,close,bar,Lage,9,0.0,0.0,0.0,1,0,59,positive
217,comfortable,bed,Komfort,10,0.0,0.2333333333333333,1.0,1,0,59,positive
218,able,staff,Hotelpersonal,29,0.0,0.0,0.0,0,0,84,positive
219,bilingual,staff,Hotelpersonal,9,0.0,0.16666666666666666,1.0,0,0,84,positive
220,loudly,room,Komfort,77,0.0,0.0,0.0,0,0,89,negative
221,noise,good,Komfort,5,-1.0,0.18333333333333335,1.0,1,0,53,negative
222,access,metro,Lage,18,0.0,0.0,0.0,0,0,55,positive
223,outdated,bathroom,Komfort,44,0.0,0.0,0.0,0,0,58,negative
224,old,bathroom,Komfort,36,0.0,0.0,0.0,0,0,58,negative
225,outlet,enough,Komfort,16,0.0,0.16666666666666666,1.0,1,0,58,negative
226,good,stay,OTHER,9,0.0,0.43333333333333335,1.0,1,0,71,positive
227,convenient,location,Lage,11,0.0,0.3333333333333333,1.0,1,0,71,positive
228,comfortable,room,Komfort,25,0.0,0.2333333333333333,1.0,1,0,71,positive
229,spacious,room,Komfort,9,0.0,0.3333333333333333,1.0,0,0,71,positive
230,good,location,Lage,21,0.0,0.43333333333333335,1.0,0,0,27,positive
231,pleasant,park,Lage,24,0.0,0.43333333333333335,1.0,1,0,59,positive
232,enjoy,music,Komfort,12,0.0,0.48333333333333334,1.0,1,0,59,positive
233,understaffed,staff,Hotelpersonal,54,0.0,0.0,0.0,0,0,73,negative
234,understaffed,concierge,Hotelpersonal,44,0.0,0.0,0.0,0,0,73,negative
235,disrespectful,people,OTHER,14,-1.0,-0.3333333333333333,0.0,0,0,177,negative
236,area,safe,Lage,31,0.0,0.325,1.0,1,0,177,negative
237,defective,air,Komfort,10,-1.0,-0.3333333333333333,0.0,0,0,58,negative
238,kudos,receptionist,Hotelpersonal,17,0.0,0.43333333333333335,1.0,0,0,206,positive
239,no,air,Komfort,3,0.0,0.03333333333333333,0.2,1,0,206,negative
240,room,available,Komfort,10,0.0,0.16666666666666666,1.0,1,0,206,negative
241,staff,friendly,Hotelpersonal,15,0.0,0.39999999999999997,1.0,1,0,206,negative
242,receptionist,friendly,Hotelpersonal,15,0.0,0.39999999999999997,1.0,1,0,37,negative
243,defective,air,Komfort,10,-1.0,-0.3333333333333333,0.0,0,0,45,negative
244,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,67,positive
245,nice,look,Ausstattung,5,0.0,0.26666666666666666,1.0,0,0,67,positive
246,old,interior,Ausstattung,9,0.0,0.08333333333333333,0.5,1,0,67,negative
247,need,renovation,Ausstattung,6,0.0,0.16666666666666666,1.0,1,0,67,negative
248,good,place,Lage,5,0.0,0.43333333333333335,1.0,1,0,51,positive
249,nice,look,Lage,5,0.0,0.26666666666666666,1.0,1,0,51,positive
250,old,style,Ausstattung,23,0.0,0.0,0.0,0,0,90,negative
251,old,bathroom,Komfort,14,0.0,0.0,0.0,0,0,90,negative
252,old,furniture,Komfort,4,0.0,0.0,0.0,0,0,90,negative
253,again,come,OTHER,5,0.0,0.0,0.0,0,0,19,positive
254,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,18,positive
255,hide,obstacle,Komfort,7,-1.0,-0.2333333333333333,0.4,0,0,75,negative
256,management,willing,Hotelpersonal,19,0.0,0.2222222222222222,1.0,1,0,50,negative
257,great,location,Lage,34,0.0,0.26666666666666666,1.0,0,0,41,positive
258,great,access,Lage,21,0.0,0.26666666666666666,1.0,0,0,41,positive
259,bathroom,upgrade,Komfort,36,0.0,0.0,0.0,1,0,45,negative
260,good,size,Komfort,5,0.0,0.43333333333333335,1.0,0,0,55,positive
261,wallpaper,great,Komfort,19,0.0,0.26666666666666666,1.0,0,0,55,negative
262,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,16,positive
263,comfortable,bed,Komfort,12,0.0,0.2333333333333333,1.0,0,0,17,positive
264,big,line,OTHER,4,0.0,0.03333333333333333,0.2,0,0,24,negative
265,comfortable,bed,Komfort,13,0.0,0.2333333333333333,1.0,0,0,28,positive
266,lovely,woman,Hotelpersonal,34,0.0,0.43333333333333335,1.0,0,0,55,positive
267,lovely,lady,Hotelpersonal,7,0.0,0.43333333333333335,1.0,0,0,55,positive
268,lady,pleasant,Hotelpersonal,19,0.0,0.43333333333333335,1.0,1,0,46,negative
269,stupid,feel,OTHER,5,-1.0,-0.26666666666666666,0.4,0,0,34,negative
270,excellent,location,Lage,13,0.0,0.43333333333333335,1.0,1,0,28,positive
271,clean,room,Sauberkeit,9,0.0,0.39999999999999997,1.0,0,0,16,positive
272,noisy,ac,Komfort,12,-1.0,-0.3,0.2,1,0,44,negative
273,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,32,positive
274,friendly,staff,Hotelpersonal,9,0.0,0.39999999999999997,1.0,0,0,32,positive
275,renovation,major,Ausstattung,6,0.0,0.25,1.0,1,0,45,negative
276,clean,room,Sauberkeit,6,0.0,0.39999999999999997,1.0,0,0,39,positive
277,pool,nice,Ausstattung,48,0.0,0.32222222222222224,1.0,0,0,72,positive
278,pool,open,Ausstattung,14,0.0,0.05555555555555555,0.3333333333333333,0,0,72,negative
279,love,service,Hotelpersonal,16,0.0,0.43333333333333335,1.0,0,0,25,positive
280,quick,service,Hotelpersonal,6,0.0,0.0,0.0,0,0,25,positive
281,key,location,Lage,12,0.0,0.0,0.0,0,0,17,positive
282,great,garage,Ausstattung,24,0.0,0.26666666666666666,1.0,0,0,107,positive
283,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,107,positive
284,easy,walk,Lage,5,0.0,0.19999999999999998,1.0,0,0,107,positive
285,noisy,elevator,Komfort,6,-1.0,-0.3,0.2,1,0,106,negative
286,poorly,slept,Komfort,6,-1.0,-0.3333333333333333,0.0,0,0,86,negative
287,lack,washcloth,Komfort,8,-1.0,-0.15555555555555556,0.4,1,0,92,negative
288,room,clean,Sauberkeit,9,0.0,0.39999999999999997,1.0,1,0,92,negative
289,parking,validate,OTHER,12,0.0,0.03333333333333333,0.2,1,0,69,negative
290,key,location,Lage,12,0.0,0.0,0.0,0,0,17,positive
291,great,garage,Ausstattung,24,0.0,0.26666666666666666,1.0,0,0,107,positive
292,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,107,positive
293,easy,walk,Lage,5,0.0,0.19999999999999998,1.0,0,0,107,positive
294,noisy,elevator,Komfort,6,-1.0,-0.3,0.2,1,0,106,negative
295,poorly,slept,Komfort,6,-1.0,-0.3333333333333333,0.0,0,0,86,negative
296,lack,washcloth,Komfort,8,-1.0,-0.15555555555555556,0.4,1,0,92,negative
297,room,clean,Sauberkeit,9,0.0,0.39999999999999997,1.0,1,0,92,negative
298,parking,validate,OTHER,12,0.0,0.03333333333333333,0.2,1,0,69,negative
299,blah,experience,OTHER,11,-1.0,-0.09999999999999999,0.4,0,0,23,negative
300,date,room,Komfort,19,0.0,0.0,0.0,0,0,26,negative
301,date,hotel,Ausstattung,9,0.0,0.0,0.0,0,0,26,negative
302,air,work,Komfort,26,0.0,0.16666666666666666,1.0,0,0,41,negative
303,staff,friendly,Hotelpersonal,13,0.0,0.39999999999999997,1.0,1,0,30,negative
304,lovely,room,Komfort,9,0.0,0.43333333333333335,1.0,0,0,21,positive
305,sketchy,neighborhood,Lage,23,-1.0,-0.27777777777777773,0.0,0,0,36,negative
306,small,bathroom,Komfort,19,-0.3333333333333333,-0.05555555555555555,0.0,0,0,30,negative
307,hotel,date,Ausstattung,32,0.0,0.0,0.0,1,0,98,negative
308,next,metro,Lage,12,0.0,0.0,0.0,0,0,67,positive
309,show,age,Ausstattung,12,0.0,0.0,0.0,0,0,30,negative
310,need,upgrade,Ausstattung,12,0.0,0.0,0.0,1,0,33,negative
311,difficult,clean,Sauberkeit,28,-1.0,0.26666666666666666,1.0,0,0,59,negative
312,seedy,bathroom,Komfort,39,-1.0,-0.16666666666666666,0.0,0,0,64,negative
313,old,bathroom,Komfort,31,0.0,0.0,0.0,0,0,64,negative
314,less,price,Preis-Leistungs-Verhltnis,9,0.0,0.0,0.0,0,0,123,positive
315,good,value,Preis-Leistungs-Verhltnis,5,0.0,0.43333333333333335,1.0,0,0,123,positive
316,no,fridge,Komfort,3,0.0,0.03333333333333333,0.2,1,0,9,negative
317,clean,room,Sauberkeit,13,0.0,0.39999999999999997,1.0,1,0,50,positive
318,excellent,cleaning,Sauberkeit,10,0.0,0.6,1.0,1,0,50,positive
319,clean,room,Sauberkeit,13,0.0,0.39999999999999997,1.0,0,0,20,positive
320,more,charge,Preis-Leistungs-Verhltnis,15,0.0,0.0,0.0,0,0,73,negative
321,no,tea,Komfort,15,0.0,0.03333333333333333,0.2,1,0,46,negative
322,no,freezer,Komfort,3,0.0,0.03333333333333333,0.2,1,0,46,negative
323,loose,outlet,Komfort,30,-1.0,-0.06666666666666667,0.6,0,0,99,negative
324,fall,plug,Komfort,27,-1.0,-0.3333333333333333,0.0,0,0,99,negative
325,affordable,hotel,Preis-Leistungs-Verhltnis,19,0.0,0.16666666666666666,1.0,1,0,46,positive
326,central,location,Lage,8,0.0,0.0,0.0,1,0,46,positive
327,like,price,Preis-Leistungs-Verhltnis,42,0.0,0.2333333333333333,1.0,1,0,51,positive
328,like,view,Lage,32,0.0,0.2333333333333333,1.0,1,0,51,positive
329,like,location,Lage,18,0.0,0.2333333333333333,1.0,1,0,51,positive
330,central,location,Lage,8,0.0,0.0,0.0,1,0,51,positive
331,pool,open,Ausstattung,16,0.0,0.05555555555555555,0.3333333333333333,0,0,182,negative
