@relation Lage-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
4245,'NN','shower','shower',1,'pobj','cracked in the and much of ',false
4246,'CC','and','and',1,'cc','in the shower much of the ',false
4247,'JJ','much','much',1,'conj','the shower and of the grout ',false
4248,'IN','of','of',1,'prep','shower and much the grout was ',false
4249,'DT','the','the',1,'det','and much of grout was black ',false
4250,'NN','grout','grout',1,'pobj','much of the was black . ',false
4251,'VBD','be','was',1,'cop','of the grout black . ',false
4252,'JJ','black','black',1,'ROOT','the grout was . ',false
4253,'.','.','.',0,'punct','grout was black ',false
4254,'DT','the','The',1,'det','carpet was stained ',false
4255,'NN','carpet','carpet',1,'nsubjpass','The was stained but ',false
4256,'VBD','be','was',1,'auxpass','The carpet stained but was ',false
4257,'VBN','stain','stained',1,'ROOT','The carpet was but was not ',false
4258,'CC','but','but',1,'cc','carpet was stained was not dirty ',false
4259,'VBD','be','was',1,'cop','was stained but not dirty ( ',false
4260,'RB','not','not',1,'neg','stained but was dirty ( my ',false
4261,'JJ','dirty','dirty',1,'conj','but was not ( my socks ',false
4262,'-LRB-','(','(',0,'punct','was not dirty my socks did ',false
4263,'PRP$','my','my',1,'poss','not dirty ( socks did not ',false
4264,'NNS','sock','socks',1,'nsubj','dirty ( my did not turn ',false
4265,'VBD','do','did',1,'aux','( my socks not turn get ',false
4266,'RB','not','not',1,'neg','my socks did turn get dirty ',false
4267,'VB','turn','turn',1,'parataxis','socks did not get dirty walking ',false
4268,'VB','get','get',1,'xcomp','did not turn dirty walking on ',false
4269,'JJ','dirty','dirty',1,'amod','not turn get walking on carpet ',false
4270,'NN','walking','walking',1,'dobj','turn get dirty on carpet ) ',false
4271,'IN','on','on',1,'prep','get dirty walking carpet ) . ',false
4272,'NN','carpet','carpet',1,'pobj','dirty walking on ) . ',false
4273,'-RRB-',')',')',0,'dep','walking on carpet . ',false
4274,'.','.','.',0,'punct','on carpet ) ',false
4275,'NN','parking','Parking',1,'nn','garage has low ',false
4276,'NN','garage','garage',1,'nsubj','Parking has low ceilings ',false
4277,'VBZ','have','has',1,'ROOT','Parking garage low ceilings ( ',false
4278,'JJ','low','low',1,'amod','Parking garage has ceilings ( 6 ',false
4279,'NNS','ceiling','ceilings',1,'dobj','garage has low ( 6 foot ',false
4280,'-LRB-','(','(',0,'dep','has low ceilings 6 foot max ',false
4281,'CD','0','6',0,'num','low ceilings ( foot max clearance ',false
4282,'NN','foot','foot',1,'nn','ceilings ( 6 max clearance ) ',false
4283,'NN','max','max',1,'nn','( 6 foot clearance ) so ',false
4284,'NN','clearance','clearance',1,'nsubj','6 foot max ) so larger ',false
4285,'-RRB-',')',')',0,'advmod','foot max clearance so larger vehicles ',false
4286,'RB','so','so',1,'advmod','max clearance ) larger vehicles will ',false
4287,'JJR','large','larger',1,'amod','clearance ) so vehicles will not ',false
4288,'NNS','vehicle','vehicles',1,'nsubj',') so larger will not fit ',false
4289,'MD','will','will',1,'aux','so larger vehicles not fit and ',false
4290,'RB','not','not',1,'neg','larger vehicles will fit and cost ',false
4291,'VB','fit','fit',1,'ccomp','vehicles will not and cost is ',false
4292,'CC','and','and',1,'cc','will not fit cost is $ ',false
4293,'VB','cost','cost',1,'conj','not fit and is $ 19 ',false
4294,'VBZ','be','is',1,'cop','fit and cost $ 19 / ',false
4295,'$','$','$',0,'rcmod','and cost is 19 / day ',false
4296,'CD','0','19',0,'number','cost is $ / day . ',false
4297,'CD','/','/',0,'number','is $ 19 day . ',false
4298,'NN','day','day',1,'tmod','$ 19 / . ',false
4299,'.','.','.',0,'punct','19 / day ',false
4300,'EX','there','There',1,'expl','was a $ ',false
4301,'VBD','be','was',1,'ROOT','There a $ 40 ',false
4302,'DT','a','a',1,'det','There was $ 40 charge ',false
4303,'$','$','$',0,'amod','There was a 40 charge for ',false
4304,'CD','0','40',0,'dep','was a $ charge for cleaning ',false
4305,'NN','charge','charge',1,'nsubj','a $ 40 for cleaning the ',false
4306,'IN','for','for',1,'prep','$ 40 charge cleaning the room ',false
4307,'VBG','clean','cleaning',1,'pcomp','40 charge for the room if ',false
4308,'DT','the','the',1,'det','charge for cleaning room if you ',false
4309,'NN','room','room',1,'dobj','for cleaning the if you travel ',false
4310,'IN','if','if',1,'mark','cleaning the room you travel with ',false
4311,'PRP','you','you',1,'nsubj','the room if travel with pets ',false
4312,'VBP','travel','travel',1,'advcl','room if you with pets that ',false
4313,'IN','with','with',1,'prep','if you travel pets that we ',false
4314,'NNS','pet','pets',1,'pobj','you travel with that we were ',false
4315,'IN','that','that',1,'complm','travel with pets we were not ',false
4316,'PRP','we','we',1,'nsubjpass','with pets that were not told ',false
4317,'VBD','be','were',1,'auxpass','pets that we not told about ',false
4318,'RB','not','not',1,'neg','that we were told about until ',false
4319,'VBN','tell','told',1,'ccomp','we were not about until after ',false
4320,'IN','about','about',1,'prep','were not told until after check ',false
4321,'IN','until','until',1,'dep','not told about after check - ',false
4322,'IN','after','after',1,'dep','told about until check - in ',false
4323,'NN','check','check',1,'nn','about until after - in . ',false
4324,'HYPH','-','-',0,'amod','until after check in . ',false
4325,'NN','in','in',1,'pobj','after check - . ',false
4326,'.','.','.',0,'punct','check - in ',false
4327,'DT','the','The',1,'det','bar / restaurant ',false
4328,'NN','bar','bar',1,'nsubj','The / restaurant was ',false
4329,'SYM','/','/',0,'dep','The bar restaurant was closed ',false
4330,'NN','restaurant','restaurant',1,'nsubjpass','The bar / was closed when ',false
4331,'VBD','be','was',1,'auxpass','bar / restaurant closed when we ',false
4332,'VBN','close','closed',1,'ROOT','/ restaurant was when we went ',false
4333,'WRB','when','when',1,'advmod','restaurant was closed we went to ',false
4334,'PRP','we','we',1,'nsubj','was closed when went to have ',false
4335,'VBD','go','went',1,'advcl','closed when we to have a ',false
4336,'TO','to','to',1,'aux','when we went have a drink ',false
4337,'VB','have','have',1,'xcomp','we went to a drink one ',false
4338,'DT','a','a',1,'det','went to have drink one evening ',false
4339,'NN','drink','drink',1,'nn','to have a one evening and ',false
4340,'CD','#crd#','one',1,'num','have a drink evening and there ',false
4341,'NN','evening','evening',1,'dobj','a drink one and there are ',false
4342,'CC','and','and',1,'cc','drink one evening there are no ',false
4343,'EX','there','there',1,'expl','one evening and are no posted ',false
4344,'VBP','be','are',1,'conj','evening and there no posted hours ',false
4345,'DT','no','no',1,'det','and there are posted hours of ',false
4346,'VBN','post','posted',1,'amod','there are no hours of operation.u ',false
4347,'NNS','hour','hours',1,'nsubj','are no posted of operation.u ',false
4348,'IN','of','of',1,'prep','no posted hours operation.u ',false
4349,'NN','operation.u','operation.u',1,'pobj','posted hours of ',false
5970,'RB','acceptably','Acceptably',1,'ROOT','. ',false
5971,'.','.','.',0,'punct','Acceptably ',false
5972,'NNP','good','Good',1,'nn','Location , parking ',false
5973,'NNP','location','Location',1,'ROOT','Good , parking , ',false
5974,',',',',',',0,'punct','Good Location parking , grocery ',false
5975,'NN','parking','parking',1,'appos','Good Location , , grocery store ',false
5976,',',',',',',0,'punct','Location , parking grocery store in ',false
5977,'NN','grocery','grocery',1,'nn',', parking , store in the ',false
5978,'NN','store','store',1,'appos','parking , grocery in the building ',false
5979,'IN','in','in',1,'prep',', grocery store the building . ',false
5980,'DT','the','the',1,'det','grocery store in building . ',false
5981,'NN','building','building',1,'pobj','store in the . ',false
5982,'.','.','.',0,'punct','in the building ',false
5983,'JJ','old','Old',1,'amod','hotel and relevant ',false
5984,'NN','hotel','hotel',1,'ROOT','Old and relevant smell ',false
5985,'CC','and','and',1,'cc','Old hotel relevant smell , ',false
5986,'JJ','relevant','relevant',1,'amod','Old hotel and smell , no ',false
5987,'NN','smell','smell',1,'conj','hotel and relevant , no sockets ',false
5988,',',',',',',0,'punct','and relevant smell no sockets in ',false
5989,'DT','no','no',1,'det','relevant smell , sockets in the ',false
5990,'NNS','socket','sockets',1,'appos','smell , no in the room ',false
5991,'IN','in','in',1,'prep',', no sockets the room at ',false
5992,'DT','the','the',1,'det','no sockets in room at all ',false
5993,'NN','room','room',1,'pobj','sockets in the at all . ',false
5994,'RB','at','at',1,'advmod','in the room all . ',false
5995,'RB','all','all',1,'dep','the room at . ',false
5996,'.','.','.',0,'punct','room at all ',false
5997,'VBD','have','Had',1,'ROOT','to charge cellular ',false
5998,'TO','to','to',1,'aux','Had charge cellular in ',false
5999,'VB','charge','charge',1,'xcomp','Had to cellular in bathroom ',false
6000,'JJ','cellular','cellular',1,'dobj','Had to charge in bathroom . ',false
6001,'IN','in','in',1,'prep','to charge cellular bathroom . ',false
6002,'NN','bathroom','bathroom',1,'pobj','charge cellular in . ',false
6003,'.','.','.',0,'punct','cellular in bathroom ',false
6004,'NN','air','Air',1,'nn','condition was terrible ',false
6005,'NN','condition','condition',1,'nsubj','Air was terrible . ',false
6006,'VBD','be','was',1,'cop','Air condition terrible . ',false
6007,'JJ','terrible','terrible',1,'ROOT','Air condition was . ',false
6008,'.','.','.',0,'punct','condition was terrible ',false
6009,'VBD','have','Had',1,'ROOT','to ask staff ',false
6010,'TO','to','to',1,'aux','Had ask staff to ',false
6011,'VB','ask','ask',1,'xcomp','Had to staff to switch ',false
6012,'NN','staff','staff',1,'dobj','Had to ask to switch it ',false
6013,'TO','to','to',1,'aux','to ask staff switch it off ',false
6014,'VB','switch','switch',1,'xcomp','ask staff to it off in ',false
6015,'PRP','it','it',1,'dobj','staff to switch off in the ',false
6016,'RP','off','off',1,'prt','to switch it in the evening ',false
6017,'IN','in','in',1,'prep','switch it off the evening , ',false
6018,'DT','the','the',1,'det','it off in evening , but ',false
6019,'NN','evening','evening',1,'pobj','off in the , but at ',false
6020,',',',',',',0,'punct','in the evening but at night ',false
6021,'CC','but','but',1,'cc','the evening , at night it ',false
6022,'IN','at','at',1,'prep','evening , but night it started ',false
6023,'NN','night','night',1,'pobj',', but at it started blow ',false
6024,'PRP','it','it',1,'nsubj','but at night started blow cool ',false
6025,'VBD','start','started',1,'conj','at night it blow cool air ',false
6026,'NN','blow','blow',1,'nn','night it started cool air very ',false
6027,'JJ','cool','cool',1,'amod','it started blow air very noisy ',false
6028,'NN','air','air',1,'dobj','started blow cool very noisy . ',false
6029,'RB','very','very',1,'advmod','blow cool air noisy . ',false
6030,'RB','noisy','noisy',1,'advmod','cool air very . ',false
6031,'.','.','.',0,'punct','air very noisy ',false
6032,'PRP','it','It',1,'nsubj','was very cold ',false
6033,'VBD','be','was',1,'cop','It very cold and ',false
6034,'RB','very','very',1,'advmod','It was cold and uncomfortable ',false
6035,'JJ','cold','cold',1,'ROOT','It was very and uncomfortable . ',false
6036,'CC','and','and',1,'cc','was very cold uncomfortable . ',false
6037,'JJ','uncomfortable','uncomfortable',1,'conj','very cold and . ',false
6038,'.','.','.',0,'punct','cold and uncomfortable ',false
6994,'VB','stay','Stay',1,'nsubj','was okay . ',false
6995,'VBD','be','was',1,'cop','Stay okay . ',false
6996,'JJ','okay','okay',1,'ROOT','Stay was . ',false
6997,'.','.','.',0,'punct','Stay was okay ',false
6998,'PRP','i','I',1,'nsubj','will consider staying ',false
6999,'MD','will','will',1,'aux','I consider staying there ',false
7000,'VB','consider','consider',1,'ROOT','I will staying there again ',false
7001,'VBG','stay','staying',1,'xcomp','I will consider there again . ',false
7002,'RB','there','there',1,'advmod','will consider staying again . ',false
7003,'RB','again','again',1,'advmod','consider staying there . ',false
7004,'.','.','.',0,'punct','staying there again ',false
7005,'DT','the','The',1,'det','location was great ',false
7006,'NN','location','location',1,'nsubj','The was great , ',false
7007,'VBD','be','was',1,'cop','The location great , right ',false
7008,'JJ','great','great',1,'ccomp','The location was , right downtown ',false
7009,',',',',',',0,'punct','location was great right downtown Montreal ',false
7010,'JJ','right','right',1,'amod','was great , downtown Montreal . ',false
7011,'NN','downtown','downtown',1,'nn','great , right Montreal . ',false
7012,'NNP','montreal','Montreal',1,'ROOT',', right downtown . ',false
7013,'.','.','.',0,'punct','right downtown Montreal ',false
7014,'NNP','view','View',1,'nsubj','was amazing and ',false
7015,'VBD','be','was',1,'cop','View amazing and the ',false
7016,'JJ','amazing','amazing',1,'ROOT','View was and the bed ',false
7017,'CC','and','and',1,'cc','View was amazing the bed was ',false
7018,'DT','the','the',1,'det','was amazing and bed was comfortable ',false
7019,'NN','bed','bed',1,'nsubj','amazing and the was comfortable enough ',false
7020,'VBD','be','was',1,'cop','and the bed comfortable enough . ',false
7021,'JJ','comfortable','comfortable',1,'conj','the bed was enough . ',false
7022,'RB','enough','enough',1,'advmod','bed was comfortable . ',false
7023,'.','.','.',0,'punct','was comfortable enough ',false
7024,'DT','the','The',1,'det','hotel was outdated ',false
7025,'NN','hotel','hotel',1,'nsubj','The was outdated . ',false
7026,'VBD','be','was',1,'cop','The hotel outdated . ',false
7027,'JJ','outdated','outdated',1,'ROOT','The hotel was . ',false
7028,'.','.','.',0,'punct','hotel was outdated ',false
7029,'NNP','carpet','Carpet',1,'nsubj','was pretty old ',false
7030,'VBD','be','was',1,'cop','Carpet pretty old and ',false
7031,'RB','pretty','pretty',1,'advmod','Carpet was old and the ',false
7032,'JJ','old','old',1,'ROOT','Carpet was pretty and the vent ',false
7033,'CC','and','and',1,'cc','was pretty old the vent was ',false
7034,'DT','the','the',1,'det','pretty old and vent was VERY ',false
7035,'NN','vent','vent',1,'nsubj','old and the was VERY dusty ',false
7036,'VBD','be','was',1,'cop','and the vent VERY dusty . ',false
7037,'RB','very','VERY',1,'advmod','the vent was dusty . ',false
7038,'JJ','dusty','dusty',1,'conj','vent was VERY . ',false
7039,'.','.','.',0,'punct','was VERY dusty ',false
7040,'PRP','you','You',1,'nsubj','can actually see ',false
7041,'MD','can','can',1,'aux','You actually see the ',false
7042,'RB','actually','actually',1,'advmod','You can see the caked ',false
7043,'VB','see','see',1,'ROOT','You can actually the caked on ',false
7044,'DT','the','the',1,'det','can actually see caked on dust ',false
7045,'NN','caked','caked',1,'dobj','actually see the on dust . ',false
