@relation OTHER-positive

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
411,'DT','a','a',1,'det','Security should be priority , as ',false
412,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
413,',',',',',',0,'punct','be a priority as the hotel ',false
414,'IN','as','as',1,'prep','a priority , the hotel below ',false
415,'DT','the','the',1,'det','priority , as hotel below ground ',false
416,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
417,'IN','below','below',1,'prep','as the hotel ground level is ',false
418,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
419,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
420,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
421,'VBN','connect','connected',1,'ROOT','ground level is to a small ',false
422,'IN','to','to',1,'prep','level is connected a small inside ',false
423,'DT','a','a',1,'det','is connected to small inside mall ',false
424,'JJ','small','small',1,'amod','connected to a inside mall , ',false
425,'JJ','inside','inside',1,'amod','to a small mall , which ',false
426,'NN','mall','mall',1,'pobj','a small inside , which is ',false
427,',',',',',',0,'punct','small inside mall which is a ',false
428,'WDT','which','which',1,'nsubj','inside mall , is a huge ',false
429,'VBZ','be','is',1,'cop','mall , which a huge bonus ',false
430,'DT','a','a',1,'det',', which is huge bonus , ',false
431,'JJ','huge','huge',1,'amod','which is a bonus , but ',false
432,'NN','bonus','bonus',1,'rcmod','is a huge , but - ',false
433,',',',',',',0,'punct','a huge bonus but - it ',false
434,'CC','but','but',1,'cc','huge bonus , - it also ',false
435,',','-','-',0,'punct','bonus , but it also seems ',false
436,'PRP','it','it',1,'nsubj',', but - also seems to ',false
437,'RB','also','also',1,'advmod','but - it seems to be ',false
438,'VBZ','seem','seems',1,'conj','- it also to be a ',false
439,'TO','to','to',1,'aux','it also seems be a converging ',false
440,'VB','be','be',1,'cop','also seems to a converging space ',false
441,'DT','a','a',1,'det','seems to be converging space for ',false
442,'JJ','converging','converging',1,'amod','to be a space for the ',false
443,'NN','space','space',1,'xcomp','be a converging for the homeless ',false
444,'IN','for','for',1,'prep','a converging space the homeless , ',false
445,'DT','the','the',1,'det','converging space for homeless , who ',false
446,'JJ','homeless','homeless',1,'pobj','space for the , who have ',false
447,',',',',',',0,'punct','for the homeless who have mental ',false
448,'WP','who','who',1,'nsubj','the homeless , have mental health ',false
449,'VBP','have','have',1,'rcmod','homeless , who mental health issues ',false
450,'JJ','mental','mental',1,'amod',', who have health issues and ',false
451,'NN','health','health',1,'nn','who have mental issues and addiction ',false
452,'NNS','issue','issues',1,'dobj','have mental health and addiction issues ',false
453,'CC','and','and',1,'cc','mental health issues addiction issues . ',false
454,'NN','addiction','addiction',1,'nn','health issues and issues . ',false
455,'NNS','issue','issues',1,'conj','issues and addiction . ',false
456,'.','.','.',0,'punct','and addiction issues ',false
457,'VBZ','make','Makes',1,'ROOT','them very in-predictable ',false
458,'PRP','them','them',1,'nsubj','Makes very in-predictable and ',false
459,'RB','very','very',1,'advmod','Makes them in-predictable and I ',false
460,'JJ','in-predictable','in-predictable',1,'xcomp','Makes them very and I would ',false
461,'CC','and','and',1,'cc','them very in-predictable I would not ',false
462,'PRP','i','I',1,'nsubjpass','very in-predictable and would not have ',false
463,'MD','would','would',1,'aux','in-predictable and I not have wanted ',false
464,'RB','not','not',1,'neg','and I would have wanted to ',false
465,'VB','have','have',1,'aux','I would not wanted to run ',false
466,'VBN','want','wanted',1,'conj','would not have to run into ',false
467,'TO','to','to',1,'aux','not have wanted run into one ',false
468,'VB','run','run',1,'xcomp','have wanted to into one of ',false
469,'IN','into','into',1,'prep','wanted to run one of them ',false
470,'CD','#crd#','one',1,'pobj','to run into of them with ',false
471,'IN','of','of',1,'prep','run into one them with small ',false
472,'PRP','them','them',1,'pobj','into one of with small kids ',false
473,'IN','with','with',1,'prep','one of them small kids in ',false
474,'JJ','small','small',1,'amod','of them with kids in tow ',false
475,'NNS','kid','kids',1,'pobj','them with small in tow . ',false
476,'IN','in','in',1,'prep','with small kids tow . ',false
477,'NN','tow','tow',1,'pobj','small kids in . ',false
478,'.','.','.',0,'punct','kids in tow ',false
479,'VBD','see','Saw',1,'ROOT','a few having ',false
480,'DT','a','a',1,'det','Saw few having episodes ',false
481,'JJ','few','few',1,'amod','Saw a having episodes the ',false
482,'VBG','have','having',1,'amod','Saw a few episodes the next ',false
483,'NNS','episode','episodes',1,'nsubj','a few having the next morning ',false
484,'DT','the','the',1,'det','few having episodes next morning . ',false
485,'JJ','next','next',1,'amod','having episodes the morning . ',false
486,'NN','morning','morning',1,'ccomp','episodes the next . ',false
487,'.','.','.',0,'punct','the next morning ',false
1982,'NN','fine','Fine',1,'ROOT','. ',false
1983,'.','.','.',0,'punct','Fine ',false
1984,'NNP','gym','Gym',1,'nsubj','had no equipment ',false
1985,'VBD','have','had',1,'ROOT','Gym no equipment Needs ',false
1986,'DT','no','no',1,'det','Gym had equipment Needs to ',false
1987,'NN','equipment','equipment',1,'nn','Gym had no Needs to be ',false
1988,'NNS','need','Needs',1,'nsubjpass','had no equipment to be upgraded ',false
1989,'TO','to','to',1,'aux','no equipment Needs be upgraded ',false
1990,'VB','be','be',1,'auxpass','equipment Needs to upgraded ',false
1991,'VBN','upgrade','upgraded',1,'ccomp','Needs to be ',false
2148,'VBN','enjoy','Enjoyed',1,'ROOT','our stay . ',false
2149,'PRP$','our','our',1,'poss','Enjoyed stay . ',false
2150,'NN','stay','stay',1,'dobj','Enjoyed our . ',false
2151,'.','.','.',0,'punct','Enjoyed our stay ',false
2152,'JJ','comfortable','Comfortable',1,'amod','and Foot rest ',false
2153,'CC','and','and',1,'cc','Comfortable Foot rest . ',false
2154,'JJ','foot','Foot',1,'conj','Comfortable and rest . ',false
2155,'NN','rest','rest',1,'ROOT','Comfortable and Foot . ',false
2156,'.','.','.',0,'punct','and Foot rest ',false
2157,'RB','next','Next',1,'dep','to elevators ',false
2158,'IN','to','to',1,'ROOT','Next elevators ',false
2159,'NNS','elevator','elevators',1,'pobj','Next to ',false
2862,'VBD','be','Was',1,'cop','more economical than ',false
2863,'RBR','more','more',1,'advmod','Was economical than other ',false
2864,'JJ','economical','economical',1,'ROOT','Was more than other properties ',false
2865,'IN','than','than',1,'prep','Was more economical other properties I ',false
2866,'JJ','other','other',1,'amod','more economical than properties I searched ',false
2867,'NNS','property','properties',1,'pobj','economical than other I searched in ',false
2868,'PRP','i','I',1,'nsubj','than other properties searched in the ',false
2869,'VBD','search','searched',1,'rcmod','other properties I in the area ',false
2870,'IN','in','in',1,'prep','properties I searched the area but ',false
2871,'DT','the','the',1,'det','I searched in area but there ',false
2872,'NN','area','area',1,'pobj','searched in the but there is ',false
2873,'CC','but','but',1,'cc','in the area there is room ',false
2874,'EX','there','there',1,'expl','the area but is room for ',false
2875,'VBZ','be','is',1,'conj','area but there room for improvement ',false
2876,'NN','room','room',1,'nsubj','but there is for improvement . ',false
2877,'IN','for','for',1,'prep','there is room improvement . ',false
2878,'NN','improvement','improvement',1,'pobj','is room for . ',false
2879,'.','.','.',0,'punct','room for improvement ',false
2880,'NNP','location','Location',1,'nsubj','was close to ',false
2881,'VBD','be','was',1,'cop','Location close to the ',false
2882,'JJ','close','close',1,'ROOT','Location was to the event ',false
2883,'IN','to','to',1,'prep','Location was close the event we ',false
2884,'DT','the','the',1,'det','was close to event we were ',false
2885,'NN','event','event',1,'pobj','close to the we were attending ',false
2886,'PRP','we','we',1,'nsubj','to the event were attending . ',false
2887,'VBD','be','were',1,'aux','the event we attending . ',false
2888,'VBG','attend','attending',1,'rcmod','event we were . ',false
2889,'.','.','.',0,'punct','we were attending ',false
2890,'EX','there','There',1,'expl','is a parking ',false
2891,'VBZ','be','is',1,'ROOT','There a parking structure ',false
2892,'DT','a','a',1,'det','There is parking structure attacked ',false
2893,'NN','parking','parking',1,'nn','There is a structure attacked to ',false
2894,'NN','structure','structure',1,'nsubj','is a parking attacked to the ',false
2895,'VBD','attack','attacked',1,'ccomp','a parking structure to the hotel ',false
2896,'IN','to','to',1,'prep','parking structure attacked the hotel so ',false
2897,'DT','the','the',1,'det','structure attacked to hotel so you ',false
2898,'NN','hotel','hotel',1,'pobj','attacked to the so you did ',false
2899,'IN','so','so',1,'mark','to the hotel you did not ',false
2900,'PRP','you','you',1,'nsubj','the hotel so did not need ',false
2901,'VBD','do','did',1,'aux','hotel so you not need to ',false
2902,'RB','not','not',1,'neg','so you did need to park ',false
2903,'VB','need','need',1,'advcl','you did not to park outside ',false
2904,'TO','to','to',1,'aux','did not need park outside . ',false
2905,'VB','park','park',1,'xcomp','not need to outside . ',false
2906,'RB','outside','outside',1,'advmod','need to park . ',false
2907,'.','.','.',0,'punct','to park outside ',false
2908,'PRP','you','You',1,'nsubj','can travel with ',false
2909,'MD','can','can',1,'aux','You travel with pets ',false
2910,'VB','travel','travel',1,'nsubjpass','You can with pets and ',false
2911,'IN','with','with',1,'prep','You can travel pets and our ',false
2912,'NNS','pet','pets',1,'pobj','can travel with and our request ',false
2913,'CC','and','and',1,'cc','travel with pets our request for ',false
2914,'PRP$','our','our',1,'poss','with pets and request for a ',false
2915,'NN','request','request',1,'conj','pets and our for a mini ',false
2916,'IN','for','for',1,'prep','and our request a mini fridge ',false
2917,'DT','a','a',1,'det','our request for mini fridge in ',false
2918,'JJ','mini','mini',1,'amod','request for a fridge in the ',false
2919,'NN','fridge','fridge',1,'pobj','for a mini in the room ',false
2920,'IN','in','in',1,'prep','a mini fridge the room for ',false
2921,'DT','the','the',1,'det','mini fridge in room for medication ',false
2922,'NN','room','room',1,'pobj','fridge in the for medication storage ',false
2923,'IN','for','for',1,'prep','in the room medication storage was ',false
2924,'NN','medication','medication',1,'nn','the room for storage was honoured ',false
2925,'NN','storage','storage',1,'pobj','room for medication was honoured at ',false
2926,'VBD','be','was',1,'auxpass','for medication storage honoured at no ',false
2927,'VBN','honour','honoured',1,'ROOT','medication storage was at no charge ',false
2928,'IN','at','at',1,'prep','storage was honoured no charge . ',false
2929,'DT','no','no',1,'det','was honoured at charge . ',false
2930,'NN','charge','charge',1,'pobj','honoured at no . ',false
2931,'.','.','.',0,'punct','at no charge ',false
2932,'DT','the','The',1,'det','bathroom was dated ',false
2933,'NN','bathroom','bathroom',1,'nsubjpass','The was dated , ',false
2934,'VBD','be','was',1,'auxpass','The bathroom dated , some ',false
2935,'VBN','date','dated',1,'nsubj','The bathroom was , some tiles ',false
2936,',',',',',',0,'punct','bathroom was dated some tiles were ',false
2937,'DT','some','some',1,'det','was dated , tiles were cracked ',false
2938,'NNS','tile','tiles',1,'nsubjpass','dated , some were cracked in ',false
2939,'VBD','be','were',1,'auxpass',', some tiles cracked in the ',false
2940,'VBN','crack','cracked',1,'parataxis','some tiles were in the shower ',false
2941,'IN','in','in',1,'prep','tiles were cracked the shower and ',false
2942,'DT','the','the',1,'det','were cracked in shower and much ',false
2943,'NN','shower','shower',1,'pobj','cracked in the and much of ',false
2944,'CC','and','and',1,'cc','in the shower much of the ',false
2945,'JJ','much','much',1,'conj','the shower and of the grout ',false
2946,'IN','of','of',1,'prep','shower and much the grout was ',false
2947,'DT','the','the',1,'det','and much of grout was black ',false
2948,'NN','grout','grout',1,'pobj','much of the was black . ',false
2949,'VBD','be','was',1,'cop','of the grout black . ',false
2950,'JJ','black','black',1,'ROOT','the grout was . ',false
2951,'.','.','.',0,'punct','grout was black ',false
2952,'DT','the','The',1,'det','carpet was stained ',false
2953,'NN','carpet','carpet',1,'nsubjpass','The was stained but ',false
2954,'VBD','be','was',1,'auxpass','The carpet stained but was ',false
2955,'VBN','stain','stained',1,'ROOT','The carpet was but was not ',false
2956,'CC','but','but',1,'cc','carpet was stained was not dirty ',false
2957,'VBD','be','was',1,'cop','was stained but not dirty ( ',false
2958,'RB','not','not',1,'neg','stained but was dirty ( my ',false
2959,'JJ','dirty','dirty',1,'conj','but was not ( my socks ',false
2960,'-LRB-','(','(',0,'punct','was not dirty my socks did ',false
2961,'PRP$','my','my',1,'poss','not dirty ( socks did not ',false
2962,'NNS','sock','socks',1,'nsubj','dirty ( my did not turn ',false
2963,'VBD','do','did',1,'aux','( my socks not turn get ',false
2964,'RB','not','not',1,'neg','my socks did turn get dirty ',false
2965,'VB','turn','turn',1,'parataxis','socks did not get dirty walking ',false
2966,'VB','get','get',1,'xcomp','did not turn dirty walking on ',false
2967,'JJ','dirty','dirty',1,'amod','not turn get walking on carpet ',false
2968,'NN','walking','walking',1,'dobj','turn get dirty on carpet ) ',false
2969,'IN','on','on',1,'prep','get dirty walking carpet ) . ',false
2970,'NN','carpet','carpet',1,'pobj','dirty walking on ) . ',false
2971,'-RRB-',')',')',0,'dep','walking on carpet . ',false
2972,'.','.','.',0,'punct','on carpet ) ',false
2973,'NN','parking','Parking',1,'nn','garage has low ',false
2974,'NN','garage','garage',1,'nsubj','Parking has low ceilings ',false
2975,'VBZ','have','has',1,'ROOT','Parking garage low ceilings ( ',false
2976,'JJ','low','low',1,'amod','Parking garage has ceilings ( 6 ',false
2977,'NNS','ceiling','ceilings',1,'dobj','garage has low ( 6 foot ',false
2978,'-LRB-','(','(',0,'dep','has low ceilings 6 foot max ',false
2979,'CD','0','6',0,'num','low ceilings ( foot max clearance ',false
2980,'NN','foot','foot',1,'nn','ceilings ( 6 max clearance ) ',false
2981,'NN','max','max',1,'nn','( 6 foot clearance ) so ',false
2982,'NN','clearance','clearance',1,'nsubj','6 foot max ) so larger ',false
2983,'-RRB-',')',')',0,'advmod','foot max clearance so larger vehicles ',false
2984,'RB','so','so',1,'advmod','max clearance ) larger vehicles will ',false
2985,'JJR','large','larger',1,'amod','clearance ) so vehicles will not ',false
2986,'NNS','vehicle','vehicles',1,'nsubj',') so larger will not fit ',false
2987,'MD','will','will',1,'aux','so larger vehicles not fit and ',false
2988,'RB','not','not',1,'neg','larger vehicles will fit and cost ',false
2989,'VB','fit','fit',1,'ccomp','vehicles will not and cost is ',false
2990,'CC','and','and',1,'cc','will not fit cost is $ ',false
2991,'VB','cost','cost',1,'conj','not fit and is $ 19 ',false
2992,'VBZ','be','is',1,'cop','fit and cost $ 19 / ',false
2993,'$','$','$',0,'rcmod','and cost is 19 / day ',false
2994,'CD','0','19',0,'number','cost is $ / day . ',false
2995,'CD','/','/',0,'number','is $ 19 day . ',false
2996,'NN','day','day',1,'tmod','$ 19 / . ',false
2997,'.','.','.',0,'punct','19 / day ',false
2998,'EX','there','There',1,'expl','was a $ ',false
2999,'VBD','be','was',1,'ROOT','There a $ 40 ',false
3000,'DT','a','a',1,'det','There was $ 40 charge ',false
3001,'$','$','$',0,'amod','There was a 40 charge for ',false
3002,'CD','0','40',0,'dep','was a $ charge for cleaning ',false
3003,'NN','charge','charge',1,'nsubj','a $ 40 for cleaning the ',false
3004,'IN','for','for',1,'prep','$ 40 charge cleaning the room ',false
3005,'VBG','clean','cleaning',1,'pcomp','40 charge for the room if ',false
3006,'DT','the','the',1,'det','charge for cleaning room if you ',false
3007,'NN','room','room',1,'dobj','for cleaning the if you travel ',false
3008,'IN','if','if',1,'mark','cleaning the room you travel with ',false
3009,'PRP','you','you',1,'nsubj','the room if travel with pets ',false
3010,'VBP','travel','travel',1,'advcl','room if you with pets that ',false
3011,'IN','with','with',1,'prep','if you travel pets that we ',false
3012,'NNS','pet','pets',1,'pobj','you travel with that we were ',false
3013,'IN','that','that',1,'complm','travel with pets we were not ',false
3014,'PRP','we','we',1,'nsubjpass','with pets that were not told ',false
3015,'VBD','be','were',1,'auxpass','pets that we not told about ',false
3016,'RB','not','not',1,'neg','that we were told about until ',false
3017,'VBN','tell','told',1,'ccomp','we were not about until after ',false
3018,'IN','about','about',1,'prep','were not told until after check ',false
3019,'IN','until','until',1,'dep','not told about after check - ',false
3020,'IN','after','after',1,'dep','told about until check - in ',false
3021,'NN','check','check',1,'nn','about until after - in . ',false
3022,'HYPH','-','-',0,'amod','until after check in . ',false
3023,'NN','in','in',1,'pobj','after check - . ',false
3024,'.','.','.',0,'punct','check - in ',false
3025,'DT','the','The',1,'det','bar / restaurant ',false
3026,'NN','bar','bar',1,'nsubj','The / restaurant was ',false
3027,'SYM','/','/',0,'dep','The bar restaurant was closed ',false
3028,'NN','restaurant','restaurant',1,'nsubjpass','The bar / was closed when ',false
3029,'VBD','be','was',1,'auxpass','bar / restaurant closed when we ',false
3030,'VBN','close','closed',1,'ROOT','/ restaurant was when we went ',false
3031,'WRB','when','when',1,'advmod','restaurant was closed we went to ',false
3032,'PRP','we','we',1,'nsubj','was closed when went to have ',false
3033,'VBD','go','went',1,'advcl','closed when we to have a ',false
3034,'TO','to','to',1,'aux','when we went have a drink ',false
3035,'VB','have','have',1,'xcomp','we went to a drink one ',false
3036,'DT','a','a',1,'det','went to have drink one evening ',false
3037,'NN','drink','drink',1,'nn','to have a one evening and ',false
3038,'CD','#crd#','one',1,'num','have a drink evening and there ',false
3039,'NN','evening','evening',1,'dobj','a drink one and there are ',false
3040,'CC','and','and',1,'cc','drink one evening there are no ',false
3041,'EX','there','there',1,'expl','one evening and are no posted ',false
3042,'VBP','be','are',1,'conj','evening and there no posted hours ',false
3043,'DT','no','no',1,'det','and there are posted hours of ',false
3044,'VBN','post','posted',1,'amod','there are no hours of operation.u ',false
3045,'NNS','hour','hours',1,'nsubj','are no posted of operation.u ',false
3046,'IN','of','of',1,'prep','no posted hours operation.u ',false
3047,'NN','operation.u','operation.u',1,'pobj','posted hours of ',false
5487,'RB','acceptably','Acceptably',1,'ROOT','. ',false
5488,'.','.','.',0,'punct','Acceptably ',false
5489,'NNP','good','Good',1,'nn','Location , parking ',false
5490,'NNP','location','Location',1,'ROOT','Good , parking , ',false
5491,',',',',',',0,'punct','Good Location parking , grocery ',false
5492,'NN','parking','parking',1,'appos','Good Location , , grocery store ',false
5493,',',',',',',0,'punct','Location , parking grocery store in ',false
5494,'NN','grocery','grocery',1,'nn',', parking , store in the ',false
5495,'NN','store','store',1,'appos','parking , grocery in the building ',false
5496,'IN','in','in',1,'prep',', grocery store the building . ',false
5497,'DT','the','the',1,'det','grocery store in building . ',false
5498,'NN','building','building',1,'pobj','store in the . ',false
5499,'.','.','.',0,'punct','in the building ',false
5500,'JJ','old','Old',1,'amod','hotel and relevant ',false
5501,'NN','hotel','hotel',1,'ROOT','Old and relevant smell ',false
5502,'CC','and','and',1,'cc','Old hotel relevant smell , ',false
5503,'JJ','relevant','relevant',1,'amod','Old hotel and smell , no ',false
5504,'NN','smell','smell',1,'conj','hotel and relevant , no sockets ',false
5505,',',',',',',0,'punct','and relevant smell no sockets in ',false
5506,'DT','no','no',1,'det','relevant smell , sockets in the ',false
5507,'NNS','socket','sockets',1,'appos','smell , no in the room ',false
5508,'IN','in','in',1,'prep',', no sockets the room at ',false
5509,'DT','the','the',1,'det','no sockets in room at all ',false
5510,'NN','room','room',1,'pobj','sockets in the at all . ',false
5511,'RB','at','at',1,'advmod','in the room all . ',false
5512,'RB','all','all',1,'dep','the room at . ',false
5513,'.','.','.',0,'punct','room at all ',false
5514,'VBD','have','Had',1,'ROOT','to charge cellular ',false
5515,'TO','to','to',1,'aux','Had charge cellular in ',false
5516,'VB','charge','charge',1,'xcomp','Had to cellular in bathroom ',false
5517,'JJ','cellular','cellular',1,'dobj','Had to charge in bathroom . ',false
5518,'IN','in','in',1,'prep','to charge cellular bathroom . ',false
5519,'NN','bathroom','bathroom',1,'pobj','charge cellular in . ',false
5520,'.','.','.',0,'punct','cellular in bathroom ',false
5521,'NN','air','Air',1,'nn','condition was terrible ',false
5522,'NN','condition','condition',1,'nsubj','Air was terrible . ',false
5523,'VBD','be','was',1,'cop','Air condition terrible . ',false
5524,'JJ','terrible','terrible',1,'ROOT','Air condition was . ',false
5525,'.','.','.',0,'punct','condition was terrible ',false
5526,'VBD','have','Had',1,'ROOT','to ask staff ',false
5527,'TO','to','to',1,'aux','Had ask staff to ',false
5528,'VB','ask','ask',1,'xcomp','Had to staff to switch ',false
5529,'NN','staff','staff',1,'dobj','Had to ask to switch it ',false
5530,'TO','to','to',1,'aux','to ask staff switch it off ',false
5531,'VB','switch','switch',1,'xcomp','ask staff to it off in ',false
5532,'PRP','it','it',1,'dobj','staff to switch off in the ',false
5533,'RP','off','off',1,'prt','to switch it in the evening ',false
5534,'IN','in','in',1,'prep','switch it off the evening , ',false
5535,'DT','the','the',1,'det','it off in evening , but ',false
5536,'NN','evening','evening',1,'pobj','off in the , but at ',false
5537,',',',',',',0,'punct','in the evening but at night ',false
5538,'CC','but','but',1,'cc','the evening , at night it ',false
5539,'IN','at','at',1,'prep','evening , but night it started ',false
5540,'NN','night','night',1,'pobj',', but at it started blow ',false
5541,'PRP','it','it',1,'nsubj','but at night started blow cool ',false
5542,'VBD','start','started',1,'conj','at night it blow cool air ',false
5543,'NN','blow','blow',1,'nn','night it started cool air very ',false
5544,'JJ','cool','cool',1,'amod','it started blow air very noisy ',false
5545,'NN','air','air',1,'dobj','started blow cool very noisy . ',false
5546,'RB','very','very',1,'advmod','blow cool air noisy . ',false
5547,'RB','noisy','noisy',1,'advmod','cool air very . ',false
5548,'.','.','.',0,'punct','air very noisy ',false
5549,'PRP','it','It',1,'nsubj','was very cold ',false
5550,'VBD','be','was',1,'cop','It very cold and ',false
5551,'RB','very','very',1,'advmod','It was cold and uncomfortable ',false
5552,'JJ','cold','cold',1,'ROOT','It was very and uncomfortable . ',false
5553,'CC','and','and',1,'cc','was very cold uncomfortable . ',false
5554,'JJ','uncomfortable','uncomfortable',1,'conj','very cold and . ',false
5555,'.','.','.',0,'punct','cold and uncomfortable ',false
6567,'VB','stay','Stay',1,'nsubj','was okay . ',false
6568,'VBD','be','was',1,'cop','Stay okay . ',false
6569,'JJ','okay','okay',1,'ROOT','Stay was . ',false
6570,'.','.','.',0,'punct','Stay was okay ',false
6571,'PRP','i','I',1,'nsubj','will consider staying ',false
6572,'MD','will','will',1,'aux','I consider staying there ',false
6573,'VB','consider','consider',1,'ROOT','I will staying there again ',false
6574,'VBG','stay','staying',1,'xcomp','I will consider there again . ',false
6575,'RB','there','there',1,'advmod','will consider staying again . ',false
6576,'RB','again','again',1,'advmod','consider staying there . ',false
6577,'.','.','.',0,'punct','staying there again ',false
6578,'DT','the','The',1,'det','location was great ',false
6579,'NN','location','location',1,'nsubj','The was great , ',false
6580,'VBD','be','was',1,'cop','The location great , right ',false
6581,'JJ','great','great',1,'ccomp','The location was , right downtown ',false
6582,',',',',',',0,'punct','location was great right downtown Montreal ',false
6583,'JJ','right','right',1,'amod','was great , downtown Montreal . ',false
6584,'NN','downtown','downtown',1,'nn','great , right Montreal . ',false
6585,'NNP','montreal','Montreal',1,'ROOT',', right downtown . ',false
6586,'.','.','.',0,'punct','right downtown Montreal ',false
6587,'NNP','view','View',1,'nsubj','was amazing and ',false
6588,'VBD','be','was',1,'cop','View amazing and the ',false
6589,'JJ','amazing','amazing',1,'ROOT','View was and the bed ',false
6590,'CC','and','and',1,'cc','View was amazing the bed was ',false
6591,'DT','the','the',1,'det','was amazing and bed was comfortable ',false
6592,'NN','bed','bed',1,'nsubj','amazing and the was comfortable enough ',false
6593,'VBD','be','was',1,'cop','and the bed comfortable enough . ',false
6594,'JJ','comfortable','comfortable',1,'conj','the bed was enough . ',false
6595,'RB','enough','enough',1,'advmod','bed was comfortable . ',false
6596,'.','.','.',0,'punct','was comfortable enough ',false
6597,'DT','the','The',1,'det','hotel was outdated ',false
6598,'NN','hotel','hotel',1,'nsubj','The was outdated . ',false
6599,'VBD','be','was',1,'cop','The hotel outdated . ',false
6600,'JJ','outdated','outdated',1,'ROOT','The hotel was . ',false
6601,'.','.','.',0,'punct','hotel was outdated ',false
6602,'NNP','carpet','Carpet',1,'nsubj','was pretty old ',false
6603,'VBD','be','was',1,'cop','Carpet pretty old and ',false
6604,'RB','pretty','pretty',1,'advmod','Carpet was old and the ',false
6605,'JJ','old','old',1,'ROOT','Carpet was pretty and the vent ',false
6606,'CC','and','and',1,'cc','was pretty old the vent was ',false
6607,'DT','the','the',1,'det','pretty old and vent was VERY ',false
6608,'NN','vent','vent',1,'nsubj','old and the was VERY dusty ',false
6609,'VBD','be','was',1,'cop','and the vent VERY dusty . ',false
6610,'RB','very','VERY',1,'advmod','the vent was dusty . ',false
6611,'JJ','dusty','dusty',1,'conj','vent was VERY . ',false
6612,'.','.','.',0,'punct','was VERY dusty ',false
6613,'PRP','you','You',1,'nsubj','can actually see ',false
6614,'MD','can','can',1,'aux','You actually see the ',false
6615,'RB','actually','actually',1,'advmod','You can see the caked ',false
6616,'VB','see','see',1,'ROOT','You can actually the caked on ',false
6617,'DT','the','the',1,'det','can actually see caked on dust ',false
6618,'NN','caked','caked',1,'dobj','actually see the on dust . ',false
6619,'IN','on','on',1,'prep','see the caked dust . ',false
6620,'NN','dust','dust',1,'pobj','the caked on . ',false
6621,'.','.','.',0,'punct','caked on dust ',false
6622,'PRP','it','It',1,'nsubj','does need updating ',false
