@relation Ausstattung-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
1077,'TO','to','to',1,'aux','not have wanted run into one ',false
1078,'VB','run','run',1,'xcomp','have wanted to into one of ',false
1079,'IN','into','into',1,'prep','wanted to run one of them ',false
1080,'CD','#crd#','one',1,'pobj','to run into of them with ',false
1081,'IN','of','of',1,'prep','run into one them with small ',false
1082,'PRP','them','them',1,'pobj','into one of with small kids ',false
1083,'IN','with','with',1,'prep','one of them small kids in ',false
1084,'JJ','small','small',1,'amod','of them with kids in tow ',false
1085,'NNS','kid','kids',1,'pobj','them with small in tow . ',false
1086,'IN','in','in',1,'prep','with small kids tow . ',false
1087,'NN','tow','tow',1,'pobj','small kids in . ',false
1088,'.','.','.',0,'punct','kids in tow ',false
1089,'VBD','see','Saw',1,'ROOT','a few having ',false
1090,'DT','a','a',1,'det','Saw few having episodes ',false
1091,'JJ','few','few',1,'amod','Saw a having episodes the ',false
1092,'VBG','have','having',1,'amod','Saw a few episodes the next ',false
1093,'NNS','episode','episodes',1,'nsubj','a few having the next morning ',false
1094,'DT','the','the',1,'det','few having episodes next morning . ',false
1095,'JJ','next','next',1,'amod','having episodes the morning . ',false
1096,'NN','morning','morning',1,'ccomp','episodes the next . ',false
1097,'.','.','.',0,'punct','the next morning ',false
2032,'NN','fine','Fine',1,'ROOT','. ',false
2033,'.','.','.',0,'punct','Fine ',false
2034,'NNP','gym','Gym',1,'nsubj','had no equipment ',false
2035,'VBD','have','had',1,'ROOT','Gym no equipment Needs ',false
2036,'DT','no','no',1,'det','Gym had equipment Needs to ',false
2037,'NN','equipment','equipment',1,'nn','Gym had no Needs to be ',false
2038,'NNS','need','Needs',1,'nsubjpass','had no equipment to be upgraded ',false
2039,'TO','to','to',1,'aux','no equipment Needs be upgraded ',false
2040,'VB','be','be',1,'auxpass','equipment Needs to upgraded ',false
2041,'VBN','upgrade','upgraded',1,'ccomp','Needs to be ',false
2208,'VBN','enjoy','Enjoyed',1,'ROOT','our stay . ',false
2209,'PRP$','our','our',1,'poss','Enjoyed stay . ',false
2210,'NN','stay','stay',1,'dobj','Enjoyed our . ',false
2211,'.','.','.',0,'punct','Enjoyed our stay ',false
2212,'JJ','comfortable','Comfortable',1,'amod','and Foot rest ',false
2213,'CC','and','and',1,'cc','Comfortable Foot rest . ',false
2214,'JJ','foot','Foot',1,'conj','Comfortable and rest . ',false
2215,'NN','rest','rest',1,'ROOT','Comfortable and Foot . ',false
2216,'.','.','.',0,'punct','and Foot rest ',false
2217,'RB','next','Next',1,'dep','to elevators ',false
2218,'IN','to','to',1,'ROOT','Next elevators ',false
2219,'NNS','elevator','elevators',1,'pobj','Next to ',false
3792,'VBD','be','Was',1,'cop','more economical than ',false
3793,'RBR','more','more',1,'advmod','Was economical than other ',false
3794,'JJ','economical','economical',1,'ROOT','Was more than other properties ',false
3795,'IN','than','than',1,'prep','Was more economical other properties I ',false
3796,'JJ','other','other',1,'amod','more economical than properties I searched ',false
3797,'NNS','property','properties',1,'pobj','economical than other I searched in ',false
3798,'PRP','i','I',1,'nsubj','than other properties searched in the ',false
3799,'VBD','search','searched',1,'rcmod','other properties I in the area ',false
3800,'IN','in','in',1,'prep','properties I searched the area but ',false
3801,'DT','the','the',1,'det','I searched in area but there ',false
3802,'NN','area','area',1,'pobj','searched in the but there is ',false
3803,'CC','but','but',1,'cc','in the area there is room ',false
3804,'EX','there','there',1,'expl','the area but is room for ',false
3805,'VBZ','be','is',1,'conj','area but there room for improvement ',false
3806,'NN','room','room',1,'nsubj','but there is for improvement . ',false
3807,'IN','for','for',1,'prep','there is room improvement . ',false
3808,'NN','improvement','improvement',1,'pobj','is room for . ',false
3809,'.','.','.',0,'punct','room for improvement ',false
3810,'NNP','location','Location',1,'nsubj','was close to ',false
3811,'VBD','be','was',1,'cop','Location close to the ',false
3812,'JJ','close','close',1,'ROOT','Location was to the event ',false
3813,'IN','to','to',1,'prep','Location was close the event we ',false
3814,'DT','the','the',1,'det','was close to event we were ',false
3815,'NN','event','event',1,'pobj','close to the we were attending ',false
3816,'PRP','we','we',1,'nsubj','to the event were attending . ',false
3817,'VBD','be','were',1,'aux','the event we attending . ',false
3818,'VBG','attend','attending',1,'rcmod','event we were . ',false
3819,'.','.','.',0,'punct','we were attending ',false
3820,'EX','there','There',1,'expl','is a parking ',false
3821,'VBZ','be','is',1,'ROOT','There a parking structure ',false
3822,'DT','a','a',1,'det','There is parking structure attacked ',false
3823,'NN','parking','parking',1,'nn','There is a structure attacked to ',false
3824,'NN','structure','structure',1,'nsubj','is a parking attacked to the ',false
3825,'VBD','attack','attacked',1,'ccomp','a parking structure to the hotel ',false
3826,'IN','to','to',1,'prep','parking structure attacked the hotel so ',false
3827,'DT','the','the',1,'det','structure attacked to hotel so you ',false
3828,'NN','hotel','hotel',1,'pobj','attacked to the so you did ',false
3829,'IN','so','so',1,'mark','to the hotel you did not ',false
3830,'PRP','you','you',1,'nsubj','the hotel so did not need ',false
3831,'VBD','do','did',1,'aux','hotel so you not need to ',false
3832,'RB','not','not',1,'neg','so you did need to park ',false
3833,'VB','need','need',1,'advcl','you did not to park outside ',false
3834,'TO','to','to',1,'aux','did not need park outside . ',false
3835,'VB','park','park',1,'xcomp','not need to outside . ',false
3836,'RB','outside','outside',1,'advmod','need to park . ',false
3837,'.','.','.',0,'punct','to park outside ',false
3838,'PRP','you','You',1,'nsubj','can travel with ',false
3839,'MD','can','can',1,'aux','You travel with pets ',false
3840,'VB','travel','travel',1,'nsubjpass','You can with pets and ',false
3841,'IN','with','with',1,'prep','You can travel pets and our ',false
3842,'NNS','pet','pets',1,'pobj','can travel with and our request ',false
3843,'CC','and','and',1,'cc','travel with pets our request for ',false
3844,'PRP$','our','our',1,'poss','with pets and request for a ',false
3845,'NN','request','request',1,'conj','pets and our for a mini ',false
3846,'IN','for','for',1,'prep','and our request a mini fridge ',false
3847,'DT','a','a',1,'det','our request for mini fridge in ',false
3848,'JJ','mini','mini',1,'amod','request for a fridge in the ',false
3849,'NN','fridge','fridge',1,'pobj','for a mini in the room ',false
3850,'IN','in','in',1,'prep','a mini fridge the room for ',false
3851,'DT','the','the',1,'det','mini fridge in room for medication ',false
3852,'NN','room','room',1,'pobj','fridge in the for medication storage ',false
3853,'IN','for','for',1,'prep','in the room medication storage was ',false
3854,'NN','medication','medication',1,'nn','the room for storage was honoured ',false
3855,'NN','storage','storage',1,'pobj','room for medication was honoured at ',false
3856,'VBD','be','was',1,'auxpass','for medication storage honoured at no ',false
3857,'VBN','honour','honoured',1,'ROOT','medication storage was at no charge ',false
3858,'IN','at','at',1,'prep','storage was honoured no charge . ',false
3859,'DT','no','no',1,'det','was honoured at charge . ',false
3860,'NN','charge','charge',1,'pobj','honoured at no . ',false
3861,'.','.','.',0,'punct','at no charge ',false
3862,'DT','the','The',1,'det','bathroom was dated ',false
3863,'NN','bathroom','bathroom',1,'nsubjpass','The was dated , ',false
3864,'VBD','be','was',1,'auxpass','The bathroom dated , some ',false
3865,'VBN','date','dated',1,'nsubj','The bathroom was , some tiles ',false
3866,',',',',',',0,'punct','bathroom was dated some tiles were ',false
3867,'DT','some','some',1,'det','was dated , tiles were cracked ',false
3868,'NNS','tile','tiles',1,'nsubjpass','dated , some were cracked in ',false
3869,'VBD','be','were',1,'auxpass',', some tiles cracked in the ',false
3870,'VBN','crack','cracked',1,'parataxis','some tiles were in the shower ',false
3871,'IN','in','in',1,'prep','tiles were cracked the shower and ',false
3872,'DT','the','the',1,'det','were cracked in shower and much ',false
3873,'NN','shower','shower',1,'pobj','cracked in the and much of ',false
3874,'CC','and','and',1,'cc','in the shower much of the ',false
3875,'JJ','much','much',1,'conj','the shower and of the grout ',false
3876,'IN','of','of',1,'prep','shower and much the grout was ',false
3877,'DT','the','the',1,'det','and much of grout was black ',false
3878,'NN','grout','grout',1,'pobj','much of the was black . ',false
3879,'VBD','be','was',1,'cop','of the grout black . ',false
3880,'JJ','black','black',1,'ROOT','the grout was . ',false
3881,'.','.','.',0,'punct','grout was black ',false
3882,'DT','the','The',1,'det','carpet was stained ',false
3883,'NN','carpet','carpet',1,'nsubjpass','The was stained but ',false
3884,'VBD','be','was',1,'auxpass','The carpet stained but was ',false
3885,'VBN','stain','stained',1,'ROOT','The carpet was but was not ',false
3886,'CC','but','but',1,'cc','carpet was stained was not dirty ',false
3887,'VBD','be','was',1,'cop','was stained but not dirty ( ',false
3888,'RB','not','not',1,'neg','stained but was dirty ( my ',false
3889,'JJ','dirty','dirty',1,'conj','but was not ( my socks ',false
3890,'-LRB-','(','(',0,'punct','was not dirty my socks did ',false
3891,'PRP$','my','my',1,'poss','not dirty ( socks did not ',false
3892,'NNS','sock','socks',1,'nsubj','dirty ( my did not turn ',false
3893,'VBD','do','did',1,'aux','( my socks not turn get ',false
3894,'RB','not','not',1,'neg','my socks did turn get dirty ',false
3895,'VB','turn','turn',1,'parataxis','socks did not get dirty walking ',false
3896,'VB','get','get',1,'xcomp','did not turn dirty walking on ',false
3897,'JJ','dirty','dirty',1,'amod','not turn get walking on carpet ',false
3898,'NN','walking','walking',1,'dobj','turn get dirty on carpet ) ',false
3899,'IN','on','on',1,'prep','get dirty walking carpet ) . ',false
3900,'NN','carpet','carpet',1,'pobj','dirty walking on ) . ',false
3901,'-RRB-',')',')',0,'dep','walking on carpet . ',false
3902,'.','.','.',0,'punct','on carpet ) ',false
3903,'NN','parking','Parking',1,'nn','garage has low ',false
3904,'NN','garage','garage',1,'nsubj','Parking has low ceilings ',false
3905,'VBZ','have','has',1,'ROOT','Parking garage low ceilings ( ',false
3906,'JJ','low','low',1,'amod','Parking garage has ceilings ( 6 ',false
3907,'NNS','ceiling','ceilings',1,'dobj','garage has low ( 6 foot ',false
3908,'-LRB-','(','(',0,'dep','has low ceilings 6 foot max ',false
3909,'CD','0','6',0,'num','low ceilings ( foot max clearance ',false
3910,'NN','foot','foot',1,'nn','ceilings ( 6 max clearance ) ',false
3911,'NN','max','max',1,'nn','( 6 foot clearance ) so ',false
3912,'NN','clearance','clearance',1,'nsubj','6 foot max ) so larger ',false
3913,'-RRB-',')',')',0,'advmod','foot max clearance so larger vehicles ',false
3914,'RB','so','so',1,'advmod','max clearance ) larger vehicles will ',false
3915,'JJR','large','larger',1,'amod','clearance ) so vehicles will not ',false
3916,'NNS','vehicle','vehicles',1,'nsubj',') so larger will not fit ',false
3917,'MD','will','will',1,'aux','so larger vehicles not fit and ',false
3918,'RB','not','not',1,'neg','larger vehicles will fit and cost ',false
3919,'VB','fit','fit',1,'ccomp','vehicles will not and cost is ',false
3920,'CC','and','and',1,'cc','will not fit cost is $ ',false
3921,'VB','cost','cost',1,'conj','not fit and is $ 19 ',false
3922,'VBZ','be','is',1,'cop','fit and cost $ 19 / ',false
3923,'$','$','$',0,'rcmod','and cost is 19 / day ',false
3924,'CD','0','19',0,'number','cost is $ / day . ',false
3925,'CD','/','/',0,'number','is $ 19 day . ',false
3926,'NN','day','day',1,'tmod','$ 19 / . ',false
3927,'.','.','.',0,'punct','19 / day ',false
3928,'EX','there','There',1,'expl','was a $ ',false
3929,'VBD','be','was',1,'ROOT','There a $ 40 ',false
3930,'DT','a','a',1,'det','There was $ 40 charge ',false
3931,'$','$','$',0,'amod','There was a 40 charge for ',false
3932,'CD','0','40',0,'dep','was a $ charge for cleaning ',false
3933,'NN','charge','charge',1,'nsubj','a $ 40 for cleaning the ',false
3934,'IN','for','for',1,'prep','$ 40 charge cleaning the room ',false
3935,'VBG','clean','cleaning',1,'pcomp','40 charge for the room if ',false
3936,'DT','the','the',1,'det','charge for cleaning room if you ',false
3937,'NN','room','room',1,'dobj','for cleaning the if you travel ',false
3938,'IN','if','if',1,'mark','cleaning the room you travel with ',false
3939,'PRP','you','you',1,'nsubj','the room if travel with pets ',false
3940,'VBP','travel','travel',1,'advcl','room if you with pets that ',false
3941,'IN','with','with',1,'prep','if you travel pets that we ',false
3942,'NNS','pet','pets',1,'pobj','you travel with that we were ',false
3943,'IN','that','that',1,'complm','travel with pets we were not ',false
3944,'PRP','we','we',1,'nsubjpass','with pets that were not told ',false
3945,'VBD','be','were',1,'auxpass','pets that we not told about ',false
3946,'RB','not','not',1,'neg','that we were told about until ',false
3947,'VBN','tell','told',1,'ccomp','we were not about until after ',false
3948,'IN','about','about',1,'prep','were not told until after check ',false
3949,'IN','until','until',1,'dep','not told about after check - ',false
3950,'IN','after','after',1,'dep','told about until check - in ',false
3951,'NN','check','check',1,'nn','about until after - in . ',false
3952,'HYPH','-','-',0,'amod','until after check in . ',false
3953,'NN','in','in',1,'pobj','after check - . ',false
3954,'.','.','.',0,'punct','check - in ',false
3955,'DT','the','The',1,'det','bar / restaurant ',false
3956,'NN','bar','bar',1,'nsubj','The / restaurant was ',false
3957,'SYM','/','/',0,'dep','The bar restaurant was closed ',false
3958,'NN','restaurant','restaurant',1,'nsubjpass','The bar / was closed when ',false
3959,'VBD','be','was',1,'auxpass','bar / restaurant closed when we ',false
3960,'VBN','close','closed',1,'ROOT','/ restaurant was when we went ',false
3961,'WRB','when','when',1,'advmod','restaurant was closed we went to ',false
3962,'PRP','we','we',1,'nsubj','was closed when went to have ',false
3963,'VBD','go','went',1,'advcl','closed when we to have a ',false
3964,'TO','to','to',1,'aux','when we went have a drink ',false
3965,'VB','have','have',1,'xcomp','we went to a drink one ',false
3966,'DT','a','a',1,'det','went to have drink one evening ',false
3967,'NN','drink','drink',1,'nn','to have a one evening and ',false
3968,'CD','#crd#','one',1,'num','have a drink evening and there ',false
3969,'NN','evening','evening',1,'dobj','a drink one and there are ',false
3970,'CC','and','and',1,'cc','drink one evening there are no ',false
3971,'EX','there','there',1,'expl','one evening and are no posted ',false
3972,'VBP','be','are',1,'conj','evening and there no posted hours ',false
3973,'DT','no','no',1,'det','and there are posted hours of ',false
3974,'VBN','post','posted',1,'amod','there are no hours of operation.u ',false
3975,'NNS','hour','hours',1,'nsubj','are no posted of operation.u ',false
3976,'IN','of','of',1,'prep','no posted hours operation.u ',false
3977,'NN','operation.u','operation.u',1,'pobj','posted hours of ',false
5832,'RB','acceptably','Acceptably',1,'ROOT','. ',false
5833,'.','.','.',0,'punct','Acceptably ',false
5834,'NNP','good','Good',1,'nn','Location , parking ',false
5835,'NNP','location','Location',1,'ROOT','Good , parking , ',false
5836,',',',',',',0,'punct','Good Location parking , grocery ',false
5837,'NN','parking','parking',1,'appos','Good Location , , grocery store ',false
5838,',',',',',',0,'punct','Location , parking grocery store in ',false
5839,'NN','grocery','grocery',1,'nn',', parking , store in the ',false
5840,'NN','store','store',1,'appos','parking , grocery in the building ',false
5841,'IN','in','in',1,'prep',', grocery store the building . ',false
5842,'DT','the','the',1,'det','grocery store in building . ',false
5843,'NN','building','building',1,'pobj','store in the . ',false
5844,'.','.','.',0,'punct','in the building ',false
5845,'JJ','old','Old',1,'amod','hotel and relevant ',false
5846,'NN','hotel','hotel',1,'ROOT','Old and relevant smell ',false
5847,'CC','and','and',1,'cc','Old hotel relevant smell , ',false
5848,'JJ','relevant','relevant',1,'amod','Old hotel and smell , no ',false
5849,'NN','smell','smell',1,'conj','hotel and relevant , no sockets ',false
5850,',',',',',',0,'punct','and relevant smell no sockets in ',false
5851,'DT','no','no',1,'det','relevant smell , sockets in the ',false
5852,'NNS','socket','sockets',1,'appos','smell , no in the room ',false
5853,'IN','in','in',1,'prep',', no sockets the room at ',false
5854,'DT','the','the',1,'det','no sockets in room at all ',false
5855,'NN','room','room',1,'pobj','sockets in the at all . ',false
5856,'RB','at','at',1,'advmod','in the room all . ',false
5857,'RB','all','all',1,'dep','the room at . ',false
5858,'.','.','.',0,'punct','room at all ',false
5859,'VBD','have','Had',1,'ROOT','to charge cellular ',false
5860,'TO','to','to',1,'aux','Had charge cellular in ',false
5861,'VB','charge','charge',1,'xcomp','Had to cellular in bathroom ',false
5862,'JJ','cellular','cellular',1,'dobj','Had to charge in bathroom . ',false
5863,'IN','in','in',1,'prep','to charge cellular bathroom . ',false
5864,'NN','bathroom','bathroom',1,'pobj','charge cellular in . ',false
5865,'.','.','.',0,'punct','cellular in bathroom ',false
5866,'NN','air','Air',1,'nn','condition was terrible ',false
5867,'NN','condition','condition',1,'nsubj','Air was terrible . ',false
5868,'VBD','be','was',1,'cop','Air condition terrible . ',false
5869,'JJ','terrible','terrible',1,'ROOT','Air condition was . ',false
5870,'.','.','.',0,'punct','condition was terrible ',false
5871,'VBD','have','Had',1,'ROOT','to ask staff ',false
5872,'TO','to','to',1,'aux','Had ask staff to ',false
5873,'VB','ask','ask',1,'xcomp','Had to staff to switch ',false
5874,'NN','staff','staff',1,'dobj','Had to ask to switch it ',false
5875,'TO','to','to',1,'aux','to ask staff switch it off ',false
5876,'VB','switch','switch',1,'xcomp','ask staff to it off in ',false
5877,'PRP','it','it',1,'dobj','staff to switch off in the ',false
5878,'RP','off','off',1,'prt','to switch it in the evening ',false
5879,'IN','in','in',1,'prep','switch it off the evening , ',false
5880,'DT','the','the',1,'det','it off in evening , but ',false
5881,'NN','evening','evening',1,'pobj','off in the , but at ',false
5882,',',',',',',0,'punct','in the evening but at night ',false
5883,'CC','but','but',1,'cc','the evening , at night it ',false
5884,'IN','at','at',1,'prep','evening , but night it started ',false
5885,'NN','night','night',1,'pobj',', but at it started blow ',false
5886,'PRP','it','it',1,'nsubj','but at night started blow cool ',false
5887,'VBD','start','started',1,'conj','at night it blow cool air ',false
5888,'NN','blow','blow',1,'nn','night it started cool air very ',false
5889,'JJ','cool','cool',1,'amod','it started blow air very noisy ',false
5890,'NN','air','air',1,'dobj','started blow cool very noisy . ',false
5891,'RB','very','very',1,'advmod','blow cool air noisy . ',false
5892,'RB','noisy','noisy',1,'advmod','cool air very . ',false
5893,'.','.','.',0,'punct','air very noisy ',false
5894,'PRP','it','It',1,'nsubj','was very cold ',false
5895,'VBD','be','was',1,'cop','It very cold and ',false
5896,'RB','very','very',1,'advmod','It was cold and uncomfortable ',false
5897,'JJ','cold','cold',1,'ROOT','It was very and uncomfortable . ',false
5898,'CC','and','and',1,'cc','was very cold uncomfortable . ',false
5899,'JJ','uncomfortable','uncomfortable',1,'conj','very cold and . ',false
5900,'.','.','.',0,'punct','cold and uncomfortable ',false
6872,'VB','stay','Stay',1,'nsubj','was okay . ',false
6873,'VBD','be','was',1,'cop','Stay okay . ',false
6874,'JJ','okay','okay',1,'ROOT','Stay was . ',false
6875,'.','.','.',0,'punct','Stay was okay ',false
6876,'PRP','i','I',1,'nsubj','will consider staying ',false
6877,'MD','will','will',1,'aux','I consider staying there ',false
6878,'VB','consider','consider',1,'ROOT','I will staying there again ',false
6879,'VBG','stay','staying',1,'xcomp','I will consider there again . ',false
6880,'RB','there','there',1,'advmod','will consider staying again . ',false
6881,'RB','again','again',1,'advmod','consider staying there . ',false
6882,'.','.','.',0,'punct','staying there again ',false
6883,'DT','the','The',1,'det','location was great ',false
6884,'NN','location','location',1,'nsubj','The was great , ',false
6885,'VBD','be','was',1,'cop','The location great , right ',false
6886,'JJ','great','great',1,'ccomp','The location was , right downtown ',false
6887,',',',',',',0,'punct','location was great right downtown Montreal ',false
6888,'JJ','right','right',1,'amod','was great , downtown Montreal . ',false
6889,'NN','downtown','downtown',1,'nn','great , right Montreal . ',false
6890,'NNP','montreal','Montreal',1,'ROOT',', right downtown . ',false
6891,'.','.','.',0,'punct','right downtown Montreal ',false
6892,'NNP','view','View',1,'nsubj','was amazing and ',false
6893,'VBD','be','was',1,'cop','View amazing and the ',false
6894,'JJ','amazing','amazing',1,'ROOT','View was and the bed ',false
6895,'CC','and','and',1,'cc','View was amazing the bed was ',false
6896,'DT','the','the',1,'det','was amazing and bed was comfortable ',false
6897,'NN','bed','bed',1,'nsubj','amazing and the was comfortable enough ',false
6898,'VBD','be','was',1,'cop','and the bed comfortable enough . ',false
6899,'JJ','comfortable','comfortable',1,'conj','the bed was enough . ',false
6900,'RB','enough','enough',1,'advmod','bed was comfortable . ',false
6901,'.','.','.',0,'punct','was comfortable enough ',false
6902,'DT','the','The',1,'det','hotel was outdated ',false
6903,'NN','hotel','hotel',1,'nsubj','The was outdated . ',false
6904,'VBD','be','was',1,'cop','The hotel outdated . ',false
6905,'JJ','outdated','outdated',1,'ROOT','The hotel was . ',false
6906,'.','.','.',0,'punct','hotel was outdated ',false
6907,'NNP','carpet','Carpet',1,'nsubj','was pretty old ',false
6908,'VBD','be','was',1,'cop','Carpet pretty old and ',false
6909,'RB','pretty','pretty',1,'advmod','Carpet was old and the ',false
6910,'JJ','old','old',1,'ROOT','Carpet was pretty and the vent ',false
6911,'CC','and','and',1,'cc','was pretty old the vent was ',false
6912,'DT','the','the',1,'det','pretty old and vent was VERY ',false
6913,'NN','vent','vent',1,'nsubj','old and the was VERY dusty ',false
6914,'VBD','be','was',1,'cop','and the vent VERY dusty . ',false
6915,'RB','very','VERY',1,'advmod','the vent was dusty . ',false
6916,'JJ','dusty','dusty',1,'conj','vent was VERY . ',false
6917,'.','.','.',0,'punct','was VERY dusty ',false
6918,'PRP','you','You',1,'nsubj','can actually see ',false
6919,'MD','can','can',1,'aux','You actually see the ',false
6920,'RB','actually','actually',1,'advmod','You can see the caked ',false
6921,'VB','see','see',1,'ROOT','You can actually the caked on ',false
6922,'DT','the','the',1,'det','can actually see caked on dust ',false
6923,'NN','caked','caked',1,'dobj','actually see the on dust . ',false
