@relation Preis-Leistungs-Verhltnis-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
1635,'DT','the','the',1,'det','priority , as hotel below ground ',false
1636,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
1637,'IN','below','below',1,'prep','as the hotel ground level is ',false
1638,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
1639,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
1640,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
1641,'VBN','connect','connected',1,'ROOT','ground level is to a small ',false
1642,'IN','to','to',1,'prep','level is connected a small inside ',false
1643,'DT','a','a',1,'det','is connected to small inside mall ',false
1644,'JJ','small','small',1,'amod','connected to a inside mall , ',false
1645,'JJ','inside','inside',1,'amod','to a small mall , which ',false
1646,'NN','mall','mall',1,'pobj','a small inside , which is ',false
1647,',',',',',',0,'punct','small inside mall which is a ',false
1648,'WDT','which','which',1,'nsubj','inside mall , is a huge ',false
1649,'VBZ','be','is',1,'cop','mall , which a huge bonus ',false
1650,'DT','a','a',1,'det',', which is huge bonus , ',false
1651,'JJ','huge','huge',1,'amod','which is a bonus , but ',false
1652,'NN','bonus','bonus',1,'rcmod','is a huge , but - ',false
1653,',',',',',',0,'punct','a huge bonus but - it ',false
1654,'CC','but','but',1,'cc','huge bonus , - it also ',false
1655,',','-','-',0,'punct','bonus , but it also seems ',false
1656,'PRP','it','it',1,'nsubj',', but - also seems to ',false
1657,'RB','also','also',1,'advmod','but - it seems to be ',false
1658,'VBZ','seem','seems',1,'conj','- it also to be a ',false
1659,'TO','to','to',1,'aux','it also seems be a converging ',false
1660,'VB','be','be',1,'cop','also seems to a converging space ',false
1661,'DT','a','a',1,'det','seems to be converging space for ',false
1662,'JJ','converging','converging',1,'amod','to be a space for the ',false
1663,'NN','space','space',1,'xcomp','be a converging for the homeless ',false
1664,'IN','for','for',1,'prep','a converging space the homeless , ',false
1665,'DT','the','the',1,'det','converging space for homeless , who ',false
1666,'JJ','homeless','homeless',1,'pobj','space for the , who have ',false
1667,',',',',',',0,'punct','for the homeless who have mental ',false
1668,'WP','who','who',1,'nsubj','the homeless , have mental health ',false
1669,'VBP','have','have',1,'rcmod','homeless , who mental health issues ',false
1670,'JJ','mental','mental',1,'amod',', who have health issues and ',false
1671,'NN','health','health',1,'nn','who have mental issues and addiction ',false
1672,'NNS','issue','issues',1,'dobj','have mental health and addiction issues ',false
1673,'CC','and','and',1,'cc','mental health issues addiction issues . ',false
1674,'NN','addiction','addiction',1,'nn','health issues and issues . ',false
1675,'NNS','issue','issues',1,'conj','issues and addiction . ',false
1676,'.','.','.',0,'punct','and addiction issues ',false
1677,'VBZ','make','Makes',1,'ROOT','them very in-predictable ',false
1678,'PRP','them','them',1,'nsubj','Makes very in-predictable and ',false
1679,'RB','very','very',1,'advmod','Makes them in-predictable and I ',false
1680,'JJ','in-predictable','in-predictable',1,'xcomp','Makes them very and I would ',false
1681,'CC','and','and',1,'cc','them very in-predictable I would not ',false
1682,'PRP','i','I',1,'nsubjpass','very in-predictable and would not have ',false
1683,'MD','would','would',1,'aux','in-predictable and I not have wanted ',false
1684,'RB','not','not',1,'neg','and I would have wanted to ',false
1685,'VB','have','have',1,'aux','I would not wanted to run ',false
1686,'VBN','want','wanted',1,'conj','would not have to run into ',false
1687,'TO','to','to',1,'aux','not have wanted run into one ',false
1688,'VB','run','run',1,'xcomp','have wanted to into one of ',false
1689,'IN','into','into',1,'prep','wanted to run one of them ',false
1690,'CD','#crd#','one',1,'pobj','to run into of them with ',false
1691,'IN','of','of',1,'prep','run into one them with small ',false
1692,'PRP','them','them',1,'pobj','into one of with small kids ',false
1693,'IN','with','with',1,'prep','one of them small kids in ',false
1694,'JJ','small','small',1,'amod','of them with kids in tow ',false
1695,'NNS','kid','kids',1,'pobj','them with small in tow . ',false
1696,'IN','in','in',1,'prep','with small kids tow . ',false
1697,'NN','tow','tow',1,'pobj','small kids in . ',false
1698,'.','.','.',0,'punct','kids in tow ',false
1699,'VBD','see','Saw',1,'ROOT','a few having ',false
1700,'DT','a','a',1,'det','Saw few having episodes ',false
1701,'JJ','few','few',1,'amod','Saw a having episodes the ',false
1702,'VBG','have','having',1,'amod','Saw a few episodes the next ',false
1703,'NNS','episode','episodes',1,'nsubj','a few having the next morning ',false
1704,'DT','the','the',1,'det','few having episodes next morning . ',false
1705,'JJ','next','next',1,'amod','having episodes the morning . ',false
1706,'NN','morning','morning',1,'ccomp','episodes the next . ',false
1707,'.','.','.',0,'punct','the next morning ',false
2082,'NN','fine','Fine',1,'ROOT','. ',false
2083,'.','.','.',0,'punct','Fine ',false
2084,'NNP','gym','Gym',1,'nsubj','had no equipment ',false
2085,'VBD','have','had',1,'ROOT','Gym no equipment Needs ',false
2086,'DT','no','no',1,'det','Gym had equipment Needs to ',false
2087,'NN','equipment','equipment',1,'nn','Gym had no Needs to be ',false
2088,'NNS','need','Needs',1,'nsubjpass','had no equipment to be upgraded ',false
2089,'TO','to','to',1,'aux','no equipment Needs be upgraded ',false
2090,'VB','be','be',1,'auxpass','equipment Needs to upgraded ',false
2091,'VBN','upgrade','upgraded',1,'ccomp','Needs to be ',false
2268,'VBN','enjoy','Enjoyed',1,'ROOT','our stay . ',false
2269,'PRP$','our','our',1,'poss','Enjoyed stay . ',false
2270,'NN','stay','stay',1,'dobj','Enjoyed our . ',false
2271,'.','.','.',0,'punct','Enjoyed our stay ',false
2272,'JJ','comfortable','Comfortable',1,'amod','and Foot rest ',false
2273,'CC','and','and',1,'cc','Comfortable Foot rest . ',false
2274,'JJ','foot','Foot',1,'conj','Comfortable and rest . ',false
2275,'NN','rest','rest',1,'ROOT','Comfortable and Foot . ',false
2276,'.','.','.',0,'punct','and Foot rest ',false
2277,'RB','next','Next',1,'dep','to elevators ',false
2278,'IN','to','to',1,'ROOT','Next elevators ',false
2279,'NNS','elevator','elevators',1,'pobj','Next to ',false
4722,'VBD','be','Was',1,'cop','more economical than ',false
4723,'RBR','more','more',1,'advmod','Was economical than other ',false
4724,'JJ','economical','economical',1,'ROOT','Was more than other properties ',false
4725,'IN','than','than',1,'prep','Was more economical other properties I ',false
4726,'JJ','other','other',1,'amod','more economical than properties I searched ',false
4727,'NNS','property','properties',1,'pobj','economical than other I searched in ',false
4728,'PRP','i','I',1,'nsubj','than other properties searched in the ',false
4729,'VBD','search','searched',1,'rcmod','other properties I in the area ',false
4730,'IN','in','in',1,'prep','properties I searched the area but ',false
4731,'DT','the','the',1,'det','I searched in area but there ',false
4732,'NN','area','area',1,'pobj','searched in the but there is ',false
4733,'CC','but','but',1,'cc','in the area there is room ',false
4734,'EX','there','there',1,'expl','the area but is room for ',false
4735,'VBZ','be','is',1,'conj','area but there room for improvement ',false
4736,'NN','room','room',1,'nsubj','but there is for improvement . ',false
4737,'IN','for','for',1,'prep','there is room improvement . ',false
4738,'NN','improvement','improvement',1,'pobj','is room for . ',false
4739,'.','.','.',0,'punct','room for improvement ',false
4740,'NNP','location','Location',1,'nsubj','was close to ',false
4741,'VBD','be','was',1,'cop','Location close to the ',false
4742,'JJ','close','close',1,'ROOT','Location was to the event ',false
4743,'IN','to','to',1,'prep','Location was close the event we ',false
4744,'DT','the','the',1,'det','was close to event we were ',false
4745,'NN','event','event',1,'pobj','close to the we were attending ',false
4746,'PRP','we','we',1,'nsubj','to the event were attending . ',false
4747,'VBD','be','were',1,'aux','the event we attending . ',false
4748,'VBG','attend','attending',1,'rcmod','event we were . ',false
4749,'.','.','.',0,'punct','we were attending ',false
4750,'EX','there','There',1,'expl','is a parking ',false
4751,'VBZ','be','is',1,'ROOT','There a parking structure ',false
4752,'DT','a','a',1,'det','There is parking structure attacked ',false
4753,'NN','parking','parking',1,'nn','There is a structure attacked to ',false
4754,'NN','structure','structure',1,'nsubj','is a parking attacked to the ',false
4755,'VBD','attack','attacked',1,'ccomp','a parking structure to the hotel ',false
4756,'IN','to','to',1,'prep','parking structure attacked the hotel so ',false
4757,'DT','the','the',1,'det','structure attacked to hotel so you ',false
4758,'NN','hotel','hotel',1,'pobj','attacked to the so you did ',false
4759,'IN','so','so',1,'mark','to the hotel you did not ',false
4760,'PRP','you','you',1,'nsubj','the hotel so did not need ',false
4761,'VBD','do','did',1,'aux','hotel so you not need to ',false
4762,'RB','not','not',1,'neg','so you did need to park ',false
4763,'VB','need','need',1,'advcl','you did not to park outside ',false
4764,'TO','to','to',1,'aux','did not need park outside . ',false
4765,'VB','park','park',1,'xcomp','not need to outside . ',false
4766,'RB','outside','outside',1,'advmod','need to park . ',false
4767,'.','.','.',0,'punct','to park outside ',false
4768,'PRP','you','You',1,'nsubj','can travel with ',false
4769,'MD','can','can',1,'aux','You travel with pets ',false
4770,'VB','travel','travel',1,'nsubjpass','You can with pets and ',false
4771,'IN','with','with',1,'prep','You can travel pets and our ',false
4772,'NNS','pet','pets',1,'pobj','can travel with and our request ',false
4773,'CC','and','and',1,'cc','travel with pets our request for ',false
4774,'PRP$','our','our',1,'poss','with pets and request for a ',false
4775,'NN','request','request',1,'conj','pets and our for a mini ',false
4776,'IN','for','for',1,'prep','and our request a mini fridge ',false
4777,'DT','a','a',1,'det','our request for mini fridge in ',false
4778,'JJ','mini','mini',1,'amod','request for a fridge in the ',false
4779,'NN','fridge','fridge',1,'pobj','for a mini in the room ',false
4780,'IN','in','in',1,'prep','a mini fridge the room for ',false
4781,'DT','the','the',1,'det','mini fridge in room for medication ',false
4782,'NN','room','room',1,'pobj','fridge in the for medication storage ',false
4783,'IN','for','for',1,'prep','in the room medication storage was ',false
4784,'NN','medication','medication',1,'nn','the room for storage was honoured ',false
4785,'NN','storage','storage',1,'pobj','room for medication was honoured at ',false
4786,'VBD','be','was',1,'auxpass','for medication storage honoured at no ',false
4787,'VBN','honour','honoured',1,'ROOT','medication storage was at no charge ',false
4788,'IN','at','at',1,'prep','storage was honoured no charge . ',false
4789,'DT','no','no',1,'det','was honoured at charge . ',false
4790,'NN','charge','charge',1,'pobj','honoured at no . ',false
4791,'.','.','.',0,'punct','at no charge ',false
4792,'DT','the','The',1,'det','bathroom was dated ',false
4793,'NN','bathroom','bathroom',1,'nsubjpass','The was dated , ',false
4794,'VBD','be','was',1,'auxpass','The bathroom dated , some ',false
4795,'VBN','date','dated',1,'nsubj','The bathroom was , some tiles ',false
4796,',',',',',',0,'punct','bathroom was dated some tiles were ',false
4797,'DT','some','some',1,'det','was dated , tiles were cracked ',false
4798,'NNS','tile','tiles',1,'nsubjpass','dated , some were cracked in ',false
4799,'VBD','be','were',1,'auxpass',', some tiles cracked in the ',false
4800,'VBN','crack','cracked',1,'parataxis','some tiles were in the shower ',false
4801,'IN','in','in',1,'prep','tiles were cracked the shower and ',false
4802,'DT','the','the',1,'det','were cracked in shower and much ',false
4803,'NN','shower','shower',1,'pobj','cracked in the and much of ',false
4804,'CC','and','and',1,'cc','in the shower much of the ',false
4805,'JJ','much','much',1,'conj','the shower and of the grout ',false
4806,'IN','of','of',1,'prep','shower and much the grout was ',false
4807,'DT','the','the',1,'det','and much of grout was black ',false
4808,'NN','grout','grout',1,'pobj','much of the was black . ',false
4809,'VBD','be','was',1,'cop','of the grout black . ',false
4810,'JJ','black','black',1,'ROOT','the grout was . ',false
4811,'.','.','.',0,'punct','grout was black ',false
4812,'DT','the','The',1,'det','carpet was stained ',false
4813,'NN','carpet','carpet',1,'nsubjpass','The was stained but ',false
4814,'VBD','be','was',1,'auxpass','The carpet stained but was ',false
4815,'VBN','stain','stained',1,'ROOT','The carpet was but was not ',false
4816,'CC','but','but',1,'cc','carpet was stained was not dirty ',false
4817,'VBD','be','was',1,'cop','was stained but not dirty ( ',false
4818,'RB','not','not',1,'neg','stained but was dirty ( my ',false
4819,'JJ','dirty','dirty',1,'conj','but was not ( my socks ',false
4820,'-LRB-','(','(',0,'punct','was not dirty my socks did ',false
4821,'PRP$','my','my',1,'poss','not dirty ( socks did not ',false
4822,'NNS','sock','socks',1,'nsubj','dirty ( my did not turn ',false
4823,'VBD','do','did',1,'aux','( my socks not turn get ',false
4824,'RB','not','not',1,'neg','my socks did turn get dirty ',false
4825,'VB','turn','turn',1,'parataxis','socks did not get dirty walking ',false
4826,'VB','get','get',1,'xcomp','did not turn dirty walking on ',false
4827,'JJ','dirty','dirty',1,'amod','not turn get walking on carpet ',false
4828,'NN','walking','walking',1,'dobj','turn get dirty on carpet ) ',false
4829,'IN','on','on',1,'prep','get dirty walking carpet ) . ',false
4830,'NN','carpet','carpet',1,'pobj','dirty walking on ) . ',false
4831,'-RRB-',')',')',0,'dep','walking on carpet . ',false
4832,'.','.','.',0,'punct','on carpet ) ',false
4833,'NN','parking','Parking',1,'nn','garage has low ',false
4834,'NN','garage','garage',1,'nsubj','Parking has low ceilings ',false
4835,'VBZ','have','has',1,'ROOT','Parking garage low ceilings ( ',false
4836,'JJ','low','low',1,'amod','Parking garage has ceilings ( 6 ',false
4837,'NNS','ceiling','ceilings',1,'dobj','garage has low ( 6 foot ',false
4838,'-LRB-','(','(',0,'dep','has low ceilings 6 foot max ',false
4839,'CD','0','6',0,'num','low ceilings ( foot max clearance ',false
4840,'NN','foot','foot',1,'nn','ceilings ( 6 max clearance ) ',false
4841,'NN','max','max',1,'nn','( 6 foot clearance ) so ',false
4842,'NN','clearance','clearance',1,'nsubj','6 foot max ) so larger ',false
4843,'-RRB-',')',')',0,'advmod','foot max clearance so larger vehicles ',false
4844,'RB','so','so',1,'advmod','max clearance ) larger vehicles will ',false
4845,'JJR','large','larger',1,'amod','clearance ) so vehicles will not ',false
4846,'NNS','vehicle','vehicles',1,'nsubj',') so larger will not fit ',false
4847,'MD','will','will',1,'aux','so larger vehicles not fit and ',false
4848,'RB','not','not',1,'neg','larger vehicles will fit and cost ',false
4849,'VB','fit','fit',1,'ccomp','vehicles will not and cost is ',false
4850,'CC','and','and',1,'cc','will not fit cost is $ ',false
4851,'VB','cost','cost',1,'conj','not fit and is $ 19 ',false
4852,'VBZ','be','is',1,'cop','fit and cost $ 19 / ',false
4853,'$','$','$',0,'rcmod','and cost is 19 / day ',false
4854,'CD','0','19',0,'number','cost is $ / day . ',false
4855,'CD','/','/',0,'number','is $ 19 day . ',false
4856,'NN','day','day',1,'tmod','$ 19 / . ',false
4857,'.','.','.',0,'punct','19 / day ',false
4858,'EX','there','There',1,'expl','was a $ ',false
4859,'VBD','be','was',1,'ROOT','There a $ 40 ',false
4860,'DT','a','a',1,'det','There was $ 40 charge ',false
4861,'$','$','$',0,'amod','There was a 40 charge for ',false
4862,'CD','0','40',0,'dep','was a $ charge for cleaning ',false
4863,'NN','charge','charge',1,'nsubj','a $ 40 for cleaning the ',false
4864,'IN','for','for',1,'prep','$ 40 charge cleaning the room ',false
4865,'VBG','clean','cleaning',1,'pcomp','40 charge for the room if ',false
4866,'DT','the','the',1,'det','charge for cleaning room if you ',false
4867,'NN','room','room',1,'dobj','for cleaning the if you travel ',false
4868,'IN','if','if',1,'mark','cleaning the room you travel with ',false
4869,'PRP','you','you',1,'nsubj','the room if travel with pets ',false
4870,'VBP','travel','travel',1,'advcl','room if you with pets that ',false
4871,'IN','with','with',1,'prep','if you travel pets that we ',false
4872,'NNS','pet','pets',1,'pobj','you travel with that we were ',false
4873,'IN','that','that',1,'complm','travel with pets we were not ',false
4874,'PRP','we','we',1,'nsubjpass','with pets that were not told ',false
4875,'VBD','be','were',1,'auxpass','pets that we not told about ',false
4876,'RB','not','not',1,'neg','that we were told about until ',false
4877,'VBN','tell','told',1,'ccomp','we were not about until after ',false
4878,'IN','about','about',1,'prep','were not told until after check ',false
4879,'IN','until','until',1,'dep','not told about after check - ',false
4880,'IN','after','after',1,'dep','told about until check - in ',false
4881,'NN','check','check',1,'nn','about until after - in . ',false
4882,'HYPH','-','-',0,'amod','until after check in . ',false
4883,'NN','in','in',1,'pobj','after check - . ',false
4884,'.','.','.',0,'punct','check - in ',false
4885,'DT','the','The',1,'det','bar / restaurant ',false
4886,'NN','bar','bar',1,'nsubj','The / restaurant was ',false
4887,'SYM','/','/',0,'dep','The bar restaurant was closed ',false
4888,'NN','restaurant','restaurant',1,'nsubjpass','The bar / was closed when ',false
4889,'VBD','be','was',1,'auxpass','bar / restaurant closed when we ',false
4890,'VBN','close','closed',1,'ROOT','/ restaurant was when we went ',false
4891,'WRB','when','when',1,'advmod','restaurant was closed we went to ',false
4892,'PRP','we','we',1,'nsubj','was closed when went to have ',false
4893,'VBD','go','went',1,'advcl','closed when we to have a ',false
4894,'TO','to','to',1,'aux','when we went have a drink ',false
4895,'VB','have','have',1,'xcomp','we went to a drink one ',false
4896,'DT','a','a',1,'det','went to have drink one evening ',false
4897,'NN','drink','drink',1,'nn','to have a one evening and ',false
4898,'CD','#crd#','one',1,'num','have a drink evening and there ',false
4899,'NN','evening','evening',1,'dobj','a drink one and there are ',false
4900,'CC','and','and',1,'cc','drink one evening there are no ',false
4901,'EX','there','there',1,'expl','one evening and are no posted ',false
4902,'VBP','be','are',1,'conj','evening and there no posted hours ',false
4903,'DT','no','no',1,'det','and there are posted hours of ',false
4904,'VBN','post','posted',1,'amod','there are no hours of operation.u ',false
4905,'NNS','hour','hours',1,'nsubj','are no posted of operation.u ',false
4906,'IN','of','of',1,'prep','no posted hours operation.u ',false
4907,'NN','operation.u','operation.u',1,'pobj','posted hours of ',false
6177,'RB','acceptably','Acceptably',1,'ROOT','. ',false
6178,'.','.','.',0,'punct','Acceptably ',false
6179,'NNP','good','Good',1,'nn','Location , parking ',false
6180,'NNP','location','Location',1,'ROOT','Good , parking , ',false
6181,',',',',',',0,'punct','Good Location parking , grocery ',false
6182,'NN','parking','parking',1,'appos','Good Location , , grocery store ',false
6183,',',',',',',0,'punct','Location , parking grocery store in ',false
6184,'NN','grocery','grocery',1,'nn',', parking , store in the ',false
6185,'NN','store','store',1,'appos','parking , grocery in the building ',false
6186,'IN','in','in',1,'prep',', grocery store the building . ',false
6187,'DT','the','the',1,'det','grocery store in building . ',false
6188,'NN','building','building',1,'pobj','store in the . ',false
6189,'.','.','.',0,'punct','in the building ',false
6190,'JJ','old','Old',1,'amod','hotel and relevant ',false
6191,'NN','hotel','hotel',1,'ROOT','Old and relevant smell ',false
6192,'CC','and','and',1,'cc','Old hotel relevant smell , ',false
6193,'JJ','relevant','relevant',1,'amod','Old hotel and smell , no ',false
6194,'NN','smell','smell',1,'conj','hotel and relevant , no sockets ',false
6195,',',',',',',0,'punct','and relevant smell no sockets in ',false
6196,'DT','no','no',1,'det','relevant smell , sockets in the ',false
6197,'NNS','socket','sockets',1,'appos','smell , no in the room ',false
6198,'IN','in','in',1,'prep',', no sockets the room at ',false
6199,'DT','the','the',1,'det','no sockets in room at all ',false
6200,'NN','room','room',1,'pobj','sockets in the at all . ',false
6201,'RB','at','at',1,'advmod','in the room all . ',false
6202,'RB','all','all',1,'dep','the room at . ',false
6203,'.','.','.',0,'punct','room at all ',false
6204,'VBD','have','Had',1,'ROOT','to charge cellular ',false
6205,'TO','to','to',1,'aux','Had charge cellular in ',false
6206,'VB','charge','charge',1,'xcomp','Had to cellular in bathroom ',false
6207,'JJ','cellular','cellular',1,'dobj','Had to charge in bathroom . ',false
6208,'IN','in','in',1,'prep','to charge cellular bathroom . ',false
6209,'NN','bathroom','bathroom',1,'pobj','charge cellular in . ',false
6210,'.','.','.',0,'punct','cellular in bathroom ',false
6211,'NN','air','Air',1,'nn','condition was terrible ',false
6212,'NN','condition','condition',1,'nsubj','Air was terrible . ',false
6213,'VBD','be','was',1,'cop','Air condition terrible . ',false
6214,'JJ','terrible','terrible',1,'ROOT','Air condition was . ',false
6215,'.','.','.',0,'punct','condition was terrible ',false
6216,'VBD','have','Had',1,'ROOT','to ask staff ',false
6217,'TO','to','to',1,'aux','Had ask staff to ',false
6218,'VB','ask','ask',1,'xcomp','Had to staff to switch ',false
6219,'NN','staff','staff',1,'dobj','Had to ask to switch it ',false
6220,'TO','to','to',1,'aux','to ask staff switch it off ',false
6221,'VB','switch','switch',1,'xcomp','ask staff to it off in ',false
6222,'PRP','it','it',1,'dobj','staff to switch off in the ',false
6223,'RP','off','off',1,'prt','to switch it in the evening ',false
6224,'IN','in','in',1,'prep','switch it off the evening , ',false
6225,'DT','the','the',1,'det','it off in evening , but ',false
6226,'NN','evening','evening',1,'pobj','off in the , but at ',false
6227,',',',',',',0,'punct','in the evening but at night ',false
6228,'CC','but','but',1,'cc','the evening , at night it ',false
6229,'IN','at','at',1,'prep','evening , but night it started ',false
6230,'NN','night','night',1,'pobj',', but at it started blow ',false
6231,'PRP','it','it',1,'nsubj','but at night started blow cool ',false
6232,'VBD','start','started',1,'conj','at night it blow cool air ',false
6233,'NN','blow','blow',1,'nn','night it started cool air very ',false
6234,'JJ','cool','cool',1,'amod','it started blow air very noisy ',false
6235,'NN','air','air',1,'dobj','started blow cool very noisy . ',false
6236,'RB','very','very',1,'advmod','blow cool air noisy . ',false
6237,'RB','noisy','noisy',1,'advmod','cool air very . ',false
6238,'.','.','.',0,'punct','air very noisy ',false
6239,'PRP','it','It',1,'nsubj','was very cold ',false
6240,'VBD','be','was',1,'cop','It very cold and ',false
6241,'RB','very','very',1,'advmod','It was cold and uncomfortable ',false
6242,'JJ','cold','cold',1,'ROOT','It was very and uncomfortable . ',false
6243,'CC','and','and',1,'cc','was very cold uncomfortable . ',false
6244,'JJ','uncomfortable','uncomfortable',1,'conj','very cold and . ',false
6245,'.','.','.',0,'punct','cold and uncomfortable ',false
7177,'VB','stay','Stay',1,'nsubj','was okay . ',false
7178,'VBD','be','was',1,'cop','Stay okay . ',false
7179,'JJ','okay','okay',1,'ROOT','Stay was . ',false
7180,'.','.','.',0,'punct','Stay was okay ',false
7181,'PRP','i','I',1,'nsubj','will consider staying ',false
7182,'MD','will','will',1,'aux','I consider staying there ',false
7183,'VB','consider','consider',1,'ROOT','I will staying there again ',false
7184,'VBG','stay','staying',1,'xcomp','I will consider there again . ',false
7185,'RB','there','there',1,'advmod','will consider staying again . ',false
7186,'RB','again','again',1,'advmod','consider staying there . ',false
7187,'.','.','.',0,'punct','staying there again ',false
7188,'DT','the','The',1,'det','location was great ',false
7189,'NN','location','location',1,'nsubj','The was great , ',false
7190,'VBD','be','was',1,'cop','The location great , right ',false
7191,'JJ','great','great',1,'ccomp','The location was , right downtown ',false
7192,',',',',',',0,'punct','location was great right downtown Montreal ',false
7193,'JJ','right','right',1,'amod','was great , downtown Montreal . ',false
7194,'NN','downtown','downtown',1,'nn','great , right Montreal . ',false
7195,'NNP','montreal','Montreal',1,'ROOT',', right downtown . ',false
7196,'.','.','.',0,'punct','right downtown Montreal ',false
7197,'NNP','view','View',1,'nsubj','was amazing and ',false
7198,'VBD','be','was',1,'cop','View amazing and the ',false
7199,'JJ','amazing','amazing',1,'ROOT','View was and the bed ',false
7200,'CC','and','and',1,'cc','View was amazing the bed was ',false
7201,'DT','the','the',1,'det','was amazing and bed was comfortable ',false
7202,'NN','bed','bed',1,'nsubj','amazing and the was comfortable enough ',false
7203,'VBD','be','was',1,'cop','and the bed comfortable enough . ',false
7204,'JJ','comfortable','comfortable',1,'conj','the bed was enough . ',false
7205,'RB','enough','enough',1,'advmod','bed was comfortable . ',false
7206,'.','.','.',0,'punct','was comfortable enough ',false
7207,'DT','the','The',1,'det','hotel was outdated ',false
7208,'NN','hotel','hotel',1,'nsubj','The was outdated . ',false
7209,'VBD','be','was',1,'cop','The hotel outdated . ',false
7210,'JJ','outdated','outdated',1,'ROOT','The hotel was . ',false
7211,'.','.','.',0,'punct','hotel was outdated ',false
7212,'NNP','carpet','Carpet',1,'nsubj','was pretty old ',false
7213,'VBD','be','was',1,'cop','Carpet pretty old and ',false
7214,'RB','pretty','pretty',1,'advmod','Carpet was old and the ',false
7215,'JJ','old','old',1,'ROOT','Carpet was pretty and the vent ',false
7216,'CC','and','and',1,'cc','was pretty old the vent was ',false
7217,'DT','the','the',1,'det','pretty old and vent was VERY ',false
7218,'NN','vent','vent',1,'nsubj','old and the was VERY dusty ',false
7219,'VBD','be','was',1,'cop','and the vent VERY dusty . ',false
7220,'RB','very','VERY',1,'advmod','the vent was dusty . ',false
7221,'JJ','dusty','dusty',1,'conj','vent was VERY . ',false
7222,'.','.','.',0,'punct','was VERY dusty ',false
7223,'PRP','you','You',1,'nsubj','can actually see ',false
7224,'MD','can','can',1,'aux','You actually see the ',false
7225,'RB','actually','actually',1,'advmod','You can see the caked ',false
7226,'VB','see','see',1,'ROOT','You can actually the caked on ',false
7227,'DT','the','the',1,'det','can actually see caked on dust ',false
