@relation restaurant#miscellaneous

@attribute id numeric
@attribute words string
@attribute lemmas string
@attribute pos string
@attribute bigrams string
@attribute feature_appearance_of_type1 numeric
@attribute feature_appearance_of_type2 numeric
@attribute feature_appearance_of_type3 numeric
@attribute feature_appearance_of_type4 numeric
@attribute feature_appearance_of_type5 numeric
@attribute feature_appearance_of_type6 numeric
@attribute feature_appearance_of_type7 numeric
@attribute feature_appearance_of_type8 numeric
@attribute feature_appearance_of_type9 numeric
@attribute feature_appearance_of_type10 numeric
@attribute feature_appearance_of_type11 numeric
@attribute feature_appearance_of_type12 numeric
@attribute aspecttype {true, false}

@data
530,'tend judge sushi restaurant sea urchin, was sushi rose. ','tend judge sushi restaurant sea be sushi ','VBP VB NNP NN NN  VBD NNP  ','tend_judge judge_sushi sushi_restaurant restaurant_sea sea_urchin, urchin,_was was_sushi sushi_rose. ',1,1,1,0,3,0,0,0,0,1,1,0,false
542,'melted little mouth perfect consistency-not fishy, creamy, buttery. ','melt little mouth perfect ','VBD JJ NN JJ     ','melted_little little_mouth mouth_perfect perfect_consistency-not consistency-not_fishy, fishy,_creamy, creamy,_buttery. ',2,1,1,1,5,1,1,1,1,2,2,1,false
554,'sushi seemed fresh was proportioned. ','sushi seem fresh be ','NNP VBD JJ VBD  ','sushi_seemed seemed_fresh fresh_was was_proportioned. ',2,1,1,1,6,1,1,1,1,1,2,1,false
566,'rice fish ration was good--they didnt try overpack rice. ','rice fish ration be try overpack ','NN VB NN VBD   VB VB  ','rice_fish fish_ration ration_was was_good--they good--they_didnt didnt_try try_overpack overpack_rice. ',3,2,1,2,7,2,1,1,2,2,4,1,false
578,'took advanatage half price sushi deal saturday was worth it. ','take advanatage half price sushi deal saturday be worth ','VBD NN NN NN JJ NN NN VBD JJ  ','took_advanatage advanatage_half half_price price_sushi sushi_deal deal_saturday saturday_was was_worth worth_it. ',3,3,1,3,7,1,1,1,1,1,3,1,false
590,'nothing be truth. ','nothing be ','NN VB  ','nothing_be be_truth. ',1,1,1,1,3,1,1,1,1,1,2,1,true
602,'evening, place attracted dressed, it, NY crowd. ','place attract ny ',' NN VBD   NNP  ','evening,_place place_attracted attracted_dressed, dressed,_it, it,_NY NY_crowd. ',3,2,3,1,5,1,1,1,1,3,4,1,true
614,'food was prepared service impecable. ','food be prepare service ','NN VBD VBN NN  ','food_was was_prepared prepared_service service_impecable. ',2,3,1,2,6,3,1,1,1,3,4,1,false
626,'Im going back. ','go ',' VBG  ','Im_going going_back. ',4,0,0,0,2,0,0,0,0,1,0,0,false
638,'Prix Fixe menu is worth penny get more enough (both quantity quality). ','prix fixe menu be worth penny get more enough quantity ','NNP NNP NN VBZ JJ NN VBP JJR JJ  NN  ','Prix_Fixe Fixe_menu menu_is is_worth worth_penny penny_get get_more more_enough enough_(both (both_quantity quantity_quality). ',3,2,1,2,6,2,1,1,1,1,3,1,false
650,'be going recommend it! ','be go recommend ','VB VBG VB  ','be_going going_recommend recommend_it! ',5,0,0,0,2,0,0,0,0,1,0,0,false
662,'$6 is much tasty food, fresh refilled. ','be much tasty fresh ',' VBZ JJ JJ  JJ  ','$6_is is_much much_tasty tasty_food, food,_fresh fresh_refilled. ',3,3,1,2,7,2,1,1,1,3,3,1,false
674,'am vegetarian but, dishes were great. ','be vegetarian dish be ','VBP NN  NNS VBD  ','am_vegetarian vegetarian_but, but,_dishes dishes_were were_great. ',4,2,2,2,8,2,2,2,2,2,4,2,false
686,'like somosas, chai, chole, dhosas dhal were dissapointing. ','like dhosas dhal be ','VBP    NNS NN VBD  ','like_somosas, somosas,_chai, chai,_chole, chole,_dhosas dhosas_dhal dhal_were were_dissapointing. ',2,1,2,1,3,1,1,1,1,2,2,1,false
698,'service varys day day- theyre nice, not. ','service vary day ','NN VBZ NN     ','service_varys varys_day day_day- day-_theyre theyre_nice, nice,_not. ',4,2,2,1,5,3,1,1,1,3,7,1,false
710,'kitchen however, is slow. ','kitchen be ','NN  VBZ  ','kitchen_however, however,_is is_slow. ',3,1,1,1,4,1,1,1,1,1,2,1,false
722,'Also, specify like food spicy- bland dont. ','specify like food bland ',' VB VBP NN  JJ  ','Also,_specify specify_like like_food food_spicy- spicy-_bland bland_dont. ',4,2,2,2,8,2,1,1,1,4,4,1,false
734,'ambience is pretty nice conversation, casual lunch be best. ','ambience be pretty nice casual lunch be ','NN VBZ JJ JJ  JJ NN VB  ','ambience_is is_pretty pretty_nice nice_conversation, conversation,_casual casual_lunch lunch_be be_best. ',4,1,1,1,5,2,1,1,1,4,4,1,true
746,'However, go ambience, consider food companion trip world! ','go consider food companion trip ',' VB  VB NN NN NN  ','However,_go go_ambience, ambience,_consider consider_food food_companion companion_trip trip_world! ',2,2,1,2,4,2,1,1,1,3,2,1,false
758,'looked shredded cheese done strips. ','look shred cheese do ','VBD VBN NN VBN  ','looked_shredded shredded_cheese cheese_done done_strips. ',2,0,1,0,3,0,0,0,0,1,2,0,false
770,'Yes, use fancy ingredients, fancy ingredients dont make good pizza someone knows get crust right. ','use fancy fancy ingredient make good pizza someone know get crust ',' VBP JJ  JJ NNS  VB JJ NN NN VBZ VB NN  ','Yes,_use use_fancy fancy_ingredients, ingredients,_fancy fancy_ingredients ingredients_dont dont_make make_good good_pizza pizza_someone someone_knows knows_get get_crust crust_right. ',6,2,1,2,11,2,1,1,2,4,8,1,false
782,'big disappointment, around. ','big ','JJ   ','big_disappointment, disappointment,_around. ',0,0,0,0,0,0,0,0,0,0,0,0,false
794,'think Ive had best meals life minnow. ','think have good meal life ','VBP  VBN JJS NNS NN  ','think_Ive Ive_had had_best best_meals meals_life life_minnow. ',2,1,1,1,3,1,1,1,1,1,2,1,false
806,'seafood is amazing, theres good wine list, ever-changing menu offers great surprises. ','seafood be good wine menu offer great ','NN VBZ   JJ NN   NN VBZ JJ  ','seafood_is is_amazing, amazing,_theres theres_good good_wine wine_list, list,_ever-changing ever-changing_menu menu_offers offers_great great_surprises. ',7,4,2,4,11,5,3,3,5,4,7,2,false
818,'combination super-fresh ingredients dishes are unusual delicious. ','combination super-fresh ingredient dish be unusual ','NN JJ NNS NNS VBP JJ  ','combination_super-fresh super-fresh_ingredients ingredients_dishes dishes_are are_unusual unusual_delicious. ',2,1,1,1,9,1,1,1,1,3,2,1,false
830,'Worth trip Manhattan. ','worth trip ','JJ NN  ','Worth_trip trip_Manhattan. ',2,2,1,2,2,1,1,1,1,1,1,1,false
842,'place is worth one-hour drive. ','place be worth ','NN VBZ JJ   ','place_is is_worth worth_one-hour one-hour_drive. ',4,2,2,1,4,0,0,0,0,2,3,0,false
854,'am coming again, can. ','be come ','VBP VBG   ','am_coming coming_again, again,_can. ',1,0,0,0,1,0,0,0,0,1,0,0,false
866,'Leon is East Village gem: casual hip, prepared basic French bistro fare, good specials, warm lively atmosphere. ','leon be east village casual prepare basic french bistro good warm lively ','NNP VBZ NNP NNP  JJ  VBN JJ JJ NN  JJ  JJ JJ  ','Leon_is is_East East_Village Village_gem: gem:_casual casual_hip, hip,_prepared prepared_basic basic_French French_bistro bistro_fare, fare,_good good_specials, specials,_warm warm_lively lively_atmosphere. ',1,1,1,1,5,1,0,0,1,2,2,0,false
878,'wife enjoy young, trained friendly, staff, have story. ','wife enjoy train have ','NN VBP  VBN   VBP  ','wife_enjoy enjoy_young, young,_trained trained_friendly, friendly,_staff, staff,_have have_story. ',5,1,1,1,8,1,1,1,1,2,5,1,false
890,'Have been dozens times failed enjoy experience. ','have be dozen time fail enjoy ','VBP VBN NNS NNS VBD VB  ','Have_been been_dozens dozens_times times_failed failed_enjoy enjoy_experience. ',7,1,2,1,4,1,1,1,1,1,3,1,false
902,'teenage kids love it, too. ','teenage kid love ','JJ NNS VBP   ','teenage_kids kids_love love_it, it,_too. ',2,0,0,0,0,0,0,0,0,0,0,0,false
914,'decide try place UES, get angry didnt go Zucchero Pomodori. ','decide try place get angry go zucchero ','VBP VB NN  VBP JJ  VB NNP  ','decide_try try_place place_UES, UES,_get get_angry angry_didnt didnt_go go_Zucchero Zucchero_Pomodori. ',5,2,3,1,6,1,1,1,1,2,5,1,false
926,'is favorite place neighborhood. ','be favorite place ','VBZ JJ NN  ','is_favorite favorite_place place_neighborhood. ',4,2,3,1,3,1,1,1,1,3,3,1,false
938,'service is excellent, decor is great, food is delicious comes large portions. ','service be decor be food be delicious come large ','NN VBZ  NN VBZ  NN VBZ JJ VBZ JJ  ','service_is is_excellent, excellent,_decor decor_is is_great, great,_food food_is is_delicious delicious_comes comes_large large_portions. ',5,4,2,3,9,6,2,2,2,6,8,2,false
950,'have been place many times, have great food, wine, service. ','have be place many have great ','VBP VBN NN JJ  VBP JJ    ','have_been been_place place_many many_times, times,_have have_great great_food, food,_wine, wine,_service. ',10,5,4,2,12,3,2,2,2,6,13,1,false
962,'were worried have trouble getting in, managed have short wait. ','be worry have trouble get manage have short ','VBD VBN VB NN VBG  VBD VB JJ  ','were_worried worried_have have_trouble trouble_getting getting_in, in,_managed managed_have have_short short_wait. ',4,0,0,0,4,0,0,0,0,1,3,0,false
974,'had great glass wine waited. ','have great glass wine ','VBD JJ NN NN  ','had_great great_glass glass_wine wine_waited. ',5,1,1,1,4,1,2,2,2,1,5,1,false
986,'sat, got great fast service. ','get great fast ',' VBD JJ JJ  ','sat,_got got_great great_fast fast_service. ',2,2,1,1,5,2,1,1,1,2,7,1,false
998,'people work are friendly forget are New York sometimes. ','people work be friendly forget be new york ','NNS VBP VBP JJ VBP VBP NNP NNP  ','people_work work_are are_friendly friendly_forget forget_are are_New New_York York_sometimes. ',6,1,2,1,6,1,1,1,1,1,7,1,false
1010,'Make sure try place can. ','make sure try place ','VB JJ VBP NN  ','Make_sure sure_try try_place place_can. ',4,1,2,0,5,0,0,0,0,3,3,0,false
1022,'is fun restaurant go to. ','be fun restaurant go ','VBZ NN NN VB  ','is_fun fun_restaurant restaurant_go go_to. ',3,1,2,0,2,0,0,0,0,2,2,0,false
1034,'pizza is yummy like atmoshpere. ','pizza be yummy like ','NN VBZ JJ VBP  ','pizza_is is_yummy yummy_like like_atmoshpere. ',2,1,2,1,3,1,1,1,1,2,2,1,false
1046,'pizza is way expensive. ','pizza be way ','NN VBZ NN  ','pizza_is is_way way_expensive. ',2,1,1,1,4,1,1,1,1,1,1,1,false
1058,'large is $20, toppings are $3 each. ','large be topping be ','JJ VBZ  NNS VBP   ','large_is is_$20, $20,_toppings toppings_are are_$3 $3_each. ',0,0,0,0,1,1,0,0,0,0,1,0,false
1070,'went lunch was good expected reviews read. ','go lunch be good expect review ','VBD NN VBD JJ VBD NNS  ','went_lunch lunch_was was_good good_expected expected_reviews reviews_read. ',2,2,1,2,2,2,1,1,2,2,2,2,false
1082,'Sauce was watery food didnt have much flavor. ','sauce be watery food have much ','NNP VBD JJ NN  VB JJ  ','Sauce_was was_watery watery_food food_didnt didnt_have have_much much_flavor. ',2,2,1,2,5,2,1,1,1,2,3,1,false
1094,'Service was prompt, friendly great. ','service be friendly ','NN VBD  JJ  ','Service_was was_prompt, prompt,_friendly friendly_great. ',2,2,1,1,4,2,1,1,1,2,5,1,false
1106,'pricey side worth it! ','pricey side worth ','JJ NN JJ  ','pricey_side side_worth worth_it! ',3,3,1,3,4,1,1,1,1,1,2,1,false
1118,'Great pizza fantastic service. ','great pizza fantastic ','JJ NN JJ  ','Great_pizza pizza_fantastic fantastic_service. ',2,2,1,1,6,2,1,1,1,2,5,1,false
1130,'was small wait, shorter expected. ','be small short ','VBD JJ  JJR  ','was_small small_wait, wait,_shorter shorter_expected. ',2,1,1,1,3,2,1,1,1,2,2,1,false
1142,'Located end magnificent block. ','locate end magnificent ','VBN NN JJ  ','Located_end end_magnificent magnificent_block. ',1,1,1,1,1,1,1,1,1,1,1,1,false
1154,'cozy warm inside. ','cozy warm ','JJ JJ  ','cozy_warm warm_inside. ',0,0,0,0,0,0,0,0,0,0,0,0,false
1166,'be back! ','be ','VB  ','be_back! ',2,0,0,0,0,0,0,0,0,1,0,0,false
1178,'is best sushi new york city hands down. ','be good sushi new york city hand ','VBZ JJS NNS JJ NN NN NNS  ','is_best best_sushi sushi_new new_york york_city city_hands hands_down. ',3,1,2,1,6,1,1,1,1,2,3,1,false
1190,'place is small cramped food is fantastic. ','place be small cramped food be ','NN VBZ JJ JJ NN VBZ  ','place_is is_small small_cramped cramped_food food_is is_fantastic. ',3,3,2,2,7,3,1,1,1,4,3,1,false
1202,'Get tuna gari. ','get tuna ','VB NN  ','Get_tuna tuna_gari. ',2,1,1,1,3,1,1,1,1,1,2,1,false
1214,'Its food ','food ',' NN ','Its_food ',3,2,1,2,5,2,1,1,1,4,3,1,false
1226,'looked menu, werent lot choices, most were dumplings appetizer section. ','look lot most be dumpling appetizer ','VBD   NN  JJS VBD NNS NN  ','looked_menu, menu,_werent werent_lot lot_choices, choices,_most most_were were_dumplings dumplings_appetizer appetizer_section. ',1,1,1,1,4,2,1,1,1,1,2,1,false
1238,'Steak Tartare is great bet, fix table. ','steak tartare be great fix ','NNP NNP VBZ JJ  VBP  ','Steak_Tartare Tartare_is is_great great_bet, bet,_fix fix_table. ',3,2,2,2,4,2,2,2,2,2,6,2,false
1250,'nights restaurant were warm, open kitchen is part charm. ','night restaurant be open kitchen be part ','NNS NN VBD  JJ NN VBZ NN  ','nights_restaurant restaurant_were were_warm, warm,_open open_kitchen kitchen_is is_part part_charm. ',2,2,2,1,3,1,1,1,1,2,2,1,false
1262,'Great wine selection, Gigondas is worth price, house champagne is great value. ','great wine gigondas be worth house champagne be great ','JJ NN  NNP VBZ JJ  NN NN VBZ JJ  ','Great_wine wine_selection, selection,_Gigondas Gigondas_is is_worth worth_price, price,_house house_champagne champagne_is is_great great_value. ',4,4,2,4,5,2,3,3,3,2,5,2,false
1274,'be bit packed weekends, vibe is good is best French food find area. ','be bit packed vibe be good be good french food find ','VB NN JJ  NN VBZ JJ VBZ JJS JJ NN VB  ','be_bit bit_packed packed_weekends, weekends,_vibe vibe_is is_good good_is is_best best_French French_food food_find find_area. ',6,3,1,3,7,3,1,1,2,4,4,1,false
1286,'Have recommended place friends, gets good response. ','have recommend place get good ','VBP VBN NN  VBZ JJ  ','Have_recommended recommended_place place_friends, friends,_gets gets_good good_response. ',8,3,2,2,7,2,1,1,2,3,5,1,true
1298,'Pizza only pizza NYC have additional toppings crust tastes best, baked bread! ','pizza only pizza nyc have additional topping crust taste baked ','NNP JJ NN NNP VB JJ NNS NN NNS  JJ  ','Pizza_only only_pizza pizza_NYC NYC_have have_additional additional_toppings toppings_crust crust_tastes tastes_best, best,_baked baked_bread! ',3,1,2,1,8,1,1,1,1,2,4,1,false
1310,'take NYC guests VTs. ','take nyc guest ','VBP NNP NNS  ','take_NYC NYC_guests guests_VTs. ',0,0,0,0,0,0,0,0,0,0,0,0,true
1322,'sure previous reviewer, lonk, dined, Saul is great neighborhood has great food! ','sure previous saul be great neighborhood have great ','JJ JJ    NNP VBZ JJ NN VBZ JJ  ','sure_previous previous_reviewer, reviewer,_lonk, lonk,_dined, dined,_Saul Saul_is is_great great_neighborhood neighborhood_has has_great great_food! ',4,3,2,3,7,3,2,2,2,3,4,3,false
1334,'Ive been times have had wonderful experiences. ','be time have have wonderful ',' VBN NNS VBP VBN JJ  ','Ive_been been_times times_have have_had had_wonderful wonderful_experiences. ',6,1,2,1,5,1,1,1,1,1,3,1,false
1346,'Id recommend special occasion provides intimate setting nice service. ','recommend special occasion provide intimate setting nice ',' VB JJ NN VBZ JJ NN JJ  ','Id_recommend recommend_special special_occasion occasion_provides provides_intimate intimate_setting setting_nice nice_service. ',4,1,1,0,5,2,0,0,0,2,4,0,true
1358,'Im sure other reviewers ate seems visited different restaurants friends enjoy Mizu much. were repeat customers. ','sure other reviewer eat seem visit different restaurant friend enjoy mizu ',' JJ JJ NNS VBD VBZ VBD JJ NNS NNS VBP NNP     ','Im_sure sure_other other_reviewers reviewers_ate ate_seems seems_visited visited_different different_restaurants restaurants_friends friends_enjoy enjoy_Mizu Mizu_much. much._were were_repeat repeat_customers. ',7,2,2,1,7,1,1,1,1,2,3,2,false
1370,'Im not sure where the other reviewers ate but it seems as if visited two different restaurants because my friends I all enjoy Mizu very much. were repeat customers. ','repeat ','                           JJ  ','Im_not not_sure sure_where where_the the_other other_reviewers reviewers_ate ate_but but_it it_seems seems_as as_if if_visited visited_two two_different different_restaurants restaurants_because because_my my_friends friends_I I_all all_enjoy enjoy_Mizu Mizu_very very_much. much._were were_repeat repeat_customers. ',0,0,0,0,0,0,0,0,0,0,0,0,false
1382,'overcharged last time was there. ','overcharge last time be ','VBD JJ NN VBD  ','overcharged_last last_time time_was was_there. ',2,1,2,1,5,1,1,1,1,1,4,1,false
1394,'Make sure have Spicy Scallop roll. ','make sure have spicy scallop ','VB JJ VBP NNP NNP  ','Make_sure sure_have have_Spicy Spicy_Scallop Scallop_roll. ',2,1,1,1,5,1,1,1,1,2,2,1,false
1406,'Judging from previous posts this used to be a good place, but not any longer. ','','               ','Judging_from from_previous previous_posts posts_this this_used used_to to_be be_a a_good good_place, place,_but but_not not_any any_longer. ',0,0,0,0,0,0,0,0,0,0,0,0,false
1418,'its delicious! ','','  ','its_delicious! ',1,0,0,0,3,0,0,0,0,3,1,0,false
