@relation Lage

@attribute id numeric
@attribute words string
@attribute lemmas string
@attribute pos string
@attribute bigrams string
@attribute tagwordset1 string
@attribute tagwordset2 string
@attribute tagwordset3 string
@attribute tagwordset4 string
@attribute tagwordset5 string
@attribute tagwordset6 string
@attribute tagwordset7 string
@attribute tagwordset8 string
@attribute aspecttype {true, false}

@data
127,'carpet was stained was dirty socks did turn get dirty walking carpet ','carpet be stain be dirty sock do turn get dirty walking carpet ','NN VBD VBN VBD JJ NNS VBD VB VB JJ NN NN ','_carpet_was _was_stained _stained_but _was_not _dirty_( _socks_did _did_not _turn_get _get_dirty _dirty_walking _walking_on _carpet_) ',0,0,0,0,0,0,0,0,false
128,'parking garage has low ceilings foot max clearance larger vehicles fit cost is day ','parking garage have low ceiling foot max clearance large vehicle fit cost be day ','NN NN VBZ JJ NNS NN NN NN JJR NNS VB VB VBZ NN ','_parking_garage _garage_has _has_low _low_ceilings _ceilings_( _foot_max _max_clearance _clearance_) _larger_vehicles _vehicles_will _fit_and _cost_is _is_$ _day_. ',0,0,0,0,0,0,0,0,false
129,'was charge cleaning room travel pets were told check in ','be charge clean room travel pet be tell check in ','VBD NN VBG NN VBP NNS VBD VBN NN NN ','_was_a _charge_for _cleaning_the _room_if _travel_with _pets_that _were_not _told_about _check_- _in_. ',0,0,0,0,0,0,0,0,false
130,'bar restaurant was closed went have drink evening are posted hours operation.u ','bar restaurant be close go have drink evening be post hour operation.u ','NN NN VBD VBN VBD VB NN NN VBP VBN NNS NN ','_bar_/ _restaurant_was _was_closed _closed_when _went_to _have_a _drink_one _evening_and _are_no _posted_hours _hours_of ',0,0,0,0,0,0,0,0,false
190,'','','','',0,0,0,0,0,0,0,0,false
191,'good location parking grocery store building ','good location parking grocery store building ','NNP NNP NN NN NN NN ','_good_location _location_, _parking_, _grocery_store _store_in _building_. ',0,0,0,0,0,0,0,0,true
192,'old hotel relevant smell sockets room ','old hotel relevant smell socket room ','JJ NN JJ NN NNS NN ','_old_hotel _hotel_and _relevant_smell _smell_, _sockets_in _room_at ',0,0,0,0,0,0,0,0,false
193,'had charge cellular bathroom ','have charge cellular bathroom ','VBD VB JJ NN ','_had_to _charge_cellular _cellular_in _bathroom_. ',0,0,0,0,0,0,0,0,false
194,'air condition was terrible ','air condition be terrible ','NN NN VBD JJ ','_air_condition _condition_was _was_terrible _terrible_. ',0,0,0,0,0,0,0,0,false
195,'had ask staff switch evening night started blow cool air ','have ask staff switch evening night start blow cool air ','VBD VB NN VB NN NN VBD NN JJ NN ','_had_to _ask_staff _staff_to _switch_it _evening_, _night_it _started_blow _blow_cool _cool_air _air_very ',0,0,0,0,0,0,0,0,false
196,'was cold uncomfortable ','be cold uncomfortable ','VBD JJ JJ ','_was_very _cold_and _uncomfortable_. ',0,0,0,0,0,0,0,0,false
248,'stay was okay ','stay be okay ','VB VBD JJ ','_stay_was _was_okay _okay_. ',0,0,0,0,0,0,0,0,false
249,'consider staying ','consider stay ','VB VBG ','_consider_staying _staying_there ',0,0,0,0,0,0,0,0,false
250,'location was great right downtown montreal ','location be great right downtown montreal ','NN VBD JJ JJ NN NNP ','_location_was _was_great _great_, _right_downtown _downtown_montreal _montreal_. ',0,0,0,0,0,0,0,0,true
251,'view was amazing bed was comfortable ','view be amazing bed be comfortable ','NNP VBD JJ NN VBD JJ ','_view_was _was_amazing _amazing_and _bed_was _was_comfortable _comfortable_enough ',0,0,0,0,0,0,0,0,true
252,'hotel was outdated ','hotel be outdated ','NN VBD JJ ','_hotel_was _was_outdated _outdated_. ',0,0,0,0,0,0,0,0,false
253,'carpet was old vent was dusty ','carpet be old vent be dusty ','NNP VBD JJ NN VBD JJ ','_carpet_was _was_pretty _old_and _vent_was _was_very _dusty_. ',0,0,0,0,0,0,0,0,false
254,'see caked dust ','see caked dust ','VB NN NN ','_see_the _caked_on _dust_. ',0,0,0,0,0,0,0,0,false
255,'does need updating ','do need update ','VBZ VB VBG ','_does_need _need_updating _updating_aesthetically ',0,0,0,0,0,0,0,0,false
308,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
309,'housekeeper was sweet did great job ','housekeeper be sweet do great job ','NN VBD JJ VBD JJ NN ','_housekeeper_was _was_very _sweet_and _did_a _great_job _job_. ',0,0,0,0,0,0,0,0,false
310,'were little things broken lights mildew drippy faucet ','be little thing break light mildew drippy faucet ','VBD JJ NNS VBN NNS JJ JJ NN ','_were_some _little_things _things_like _broken_lights _lights_, _mildew_and _drippy_faucet _faucet_. ',0,0,0,0,0,0,0,0,false
311,'hotel needs bit tlc ','hotel need bit tlc ','NN VBZ NN NNP ','_hotel_needs _needs_a _bit_of _tlc_. ',0,0,0,0,0,0,0,0,false
312,'nice experience ','nice experience ','JJ NN ','_nice_experience _experience_. ',0,0,0,0,0,0,0,0,false
313,'housekeeping staff were friendly did great job ','housekeeping staff be friendly do great job ','NN NN VBD JJ VBD JJ NN ','_housekeeping_staff _staff_were _were_very _friendly_and _did_a _great_job ',0,0,0,0,0,0,0,0,false
348,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
349,'beds are real ','bed be real ','NNS VBP JJ ','_beds_are _are_not _real_. ',0,0,0,0,0,0,0,0,false
374,'meh ','meh ','NNP ','_meh_. ',0,0,0,0,0,0,0,0,false
375,'s good location s clean ','s good location s clean ','VBZ JJ NN VBZ JJ ','_s_in _good_location _location_and _s_clean _clean_. ',0,0,0,0,0,0,0,0,false
376,'s dated ','s date ','VBZ VBN ','_s_very _dated_. ',0,0,0,0,0,0,0,0,false
377,'tv did work ','tv do work ','NN VBD VB ','_tv_did _did_nt _work_. ',0,0,0,0,0,0,0,0,false
378,'staff reception are warm ','staff reception be warm ','NN NN VBP JJ ','_staff_at _reception_are _are_nt _warm_. ',0,0,0,0,0,0,0,0,false
379,'stay have ','stay have ','VBP VBP ','_stay_here _have_to ',0,0,0,0,0,0,0,0,false
380,'were stranded storm booked last minute ','be strand storm book last minute ','VBD VBN NN VBD JJ NN ','_were_stranded _stranded_with _storm_so _booked_it _last_minute _minute_. ',0,0,0,0,0,0,0,0,false
422,'rude staff ','rude staff ','NNP NN ','_rude_staff _staff_. ',0,0,0,0,0,0,0,0,false
423,'staff gave unpleasant vibe started bat ','staff give unpleasant vibe start bat ','NN VBD JJ NN VBD NN ','_staff_gave _gave_an _unpleasant_vibe _vibe_that _started_right _bat_. ',0,0,0,0,0,0,0,0,false
424,'female receptionist had attitude did explain room deposit did return was ask clarify something had said seemed upset ','female receptionist have attitude do explain room deposit do return be ask clarify something have say seem upset ','JJ NN VBD NN VBD VB NN NN VBD NN VBD VB VB NN VBD VBN VBD VB ','_female_receptionist _receptionist_had _had_an _attitude_with _did_nt _explain_the _room_deposit _deposit_correctly _did_in _return_was _was_ask _ask_her _clarify_something _something_s _had_already _said_, _seemed_to _upset_her ',0,0,0,0,0,0,0,0,false
450,'good location adequate stay stay price was right ','good location adequate stay stay price be right ','JJ NN JJ NN VB NN VBD JJ ','_good_location _location_, _adequate_for _stay_, _stay_there _price_was _was_right _right_. ',0,0,0,0,0,0,0,0,true
451,'quiet comfortable clean great location ','quiet comfortable clean great location ','JJ JJ JJ NNP NNP ','_quiet_, _comfortable_, _clean_, _great_location _location_. ',0,0,0,0,0,0,0,0,true
452,'bar fridge room was useful ','bar fridge room be useful ','NNP NN NN VBD JJ ','_bar_fridge _fridge_in _room_was _was_very _useful_. ',0,0,0,0,0,0,0,0,false
453,'rooms furniture need updating ','room furniture need update ','NNS NN VBP VBG ','_rooms_and _furniture_need _need_updating _updating_. ',0,0,0,0,0,0,0,0,false
454,'pool area needs makeover ','pool area need makeover ','JJ NN VBZ NN ','_pool_area _area_also _needs_a _makeover_. ',0,0,0,0,0,0,0,0,false
490,'good location adequate stay stay price was right ','good location adequate stay stay price be right ','JJ NN JJ NN VB NN VBD JJ ','_good_location _location_, _adequate_for _stay_, _stay_there _price_was _was_right _right_. ',0,0,0,0,0,0,0,0,true
491,'quiet comfortable clean great location ','quiet comfortable clean great location ','JJ JJ JJ NNP NNP ','_quiet_, _comfortable_, _clean_, _great_location _location_. ',0,0,0,0,0,0,0,0,true
492,'bar fridge room was useful ','bar fridge room be useful ','NNP NN NN VBD JJ ','_bar_fridge _fridge_in _room_was _was_very _useful_. ',0,0,0,0,0,0,0,0,false
493,'rooms furniture need updating ','room furniture need update ','NNS NN VBP VBG ','_rooms_and _furniture_need _need_updating _updating_. ',0,0,0,0,0,0,0,0,false
494,'pool area needs makeover ','pool area need makeover ','JJ NN VBZ NN ','_pool_area _area_also _needs_a _makeover_. ',0,0,0,0,0,0,0,0,false
526,'thangs service ','thang service ','NNS NN ','_thangs_for _service_! ',0,0,0,0,0,0,0,0,false
527,'moon light ','moon light ','NN NN ','_moon_light _light_!!!! ',0,0,0,0,0,0,0,0,false
528,'update little bit colors furniture ','update little bit color furniture ','VB JJ NN NNS NN ','_update_a _little_bit _bit_more _colors_and _furniture_!!! ',0,0,0,0,0,0,0,0,false
552,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
553,'location ','location ','NN ','_location_. ',0,0,0,0,0,0,0,0,false
554,'bathrooms are showing age ','bathroom be show age ','NNS VBP VBG NN ','_bathrooms_are _are_showing _showing_their _age_. ',0,0,0,0,0,0,0,0,false
555,'time renovate ','time renovate ','NN VB ','_time_to _renovate_! ',0,0,0,0,0,0,0,0,false
592,'wish have waited lower rates site was offering night ','wish have wait low rate site be offer night ','VBP VB VBN JJR NNS NN VBD VBG NN ','_wish_i _have_waited _waited_for _lower_rates _rates_the _site_was _was_offering _offering_$ _night_. ',0,0,0,0,0,0,0,0,false
593,'stayed ni ','stay ni ','VBD NNS ','_stayed_for _ni_. ',0,0,0,0,0,0,0,0,false
594,'nice big room upgraded arrival ','nice big room upgrade arrival ','NNP JJ NN VBN NN ','_nice_big _big_room _room_upgraded _upgraded_on _arrival_. ',0,0,0,0,0,0,0,0,false
595,'smell lobby walk smells stale nursing home ','smell lobby walk smell stale nursing home ','NN NN VBP VBZ JJ NN NN ','_smell_in _lobby_when _walk_in _smells_stale _stale_like _nursing_home _home_. ',0,0,0,0,0,0,0,0,false
596,'much antiseptic smell trying cover stale smell ','much antiseptic smell try cover stale smell ','JJ JJ NN VBG VB JJ NN ','_much_antiseptic _antiseptic_smell _smell_trying _trying_to _cover_up _stale_smell _smell_. ',0,0,0,0,0,0,0,0,false
597,'beautiful older building appreciate ','beautiful old building appreciate ','JJ JJR NN VB ','_beautiful_older _older_building _building_i _appreciate_. ',0,0,0,0,0,0,0,0,false
598,'had turn water midnight am ','have turn water midnight am ','VBD VB NN NN NN ','_had_to _turn_off _water_from _midnight_to _am_. ',0,0,0,0,0,0,0,0,false
599,'big affect comfort ','big affect comfort ','JJ NN NN ','_big_affect _affect_as ',0,0,0,0,0,0,0,0,false
646,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
647,'location is good?cprice is fair ','location be good?cprice be fair ','NN VBZ NNP VBZ JJ ','_location_is _is_good?cprice _good?cprice_is _is_fair _fair_. ',0,0,0,0,0,0,0,0,false
648,'old hotel room curtain fell ','old hotel room curtain fall ','JJ NN NN NN VBD ','_old_hotel _hotel_, _room_the _curtain_fell _fell_off ',0,0,0,0,0,0,0,0,false
678,'stay was ok bit b&b old style hotel ambience bar diner ','stay be ok bit b&b old style hotel ambience bar diner ','NN VBD JJ NN NNP JJ NN NN NN NN NN ','_stay_was _was_ok _ok_but _bit_like _b&b_with _old_style _style_hotel _hotel_ambience _ambience_without _bar_and _diner_. ',0,0,0,0,0,0,0,0,false
679,'breakfast was good location excellent view room was good ','breakfast be good location excellent view room be good ','NNP VBD JJ NN JJ NN NN VBD JJ ','_breakfast_was _was_good _good_, _location_excellent _excellent_, _view_from _room_was _was_good _good_. ',0,0,0,0,0,0,0,0,true
680,'room cleaning service was good ','room clean service be good ','NNP VBG NN VBD JJ ','_room_cleaning _cleaning_service _service_was _was_good _good_. ',0,0,0,0,0,0,0,0,false
681,'safe place quiet ','safe place quiet ','JJ NN JJ ','_safe_place _place_and _quiet_. ',0,0,0,0,0,0,0,0,true
682,'usb pports power points electronic devices most furniture was old bed squeaked ','usb pports power point electronic device most furniture be old bed squeak ','NN NNS NN NNS JJ NNS JJS NN VBD JJ NN VBD ','_usb_pports _pports_and _power_points _points_for _electronic_devices _devices_; _most_furniture _furniture_was _was_old _old_and _bed_squeaked _squeaked_. ',0,0,0,0,0,0,0,0,false
683,'last evening get room were checked ','last evening get room be check ','JJ NN VB NN VBD VBN ','_last_evening _evening_we _get_into _room_as _were_apparently _checked_out ',0,0,0,0,0,0,0,0,false
684,'room service bar lunch time star standard ','room service bar lunch time star standard ','NN NN NN NN NN NN NN ','_room_service _service_, _bar_except _lunch_time _time_not _star_standard ',0,0,0,0,0,0,0,0,false
730,'excellent customer service ','excellent customer service ','JJ NN NN ','_excellent_customer _customer_service _service_. ',0,0,0,0,0,0,0,0,false
731,'staff were accommodating helpful ','staff be accommodating helpful ','NN VBD JJ JJ ','_staff_were _were_very _accommodating_and _helpful_. ',0,0,0,0,0,0,0,0,false
732,'bathroom shower had mold walls ','bathroom shower have mold wall ','NN NN VBD NN NNS ','_bathroom_shower _shower_had _had_mold _mold_on _walls_. ',0,0,0,0,0,0,0,0,false
733,'explained problem front desk were apologetic moved upgraded room ','explain problem front desk be apologetic move upgrade room ','VBD NN JJ NN VBD JJ VBD VBN NN ','_explained_this _problem_to _front_desk _desk_, _were_very _apologetic_and _moved_us _upgraded_room _room_. ',0,0,0,0,0,0,0,0,false
734,'excellent customer service ','excellent customer service ','JJ NN NN ','_excellent_customer _customer_service _service_. ',0,0,0,0,0,0,0,0,false
768,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
769,'location is excellent central convenient public transportation restaurants metro place dupuis food court various services ','location be excellent central convenient public transportation restaurant metro place dupuis food court various service ','NNP VBZ JJ JJ JJ JJ NN NNS NN NNP NNP NN NN JJ NNS ','_location_is _is_excellent _excellent_, _central_, _convenient_to _public_transportation _transportation_, _restaurants_, _metro_, _place_dupuis _dupuis_food _food_court _court_, _various_services _services_. ',0,0,0,0,0,0,0,0,true
770,'maintenance is spotty ','maintenance be spotty ','NNP VBZ JJ ','_maintenance_is _is_spotty _spotty_. ',0,0,0,0,0,0,0,0,false
771,'bathtub drain clogged hairdryer didn?ft work ice makers several floors were order furniture room scuffed ','bathtub drain clog hairdryer didn?ft work ice maker several floor be order furniture room scuff ','NNP NN VBN NN NN NN NN NNS JJ NNS VBD NN NN NN VBD ','_bathtub_drain _drain_clogged _clogged_, _hairdryer_didn?ft _didn?ft_work _work_, _ice_makers _makers_on _several_floors _floors_were _were_out _order_, _furniture_in _room_scuffed _scuffed_. ',0,0,0,0,0,0,0,0,false
798,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
799,'liked location hotel ','like location hotel ','VBD NN NN ','_liked_the _location_of _hotel_. ',0,0,0,0,0,0,0,0,true
800,'swimming pool was cold ','swimming pool be cold ','NN NN VBD JJ ','_swimming_pool _pool_was _was_cold _cold_. ',0,0,0,0,0,0,0,0,false
824,'pleasant ','pleasant ','NNP ','_pleasant_. ',0,0,0,0,0,0,0,0,false
825,'great location ','great location ','NNP NNP ','_great_location _location_. ',0,0,0,0,0,0,0,0,true
826,'room have mold ','room have mold ','NN VBP NN ','_room_have _have_mold _mold_. ',0,0,0,0,0,0,0,0,false
827,'move room becsuse noise contiguos room ','move room becsuse noise contiguos room ','VBP NN NN NN NN NN ','_move_me _room_becsuse _becsuse_of _noise_from _contiguos_room _room_. ',0,0,0,0,0,0,0,0,false
854,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
855,'shopping ','shopping ','NN ','_shopping_. ',0,0,0,0,0,0,0,0,true
856,'heat bathroom ','heat bathroom ','NN NN ','_heat_in ',0,0,0,0,0,0,0,0,false
876,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
877,'service de concierge nest pas sufficient ','service de concierge nest pas sufficient ','NNP NNP NN NN VBD JJ ','_service_de _de_concierge _concierge_nest _nest_pas _pas_sufficient ',0,0,0,0,0,0,0,0,false
898,'','','','',0,0,0,0,0,0,0,0,false
899,'location ','location ','NN ','_location_. ',0,0,0,0,0,0,0,0,false
900,'room was tired overused ','room be tired overused ','NN VBD JJ JJ ','_room_was _was_very _tired_and _overused_. ',0,0,0,0,0,0,0,0,false
901,'room need facelift ','room need facelift ','NN VBP NN ','_room_need _need_a _facelift_. ',0,0,0,0,0,0,0,0,false
902,'carpet was stained was mould bathroom ','carpet be stain be mould bathroom ','NN VBD VBN VBD NN NN ','_carpet_was _was_stained _stained_, _was_mould _mould_in _bathroom_. ',0,0,0,0,0,0,0,0,false
934,'nice one ','nice #crd# ','JJ NN ','_nice_one _one_. ',0,0,0,0,0,0,0,0,false
935,'location ','location ','NN ','_location_. ',0,0,0,0,0,0,0,0,false
936,'facilities ','facility ','NNS ','',0,0,0,0,0,0,0,0,false
968,'good value money ','good value money ','JJ NN NN ','_good_value _value_for _money_. ',0,0,0,0,0,0,0,0,false
969,'great location metro station big modern food court supermarket ','great location metro station big modern food court supermarket ','JJ NN NNP NN JJ JJ NN NN NN ','_great_location _location_, _metro_station _station_, _big_n _modern_food _food_court _court_, _supermarket_. ',0,0,0,0,0,0,0,0,true
970,'walkable city centre ','walkable city centre ','JJ NN NN ','_walkable_to _city_centre _centre_. ',0,0,0,0,0,0,0,0,true
971,'erred electric teapot coffee maker ','err electric teapot coffee maker ','VBD JJ NN NN NN ','_erred_an _electric_teapot _teapot_to _coffee_maker _maker_. ',0,0,0,0,0,0,0,0,false
972,'coffee brewer be cleaned guest ','coffee brewer be clean guest ','NN NN VB VBN NN ','_coffee_brewer _brewer_can _be_cleaned _cleaned_after _guest_. ',0,0,0,0,0,0,0,0,false
973,'','','','',0,0,0,0,0,0,0,0,false
974,'sheet is big be tucked matress ','sheet be big be tuck matress ','NN VBZ JJ VB VBN NN ','_sheet_is _is_big _big_enough _be_tucked _tucked_under _matress_. ',0,0,0,0,0,0,0,0,false
975,'be rolled ','be roll ','VB VBN ','_be_rolled _rolled_up ',0,0,0,0,0,0,0,0,false
1028,'good cost effectiveness ','good cost effectiveness ','JJ NN NN ','_good_cost _cost_effectiveness _effectiveness_. ',0,0,0,0,0,0,0,0,false
1029,'good location ','good location ','JJ NN ','_good_location _location_. ',0,0,0,0,0,0,0,0,true
1030,'good location ','good location ','JJ NN ','_good_location _location_. ',0,0,0,0,0,0,0,0,true
1031,'breakfest be better ','breakfest be good ','JJS VB JJR ','_breakfest_could _be_better _better_. ',0,0,0,0,0,0,0,0,false
1032,'is room service restaurant is closed dinner s is essential ','be room service restaurant be close dinner s be essential ','VBZ NN NN NN VBZ VBN NN VBZ VBZ JJ ','_is_no _room_service _service_and _restaurant_is _is_closed _closed_for _dinner_, _s_is _is_essential _essential_. ',0,0,0,0,0,0,0,0,false
1033,'pool is opened evening ','pool be open evening ','NNP VBZ VBN NN ','_pool_is _is_only _opened_in _evening_! ',0,0,0,0,0,0,0,0,false
1072,'','','','',0,0,0,0,0,0,0,0,false
1073,'great location ','great location ','JJ NN ','_great_location _location_. ',0,0,0,0,0,0,0,0,true
1074,'lost things left contacted said find ','lose thing leave contact say find ','VBD NNS VBD VBD VBD VB ','_lost_some _things_when _left_and _contacted_them _said_they _find_it ',0,0,0,0,0,0,0,0,false
1075,'hot water work morning ','hot water work morning ','JJ NN VB NN ','_hot_water _water_would _work_in ',0,0,0,0,0,0,0,0,false
1106,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
1107,'great buffet ','great buffet ','JJ NN ','_great_buffet _buffet_. ',0,0,0,0,0,0,0,0,false
1108,'bad was fridge room booked smaller room ','bad be fridge room book small room ','JJ VBD NN NN VBD JJR NN ','_bad_there _was_no _fridge_in _room_since _booked_the _smaller_room _room_. ',0,0,0,0,0,0,0,0,false
1109,'great location ','great location ','JJ NN ','_great_location _location_. ',0,0,0,0,0,0,0,0,true
1110,'parking was scary least wasn?ft street ','parking be scary least wasn?ft street ','NN VBD JJ JJS VBD NN ','_parking_was _was_scary _scary_but _least_it _wasn?ft_on ',0,0,0,0,0,0,0,0,false
1150,'room served purpose ','room serve purpose ','NN VBD NN ','_room_served _served_its _purpose_. ',0,0,0,0,0,0,0,0,false
1151,'more less ','more less ','JJR JJR ','_more_and _less_. ',0,0,0,0,0,0,0,0,false
1152,'room was clean room ','room be clean room ','NNP VBD JJ NN ','_room_718 _was_a _clean_room _room_. ',0,0,0,0,0,0,0,0,false
1153,'front staff was friendly ','front staff be friendly ','JJ NN VBD JJ ','_front_staff _staff_was _was_friendly _friendly_. ',0,0,0,0,0,0,0,0,false
1154,'front entrance was beautiful ','front entrance be beautiful ','JJ NN VBD JJ ','_front_entrance _entrance_was _was_beautiful _beautiful_. ',0,0,0,0,0,0,0,0,false
1155,'ked was parking underground easy access hotel ','ked be parking underground easy access hotel ','VBD VBD NN JJ JJ NN NN ','_ked_that _was_parking _parking_underground _underground_with _easy_access _access_to _hotel_. ',0,0,0,0,0,0,0,0,true
1156,'room bathroom was need major renovation was comfortable mold bath tub walls ','room bathroom be need major renovation be comfortable mold bath tub wall ','NNP NN VBD NN JJ NN VBD JJ NN NN NN NNS ','_room_718 _bathroom_was _was_in _need_of _major_renovation _renovation_( _was_nt _comfortable_with _mold_on _bath_tub _tub_walls _walls_) ',0,0,0,0,0,0,0,0,false
1202,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
1203,'lobby was clean room was clean had great view city ','lobby be clean room be clean have great view city ','NN VBD JJ NN VBD JJ VBD JJ NN NN ','_lobby_was _was_clean _clean_and _room_was _was_clean _clean_and _had_a _great_view _view_of _city_. ',0,0,0,0,0,0,0,0,true
1204,'restaurant hotel was good ','restaurant hotel be good ','NN NN VBD JJ ','_restaurant_in _hotel_was _was_good _good_. ',0,0,0,0,0,0,0,0,false
1205,'location hotel is great access st. catherine street getting downtown ','location hotel be great access st. catherine street get downtown ','NN NN VBZ JJ NN NNP NNP NN VBG NN ','_location_of _hotel_is _is_great _great_for _access_to _st._catherine _catherine_s _street_and _getting_downtown _downtown_. ',0,0,0,0,0,0,0,0,true
1206,'bathrooms were outdated seemed little scummy ','bathroom be outdated seem little scummy ','NNS VBD JJ VBD JJ JJ ','_bathrooms_were _were_outdated _outdated_, _seemed_a _little_scummy _scummy_. ',0,0,0,0,0,0,0,0,false
1240,'good value ','good value ','JJ NN ','_good_value _value_. ',0,0,0,0,0,0,0,0,false
1241,'location was convenient view room was outstanding ','location be convenient view room be outstanding ','NN VBD JJ NN NN VBD JJ ','_location_was _was_very _convenient_and _view_from _room_was _was_outstanding _outstanding_. ',0,0,0,0,0,0,0,0,true
1242,'needs be updated ','need be update ','VBZ VB VBN ','_needs_to _be_updated _updated_. ',0,0,0,0,0,0,0,0,false
1243,'took full minutes running shower water was warm ','take full minute run shower water be warm ','VBD JJ NNS VBG NN NN VBD JJ ','_took_a _full_five _minutes_running _running_the _shower_before _water_was _was_really _warm_. ',0,0,0,0,0,0,0,0,false
1268,'pleasant ','pleasant ','NNP ','_pleasant_. ',0,0,0,0,0,0,0,0,false
1269,'old needs reformation comon areas ','old need reformation comon area ','JJ VBZ NN JJ NNS ','_old_, _needs_reformation _reformation_on _comon_areas _areas_. ',0,0,0,0,0,0,0,0,false
1284,'stay ','stay ','VB ','_stay_there ',0,0,0,0,0,0,0,0,false
1285,'was working ice machine ','be work ice machine ','VBD VBG NN NN ','_was_no _working_ice _ice_machine _machine_. ',0,0,0,0,0,0,0,0,false
