@relation review

@attribute id numeric
@attribute title_lemma string
@attribute positive_part_lemma string
@attribute negative_part_lemma string
@attribute aspects_in_positive string
@attribute aspects_in_negative string
@attribute sentiment_avg_in_tit numeric
@attribute sentiment_avg_in_pos numeric
@attribute sentiment_avg_in_neg numeric
@attribute sentiment_max_in_pos numeric
@attribute sentiment_max_in_neg numeric
@attribute sentiment_min_in_pos numeric
@attribute sentiment_min_in_neg numeric
@attribute relation_of_type numeric
@attribute score numeric

@data
20,'pleasant ','great location ','. room mold . move another room becsuse noise contiguos room . ','+lage  ','',0.65,0.2285714285714286,-0.21428571428571427,1.0,0.0,0.0,0.0,0.15789473684210525,6.2
21,'good ','close shopping ','heat bathroom ','+lage  ','-komfort  ',0.65,0.05,0.02,0.5,0.0,0.0,-0.2,0.95,7.5
22,'good ','service de concierge nest pas sufficient ','','','',0.65,0.05263157894736842,0.0,1.0,0.0,0.0,0.0,0.0,7.1
23,'okay ','location ','. room tired overused . room need facelift . carpet stain , mould bathroom . ','','-komfort  -komfort   -komfort -sauberkeit  ',0.0,0.0,-0.775,0.0,0.0,0.0,-0.4,0.0743801652892562,5.8
24,'overall nice #crd# ','location ','facility ','','',0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,7.5
25,'good value money ','great location , next metro station , big n modern food court , supermarket . walkable city centre . err electric teapot coffee maker . ','brewer clean guest . . sheet big enough tuck matress . wo roll . ','+preis-leistungs-verhltnis  +lage  +lage  +lage  +lage  +lage  +lage  ','+komfort  ',0.27692307692307694,0.01978021978021978,0.03956043956043956,1.0,1.0,0.0,0.0,1.1111111111111112,8.3
26,'good cost effectiveness . good location . ','good location . ','breakfest could good . room service restaurant close dinner , s essential . pool open evening ! ','+preis-leistungs-verhltnis  +lage  +lage  ','-hotelpersonal  -ausstattung   -ausstattung ',0.2818181818181818,0.26,0.5133333333333334,1.0,1.0,0.0,-0.2,0.1,7.9
27,'okay ','great location ','. i lose thing i leave i contact say find .. also , hot water would work morning ','+lage  ',' -komfort ',0.0,0.2285714285714286,0.06428571428571431,1.0,1.0,0.0,-0.2,0.0967741935483871,5.8
28,'good ','great buffet . bad fridge room since book small room . great location . parking scary least street ','','+other  -komfort  +lage  ','',0.65,6.872852233676997E-4,0.0,1.0,0.0,-0.6,0.0,0.0,7.9
29,'room serve purpose . less . ','room 0 - clean room . front staff friendly . front entrance beautiful . ked parking underground easy access hotel . room 0 - ','bathroom need major renovation ( i comfortable mold bath tub wall ) . ','+hotelpersonal  +ausstattung  +lage  ',' -komfort ',-0.002702702702702702,0.07889908256880733,0.031192660550458714,1.0,1.0,0.0,0.0,1.5086206896551724,7.5
30,'good . ','lobby clean room clean great view city . restaurant hotel good . location hotel great access st. catherine s street get downtown . ','bathroom outdated , seem little scummy . ','+sauberkeit  +sauberkeit  +lage  +ausstattung  +lage  ',' -sauberkeit -komfort  ',0.37142857142857144,0.08270676691729321,-0.007518796992481203,1.0,0.0,-0.4,0.0,3.6666666666666665,7.1
31,'good value ','location convenient view room outstanding ','need update . take full #crd# minute run shower water really warm . ','+preis-leistungs-verhltnis  +lage  +lage  ','-ausstattung  ',0.37142857142857144,0.1,0.042499999999999996,1.0,1.0,0.0,0.0,0.7333333333333333,8.3
32,'pleasant ','old , need reformation comon area ','','-ausstattung  ','',0.65,0.04,0.0,1.0,0.0,0.0,0.0,0.0,6.2
33,'probably would stay . ','work ice machine . ','',' -ausstattung ',' -other ',0.0,0.05454545454545454,0.0,1.0,0.0,-0.2,0.0,0.0,6.2
34,'would go back would recommend friend . ','room roomy . location excellent . clean staff awesome . ','air duct need clean . come i smell mould . pool hour limited odd . ','+other  +komfort  +lage  +hotelpersonal  ',' -sauberkeit -ausstattung  -ausstattung  ',0.10357142857142856,0.13448275862068965,-0.02011494252873564,1.0,1.0,0.0,-0.4,0.900990099009901,8.5
35,'good ','location ','','','',0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
36,'good ','nice city ','room fridge ','+lage  ','-komfort  ',0.37142857142857144,0.12307692307692308,0.015384615384615385,1.0,0.0,0.0,-0.2,0.8947368421052632,8.3
37,'good ','good location . lot elevator work rapidly ','. old building . lot amenity . ','+lage  +ausstattung  +ausstattung  ','-ausstattung   -komfort ',0.65,0.1285714285714286,0.08928571428571429,1.0,1.0,0.0,0.0,1.394736842105263,7.1
38,'home away home . ','ideal location hotel heart downtown montreal . friendly helpful staff . trustworthy housekeeping . wide selection place close hotel ( metro station , taxi , shopping mall , restaurant , pharmacy , etc ) . ','many homeless people near hotel . ','+lage  +hotelpersonal  +hotelpersonal  +hotelpersonal  +lage  ','',0.0,0.06384615384615386,-0.007692307692307693,1.0,0.0,0.0,0.0,6.135135135135135,8.3
39,'pleasant ','good location ','design quite old need change lift car park ','+lage  ','-other   -ausstattung ',0.65,0.37142857142857144,0.0,1.0,0.0,0.0,0.0,0.24561403508771928,6.7
40,'hotel convenient airport shuttle subway . ','bed comfy . ','coffee machine work . strange smell room . room hotel little tired tatty . #crd# staff friendly . make effort friendly helpful . ','+lage  +komfort  ',' -komfort -sauberkeit  -komfort  -komfort  -ausstattung  -ausstattung  +hotelpersonal   -hotelpersonal  -hotelpersonal ',0.058823529411764705,0.0625,0.375,1.0,1.0,0.0,-0.4,0.09313725490196079,5.8
41,'bad ','location , comfort ','payment process ','','',-0.19999999999999998,0.24,-0.03333333333333333,1.0,0.0,0.0,0.0,1.0625,6.2
42,'nice hotel , would recommend . ','staff ( sammy , checkin ) helpful provide room nice view ! ','bad signage direction parking garage hotel food court , ect . ','+ausstattung  +other  +hotelpersonal  +lage  ','-ausstattung  ',0.1590909090909091,0.09090909090909091,-0.01636363636363636,1.0,0.5,0.0,-0.6,0.8823529411764706,6.7
43,'good ','location great ','. old hotel old equipments : old bathroom , old carpets .. need urgent remodeling ','+lage  ','-ausstattung  -ausstattung  -komfort  -ausstattung   -ausstattung ',0.65,0.16,-0.10500000000000001,1.0,0.0,0.0,-0.2,0.21176470588235294,7.9
44,'breakfast need improvement . proximity everything montreal ','location ','breakfast bit expensive cold spresso ','+lage  ',' -other -preis-leistungs-verhltnis  ',0.10357142857142856,0.0,-0.5,0.0,0.5,0.0,0.0,0.17307692307692307,8.3
45,'fairly good hotel , nice practical location ','good location , check - / fast , i able get room early expect , general stay pleasant . s also connect shopping mall metro system , go outside get . #ord# stay hotel i sure wo last ','big space door let sound light , mildly annoying try sleep . i also reduce score  facility  hotel still follow archaic ( slightly offensive ) practice put bible ( , case , new testament ) room . non-christian , irritate i would like stop . ','+ausstattung  +lage  +lage  +lage  +other  +other  +lage  +lage  ','-other  -other  ',0.2818181818181818,0.036283185840707964,-0.011946902654867255,1.0,1.0,0.0,-0.6,0.8527777777777777,7.5
46,'pleasant ','nice clean hotel ','night hear air circulation almost sound like roller coaster keep wake ','+ausstattung  +sauberkeit  ','-komfort  ',0.65,0.21052631578947367,0.07368421052631578,1.0,1.0,0.0,0.0,0.2653061224489796,6.7
47,'location , location , location ','location absolutely terrific . staff extremely accommodate , hotel need update . #ord# room smell like smoke , immediately move another room . lock work - immediately fix . staff help us book train ride , loan us wine opener , never say   request ','room need upgrade . ','-lage  +hotelpersonal   -ausstattung -sauberkeit  +komfort   -komfort +hotelpersonal  +hotelpersonal  ',' -komfort ',0.0,0.010313901345291481,0.0,1.0,0.0,-0.2,0.0,13.76923076923077,7.5
48,'satisfy ! ','hotel location great ! easy subway access . close bar restaurant , bed comfortable . staff bilingual , able give information get around city . ','room beside elevator could hear go quite loudly . good noise wake morning . ','+lage  +lage  +lage  +lage  +komfort  +hotelpersonal  +hotelpersonal  ','-komfort   -komfort ',0.14285714285714285,0.049999999999999996,0.010091743119266056,1.0,1.0,0.0,0.0,1.3169014084507042,8.3
49,'pleasant ','complain roos give us good room ','i complain send maintenance man room check room tell i wrong room fine . i leave change room good #crd# . ','','',0.65,0.029411764705882353,0.022058823529411752,1.0,1.0,-0.4,-0.4,0.3225806451612903,6.2
50,'okay ','indoor access iga metro definitely asset ','bathroom fixture look old outdated . enough electric outlet personal device . ','+lage  ','-komfort  -komfort   -komfort ',0.0,0.012903225806451613,0.08064516129032258,0.4,1.0,0.0,0.0,0.47413793103448276,5.8
51,'stay good , convenient location , comfortable spacious room . ','location old town good . park across way pleasant enjoy music . convenient iga attach hotel . ','desk staff concierge feel position understaffed . ask coffee desk twice none leave #ord# day #crd# #ord# day . care area behind hotel go away park , people seem disrespectful public property area feel particularly safe evening . weekend marathon #crd# hotel able tell us expect morning marathon leave ','+other  +lage  +komfort  +komfort  +lage  +lage  +komfort  ','-hotelpersonal  -hotelpersonal  -other   -lage ',0.2,0.11477272727272729,0.019318181818181818,1.0,1.0,0.0,-0.2,0.281437125748503,7.1
52,'disgust 0 st night defective air con ','kudos daytime receptionist , transfer us another room #ord# night , air - con 0 st night , available room transfer claim friendly night staff ','friendly night receptionist .. give us room defective air - con . ','+hotelpersonal  -komfort   -komfort  -hotelpersonal ','-komfort   -hotelpersonal -komfort  ',-0.09999999999999999,0.05039370078740158,0.0031496062992125975,1.0,1.0,-0.2,0.0,2.5316455696202533,6.7
53,'good location nice look old interior need renovation ','good place montreal nice look city everything old furniture bathroom style carpet ac window belong 0 ','design furniture bathroom ac ','+lage  +ausstattung  +lage  +lage  -ausstattung  -komfort  -komfort  ','-ausstattung  -ausstattung  ',0.16764705882352943,0.053164556962025315,0.0,1.0,0.0,0.0,0.0,4.205882352941177,6.2
54,'i come . ','great location !! ndly hotel staff . ','star hotel expect safe box room , room ! glass / cup single use plastic paper . lectric charging room desk . ','+other  +lage  ','',0.0,0.07272727272727274,0.17954545454545456,1.0,1.0,0.0,0.0,0.25625,7.5
55,'good ','i injure , twice , hide obstacle protrude bed frame . management willing adequately address ','','-komfort   -hotelpersonal ','',0.65,-0.030845771144278604,0.0,1.0,0.0,-0.4,0.0,0.0,7.5
56,'okay ','location access subway great ','bathroom need immediate upgrade . smell mould . room good size new wallpaper would great . ','+lage  +lage  ',' -komfort +komfort   -komfort ',0.0,0.07272727272727274,0.12272727272727274,1.0,1.0,0.0,0.0,0.328,5.8
57,'okay ','great location . comfortable bed ','outdate . big line elevator . ','+lage  +komfort  ','-other  ',0.0,0.1875,0.0125,1.0,0.2,0.0,0.0,0.9705882352941176,5.8
58,'experience check counter great !! ','bed comfortable .. woman attend room lovely lady ','front desk lady less pleasant .. abrasive us ask explain alittle good us .. make clear us annoy us !! really make us feel stupid ','+komfort  +hotelpersonal  +hotelpersonal  ',' -hotelpersonal -other  ',0.043243243243243246,0.08163265306122448,0.050000000000000024,1.0,1.0,0.0,-0.4,0.3504273504273504,7.5
59,'pleasant ','location excellent . room clean . ','surprised ac noisy . ose try open fresh air , i find spider network outside window . ve comment check hope fixation next time . ','+lage  +sauberkeit  ','-komfort  ',0.65,0.17857142857142858,0.02857142857142857,1.0,1.0,0.0,-0.2,0.24,6.7
60,'okay ','good location , friendly staff ','0 star hotel plastic glass paper cup hotel need major renovation ( date ) ','+lage  +hotelpersonal  ',' -ausstattung ',0.0,0.3125,0.15625,1.0,1.0,0.0,0.0,0.30927835051546393,5.8
61,'read negative review , i must admit experience quite ok . ','location ; indoor garage ; clean room . ','pool could open bit long still , s nice #crd# . ','+sauberkeit  ',' +ausstattung  -ausstattung ',-0.030434782608695653,0.096,0.07733333333333334,1.0,1.0,0.0,0.0,0.5285714285714286,7.9
62,'i get bite bed bug whole night i throw away clothes ','love quick service ','bed bug ','+hotelpersonal  +hotelpersonal  ','',-0.04597701149425287,0.2,-0.15384615384615385,1.0,0.0,0.0,0.0,1.8461538461538463,8.3
63,'location key ','great location , parking garage easy walk number restaurant , shop thing see ','book king room give room #crd# queen bed right next incredibly noisy elevator . slept poorly queen room less #url# website may overpay . lack washcloth room clean well 0 st night stay #ord# night . parking validate check address check ','+lage  +ausstattung  +lage  +lage  ','-komfort  -komfort  -komfort   -sauberkeit  -other ',0.0,0.04375,0.02916666666666667,1.0,1.0,0.0,-0.4,0.29745042492917845,6.7
64,'location key ','great location , parking garage easy walk number restaurant , shop thing see ','book king room give room #crd# queen bed right next incredibly noisy elevator . slept poorly queen room less #url# website may overpay . lack washcloth room clean well 0 st night stay #ord# night . parking validate check address check ','+lage  +ausstattung  +lage  +lage  ','-komfort  -komfort  -komfort   -sauberkeit  -other ',0.0,0.04375,0.02916666666666667,1.0,1.0,0.0,-0.4,0.29745042492917845,6.7
65,'blah hotel experience . ','ok . room staff ok . nothing special . ','room hotel date . air conditioning work room . warm . staff friendly . ','','-other  -komfort  -ausstattung   -komfort  -hotelpersonal ',-0.04615384615384615,0.025,0.11499999999999999,1.0,1.0,0.0,0.0,0.4406779661016949,6.7
66,'okay ','room lovely ','neighborhood bit sketchy . bathroom bit small . ','+komfort  ','-lage  -komfort  ',0.0,0.2,-0.15384615384615383,1.0,0.0,0.0,0.0,0.3181818181818182,5.8
67,'perfect location enjoy montreal , mind hotel way beyond remodeling date . ','location ; adjacent underground car parking ; next metro ; ','hotel show age . everything need upgrade . difficult staff keep clean circumstance . bathroom particularly look old seedy - caulk mouldy . however , price less half tht modern hotel downtown montreal , still good value money . look deeply . ','+lage  ',' -ausstattung -ausstattung  -ausstattung  -sauberkeit  -komfort  -komfort  +preis-leistungs-verhltnis  +preis-leistungs-verhltnis  ',0.08196721311475409,0.0,0.14054054054054055,0.0,1.0,0.0,-0.2,0.1880597014925373,7.5
68,'central montreal ','location ','fridge ','','-komfort  ',0.0,0.0,0.05,0.0,0.0,0.0,-0.2,0.9,6.7
69,'room clean , excellent cleaning servicrd ','room clean . drawer still bible inside , i like tradition hotel ','. i register room , calculate $ 0 day confirmation . however , i check , charge $ 0 start #ord# day . bad , freezer tea bag room . ','+sauberkeit  +sauberkeit  +sauberkeit  ','-preis-leistungs-verhltnis  -komfort  -komfort  ',0.24,0.07755102040816327,-0.024489795918367346,1.0,0.0,0.0,-0.6,0.41361256544502617,8.3
70,'good ','electrical outlet room loose plug charger keep fall ','','-komfort  -komfort  ','',0.65,-0.034545454545454546,0.0,0.5,0.0,-0.6,0.0,0.0,7.5
71,'affordable average hotel central location ','like central location , view , price ','. lot homeless people area drug use , pool open 0 , room could use update , plug near bed would nice , plug work . website also update - room fridge expect would nice know shower nice picture show might attract people . man usher people elevator busy extremely rude pushy ','+preis-leistungs-verhltnis  +lage  +preis-leistungs-verhltnis  +lage  +lage  +lage  ',' -ausstattung  -komfort  -komfort  -komfort  -other +komfort  -hotelpersonal  -hotelpersonal  -hotelpersonal  ',0.05263157894736842,0.04516129032258064,0.18655913978494623,1.0,1.0,0.0,-0.2,0.10020876826722339,7.5
72,'well locate comfortable ','good bed , great ac quiet ','bathroom could renovation ','+lage  +komfort  +komfort  ',' -komfort ',0.1846153846153846,0.2590909090909091,0.045454545454545456,1.0,1.0,0.0,0.0,0.7692307692307693,7.9
73,'okay ','next metro dtation ','neighborhood , hotel outdated ','+lage  ','-lage  -ausstattung  ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5365853658536586,5.8
74,'pleasant ','comfortable bed great view city ','. outdated room several damage . aircon fan make high pitch noise night long ','+komfort  +lage  ','-komfort  -komfort  -komfort  ',0.65,0.12,-0.092,1.0,0.6,0.0,-0.6,0.4842105263157895,6.2
75,'fine hotel seem refurbishment age furniture . ','front desk staff friendly helpful ','room far hot . furniture bang . wallpaper peel bathroom . ','+ausstattung  +hotelpersonal  +hotelpersonal  ',' -ausstattung -komfort  -komfort  -komfort  ',0.030769230769230767,0.21818181818181817,0.03409090909090909,1.0,1.0,0.0,0.0,0.4215686274509804,7.1
76,'good ','location ','','','',0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
77,'good ','i ask thing fix order never ','',' -hotelpersonal ','',0.37142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3
78,'convenient , clean room need upgrade . ','good linen . walk distance everything . would return . ','hotel room need upgrade . fixture bathroom old tarnished crack counter . half outlet room work , make difficult charge device . ','+komfort  +lage  +other  ',' -komfort  -komfort -komfort  -komfort  -komfort   -komfort -komfort  ',0.12941176470588237,0.07647058823529412,-0.03823529411764706,1.0,1.0,0.0,-0.2,0.26576576576576577,8.3
79,'good ','bed comfy , room need little maintenance ( leaky sink , power outlet work ','','+komfort   -komfort -sauberkeit   -komfort ','',0.65,-0.01818181818181818,0.0,1.0,0.0,0.0,0.0,0.0,7.5
80,'staff polite , kind accommodating . i would stay need clean ','hotel overall need room update outside window clean . point city view window dirty see outside . also room vent fill black dust / dustballs . deep cleaning must room . also number toiletry must reasonably reflect number guest room . #crd# us #crd# set toiletry ','','+hotelpersonal  +hotelpersonal  +hotelpersonal  +other   -komfort  -sauberkeit -sauberkeit  -sauberkeit  -sauberkeit   -sauberkeit ','',0.090625,-6.747638326585689E-4,0.0,1.0,0.0,-0.4,0.0,0.0,6.7
81,'good ','close metro old city ','area little dodgy ','+lage  +lage  ','-lage  ',0.37142857142857144,0.0,0.021052631578947368,0.0,0.0,0.0,-0.4,1.1666666666666667,8.3
82,'good time . ','bed super comfortable location beat ! ','leak shower head , mold ceiling shower . ask #crd# time coffee ice bucket finally give . say location i would stay . ','+other  +komfort   +lage ','-sauberkeit  -other  +other  ',0.2,0.0967741935483871,-0.031182795698924733,1.0,0.3333333333333333,0.0,-0.2,0.33707865168539325,7.9
83,'good time . ','bed super comfortable location beat ! ','leak shower head , mold ceiling shower . ask #crd# time coffee ice bucket finally give . say location i would stay . ','+other  +komfort   -lage ','-sauberkeit  -other  +other  ',0.2,0.0967741935483871,-0.031182795698924733,1.0,0.3333333333333333,0.0,-0.2,0.33707865168539325,7.9
84,'fairly good hotel , nice location room equiped ','location ','micro-wave ','+ausstattung  +lage  ',' -komfort -komfort  ',0.1441860465116279,0.0,0.028571428571428574,0.0,0.0,0.0,-0.2,0.9285714285714286,8.3
85,'pleasant ','camera e vista ( business ','poco centrale ','','',0.65,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428572,6.7
86,'good ','location ','price ','','',0.65,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.9
87,'pleasant experience . old hotel . walk distance shopping , restaurant . ','comfy bed , good location , nice basic hotel room . #crd# good price downtown hotel . ','old hotel , info room room service , pool hour etc. call front desk . shower curtain little stinky . water pressure little low . parking garage low ceiling narrow driving . 0 per night park . thing good overall . complaint . ','+other  +lage  +komfort  +lage  +komfort  +preis-leistungs-verhltnis  ','-ausstattung  -ausstattung  -other  -sauberkeit  -komfort  -ausstattung  -ausstattung  +other  -other  ',0.0775,0.121875,0.01614583333333334,1.0,1.0,0.0,-0.2,0.35144927536231885,8.3
88,'pleasant ','location ','','','',0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
89,'good ','nice bed clean room ','breakfast include fare ','+komfort  +sauberkeit  ',' -other ',0.65,0.21052631578947367,0.07894736842105263,1.0,1.0,0.0,0.0,0.8611111111111112,8.3
90,'pleasant ','hotel access mall grocery food court ','hotel outdated . need pay parking ','+lage  ','-ausstattung  ',0.65,0.013513513513513514,0.018918918918918916,0.5,0.5,0.0,-0.2,1.1764705882352942,6.2
91,'good ','hotel old , kink , location amazing , view incredible . i get room #ord# floor , completely worth ','','-ausstattung  +lage  +lage  +preis-leistungs-verhltnis  ','',0.65,0.044940476190476183,0.0,1.0,0.0,0.0,0.0,0.0,7.9
92,'good ','close everything ','check - staff could friendly . bathroom need update - sink / tub break place . ','+lage  ',' -hotelpersonal  -komfort -komfort  -komfort  ',0.65,0.0,0.039999999999999994,0.0,1.0,0.0,0.0,0.27835051546391754,7.1
93,'good ','location excellent , easy access park hotel . bed clean comfortable . staff front desk pleasant deal ','room old bathroom need upgrade . ','+lage  +lage  +komfort  +sauberkeit  +hotelpersonal  ','-komfort   -komfort ',0.65,0.11200000000000002,0.0,1.0,0.0,0.0,0.0,2.6825396825396823,7.5
94,'overall i mind stay location ','clean neat staff friendly . e subway . walk straight road old city montr ? al / norte dame basilica / . bway stop underground mall . outside gay village promenade . park across street restaurant live music ( summertime ) . hop bus tour stop #crd# block away . conviently locate rue saint denis restaurant bar . gym hotel . corner easy access cash . ','city i feel room become bit dated , furniture ok condition air vent could cleanse bathroom update like holiday inn electrical outlet loose fitting . restaurant ambience ok bit date design furniture . ','+hotelpersonal  +lage  +lage  +lage  ','-komfort   -sauberkeit  -komfort -komfort  -ausstattung  -ausstattung  ',0.0,0.032090395480226,0.00847457627118644,1.0,1.0,-0.2,-0.6,1.4437869822485208,7.9
95,'good ','breakfast buffet expensive get , let take food room . hotel room 0 degree thermostat work change temperature . hold onto wall piece tape . location great i need . staff member nice friendly ','','-preis-leistungs-verhltnis   -komfort +lage  +hotelpersonal  +hotelpersonal  ','',0.65,0.0301980198019802,0.0,1.0,0.0,0.0,0.0,0.0,7.1
96,'good ','staff fast , hotel big . great location ','pretty old used . . room small - loud vent . . et take close look . . : meh . windows really dirty ! ','+hotelpersonal  +ausstattung  +lage  ','-komfort  -komfort  -sauberkeit  ',0.65,0.11199999999999999,-0.08933333333333333,1.0,1.0,0.0,-0.4,0.325,7.9
97,'leave day early nt like see canada ','cleanliness ','noisy location next park loud music ','','-lage  -komfort  ',0.029347826086956522,0.5,-0.575,1.0,0.5,0.0,-0.2,0.2608695652173913,8.3
